k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      5.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[9, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.20000000|[11, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.0]                                                                           |  0.0000065050367084|      0.00000010|[56, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000051|[61, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000010|[65, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000002|[69, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000000|[72, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[6.000000106496]                                                                |  0.0000065000604081|      0.00000002|[76, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[6.000000106496]                                                                |  0.0000065000604081|      0.00000000|[79, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[6.000000110592]                                                                |  0.0000065000208451|      0.00000002|[80, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[6.000000110592]                                                                |  0.0000065000208451|      0.00000000|[83, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[6.0000001146879995]                                                            |  0.0000064999926508|      0.00000002|[86, 46, 0, 46]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[6.0000001146879995]                                                            |  0.0000064999926508|      0.00000000|[89, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[6.0000001187839995]                                                            |  0.0000064999753704|      0.00000002|[90, 50, 0, 50]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[6.0000001187839995]                                                            |  0.0000064999753704|      0.00000000|[92, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[6.0000001187839995]                                                            |  0.0000064999753704|      0.00000000|[92, 54, 0, 54]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[6.000000119603199]                                                             |  0.0000064999735514|      0.00000000|[95, 56, 0, 56]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[6.000000119603199]                                                             |  0.0000064999735514|      0.00000000|[98, 58, 0, 58]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[6.000000120422399]                                                             |  0.0000064999717324|      0.00000000|[100, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[6.000000120422399]                                                             |  0.0000064999717324|      0.00000000|[104, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[6.000000121241599]                                                             |  0.0000064999708229|      0.00000000|[105, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[6.000000121241599]                                                             |  0.0000064999708229|      0.00000000|[109, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[112, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[115, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[117, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[122, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[125, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[128, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[131, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[134, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[137, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[140, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000122060799]                                                             |  0.0000064999699134|      0.00000000|[143, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
