k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.9385203563166951, -0.4189725485063065, -8.290652796501385]                   |  1.9395792484283447|      1.00000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.9385203563166951, -0.4189725485063065, -8.290652796501385]                   |  1.9395792484283447|      0.10000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.8413765607548065, -0.4099440557737641, -8.312597483849544]                   |  1.7659344673156738|      1.00000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.8413765607548065, -0.4099440557737641, -8.312597483849544]                   |  1.7659344673156738|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.7427824255216571, -0.4081707468860007, -8.329212292702373]                   |  1.6095979213714600|      1.00000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.7427824255216571, -0.4081707468860007, -8.329212292702373]                   |  1.6095979213714600|      0.10000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.6651946948285146, -0.4701906362111077, -8.317650399518733]                   |  1.5040521621704102|      1.00000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.6651946948285146, -0.4701906362111077, -8.317650399518733]                   |  1.5040521621704102|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.6651946948285146, -0.4701906362111077, -8.317650399518733]                   |  1.5040521621704102|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.6552197343294566, -0.4697167208796276, -8.318175344564256]                   |  1.4908671379089355|      0.10000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.5553359455917743, -0.4713707314282212, -8.313648425467209]                   |  1.3699985742568970|      1.00000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.5553359455917743, -0.4713707314282212, -8.313648425467209]                   |  1.3699985742568970|      0.10000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5553359455917743, -0.4713707314282212, -8.313648425467209]                   |  1.3699985742568970|      0.01000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.5488210623251203, -0.4692242160783124, -8.320925015868934]                   |  1.3627451658248901|      0.10000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.5488210623251203, -0.4692242160783124, -8.320925015868934]                   |  1.3627451658248901|      0.01000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.5394101702695574, -0.4675437959910142, -8.323859517368124]                   |  1.3524525165557861|      0.10000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.5394101702695574, -0.4675437959910142, -8.323859517368124]                   |  1.3524525165557861|      0.01000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.5294359459275227, -0.4673815129394891, -8.324558454408171]                   |  1.3417866230010986|      0.10000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.5294359459275227, -0.4673815129394891, -8.324558454408171]                   |  1.3417866230010986|      0.01000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.5256092354379346, -0.474657393141757, -8.318864786512068]                    |  1.3379566669464111|      0.10000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.4304756421458781, -0.4577479248862205, -8.29310300647542]                    |  1.2464194297790527|      1.00000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.4304756421458781, -0.4577479248862205, -8.29310300647542]                    |  1.2464194297790527|      0.10000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.4304756421458781, -0.4577479248862205, -8.29310300647542]                    |  1.2464194297790527|      0.01000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.4280472746825758, -0.4483663185142397, -8.290635519222285]                   |  1.2438969612121582|      0.10000000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.4280472746825758, -0.4483663185142397, -8.290635519222285]                   |  1.2438969612121582|      0.01000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.4180871888488213, -0.4486574259668471, -8.289791749920116]                   |  1.2354837656021118|      0.10000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.4180871888488213, -0.4486574259668471, -8.289791749920116]                   |  1.2354837656021118|      0.01000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.4082167221209851, -0.448118351670191, -8.291302804345795]                    |  1.2273010015487671|      0.10000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.4082167221209851, -0.448118351670191, -8.291302804345795]                    |  1.2273010015487671|      0.01000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.4006944598486512, -0.4529731401114452, -8.286847852101731]                   |  1.2214516401290894|      0.10000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.4006944598486512, -0.4529731401114452, -8.286847852101731]                   |  1.2214516401290894|      0.01000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.3961995851482011, -0.4453124082191597, -8.282253367549382]                   |  1.2174818515777588|      0.10000000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.3961995851482011, -0.4453124082191597, -8.282253367549382]                   |  1.2174818515777588|      0.01000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.3885344839498431, -0.4394437352927218, -8.284861988200497]                   |  1.2111344337463379|      0.10000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.3885344839498431, -0.4394437352927218, -8.284861988200497]                   |  1.2111344337463379|      0.01000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.3815878656584369, -0.4322891330379133, -8.285607750152456]                   |  1.2053337097167969|      0.10000000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.3815878656584369, -0.4322891330379133, -8.285607750152456]                   |  1.2053337097167969|      0.01000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.3720683665886412, -0.4294231733800581, -8.284528207332693]                   |  1.1979644298553467|      0.10000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.3720683665886412, -0.4294231733800581, -8.284528207332693]                   |  1.1979644298553467|      0.01000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.3623184796064927, -0.4308469427334489, -8.282821577711575]                   |  1.1909009218215942|      0.10000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.3623184796064927, -0.4308469427334489, -8.282821577711575]                   |  1.1909009218215942|      0.01000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.3539717331616503, -0.4360831441870983, -8.281114528174417]                   |  1.1852635145187378|      0.10000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.3539717331616503, -0.4360831441870983, -8.281114528174417]                   |  1.1852635145187378|      0.01000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.3447411649258943, -0.4358708447556608, -8.284955301403398]                   |  1.1788026094436646|      0.10000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.3447411649258943, -0.4358708447556608, -8.284955301403398]                   |  1.1788026094436646|      0.01000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.3355180444330306, -0.434313858465521, -8.281418375892954]                    |  1.1724272966384888|      0.10000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.3355180444330306, -0.434313858465521, -8.281418375892954]                    |  1.1724272966384888|      0.01000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.3280298779515869, -0.4278666825707856, -8.279881728331368]                   |  1.1670219898223877|      0.10000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.3280298779515869, -0.4278666825707856, -8.279881728331368]                   |  1.1670219898223877|      0.01000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.3180820251043151, -0.4268473811333584, -8.279846396919199]                   |  1.1605221033096313|      0.10000000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.3180820251043151, -0.4268473811333584, -8.279846396919199]                   |  1.1605221033096313|      0.01000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.3081637113519372, -0.4259600082873734, -8.278930088160319]                   |  1.1542464494705200|      0.10000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.3081637113519372, -0.4259600082873734, -8.278930088160319]                   |  1.1542464494705200|      0.01000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.3021415159581196, -0.4243787285983182, -8.286755221845034]                   |  1.1504592895507812|      0.10000000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.3021415159581196, -0.4243787285983182, -8.286755221845034]                   |  1.1504592895507812|      0.01000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
