k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.9519989978473946, 0.9684484084188538]                                       |339.1568908691406250|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.9519989978473946, 0.9684484084188538]                                       |339.1568908691406250|      0.25000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.9519989978473946, 0.9684484084188538]                                       |339.1568908691406250|      0.12500000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.8390048752949854, 0.9149944256990311]                                       |230.0634002685546875|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.6121436147117018, 0.8099517274922376]                                       |110.6205368041992188|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.6121436147117018, 0.8099517274922376]                                       |110.6205368041992188|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.4244637463361381, 0.6447964459946994]                                       | 54.0524063110351562|      0.50000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[-0.142821601477148, -0.0082101759721069]                                       |  1.3088469505310059|      0.01562500|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.1274021548203104, -0.0056840544791972]                                      |  1.2723432779312134|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[-0.1274021548203104, -0.0056840544791972]                                      |  1.2723432779312134|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[-0.1125034459712727, -0.0103924618141254]                                      |  1.2457072734832764|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[-0.0814367872247121, -0.0137725822742197]                                      |  1.1870154142379761|      0.06250000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[-0.0814367872247121, -0.0137725822742197]                                      |  1.1870154142379761|      0.03125000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[-0.0814367872247121, -0.0137725822742197]                                      |  1.1870154142379761|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[-0.0748302820191303, 0.0003870333267993]                                       |  1.1553250551223755|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[-0.04373908471394, -0.0027593852927949]                                        |  1.0901072025299072|      0.06250000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[-0.04373908471394, -0.0027593852927949]                                        |  1.0901072025299072|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[-0.04373908471394, -0.0027593852927949]                                        |  1.0901072025299072|      0.01562500|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[-0.0281211983585377, -0.003230820113039]                                       |  1.0580626726150513|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[-0.0281211983585377, -0.003230820113039]                                       |  1.0580626726150513|      0.01562500|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[-0.0132586718270314, 0.0015905832200447]                                       |  1.0269469022750854|      0.03125000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.0160714937243357, -0.009193844846821]                                        |  0.9765756130218506|      0.06250000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.0160714937243357, -0.009193844846821]                                        |  0.9765756130218506|      0.03125000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.0160714937243357, -0.009193844846821]                                        |  0.9765756130218506|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.0306994612481311, -0.0037017422328138]                                       |  0.9409353137016296|      0.03125000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.0599413302844655, 0.0073198545327128]                                        |  0.8887577056884766|      0.06250000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.0599413302844655, 0.0073198545327128]                                        |  0.8887577056884766|      0.03125000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.0599413302844655, 0.0073198545327128]                                        |  0.8887577056884766|      0.01562500|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.0737415049025156, -7.8876510247e-06]                                         |  0.8579714894294739|      0.03125000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.1047786627982991, 0.0036331739733099]                                        |  0.8020377159118652|      0.06250000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.1047786627982991, 0.0036331739733099]                                        |  0.8020377159118652|      0.03125000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.1047786627982991, 0.0036331739733099]                                        |  0.8020377159118652|      0.01562500|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.1198430052930373, -0.0005148629360274]                                       |  0.7751763463020325|      0.03125000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.1488771139369354, 0.011042949800573]                                         |  0.7304058670997620|      0.06250000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.1488771139369354, 0.011042949800573]                                         |  0.7304058670997620|      0.03125000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.1488771139369354, 0.011042949800573]                                         |  0.7304058670997620|      0.01562500|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.1602891327926226, 0.0003702532979341]                                        |  0.7065190672874451|      0.03125000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.1602891327926226, 0.0003702532979341]                                        |  0.7065190672874451|      0.01562500|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.1747064912656108, 0.0063935746127366]                                        |  0.6812219619750977|      0.03125000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.1747064912656108, 0.0063935746127366]                                        |  0.6812219619750977|      0.01562500|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.1902747743602508, 0.0077236823095592]                                        |  0.6557246446609497|      0.03125000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.2213895748431766, 0.004819944906191]                                         |  0.6098716259002686|      0.06250000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.2213895748431766, 0.004819944906191]                                         |  0.6098716259002686|      0.03125000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.2213895748431766, 0.004819944906191]                                         |  0.6098716259002686|      0.01562500|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.2363639828506914, 0.0092817528160498]                                        |  0.5846793055534363|      0.03125000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.2363639828506914, 0.0092817528160498]                                        |  0.5846793055534363|      0.01562500|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.2504495688471612, 0.0160446584146851]                                        |  0.5618370771408081|      0.03125000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.2504495688471612, 0.0160446584146851]                                        |  0.5618370771408081|      0.01562500|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.2656627047412419, 0.0196085216651811]                                        |  0.5393250584602356|      0.03125000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.2656627047412419, 0.0196085216651811]                                        |  0.5393250584602356|      0.01562500|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.2811908018871765, 0.0213459980035566]                                        |  0.5167654156684875|      0.03125000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.2811908018871765, 0.0213459980035566]                                        |  0.5167654156684875|      0.01562500|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.2811908018871765, 0.0213459980035566]                                        |  0.5167654156684875|      0.00781250|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.2889187914275135, 0.0224920058196041]                                        |  0.5059006214141846|      0.01562500|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.3027350611335043, 0.0297893557777275]                                        |  0.4865962564945221|      0.03125000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.3027350611335043, 0.0297893557777275]                                        |  0.4865962564945221|      0.01562500|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      71|[0.318315372850986, 0.028608461292135]                                          |  0.4660223424434662|      0.03125000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.318315372850986, 0.028608461292135]                                          |  0.4660223424434662|      0.01562500|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.318315372850986, 0.028608461292135]                                          |  0.4660223424434662|      0.00781250|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.3251031806834674, 0.0324763833543415]                                        |  0.4558408260345459|      0.01562500|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.3251031806834674, 0.0324763833543415]                                        |  0.4558408260345459|      0.00781250|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[0.3297900261928948, 0.0387268741687304]                                        |  0.4499984681606293|      0.01562500|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.3297900261928948, 0.0387268741687304]                                        |  0.4499984681606293|      0.00781250|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.3370552985307066, 0.0358544232801291]                                        |  0.4400896728038788|      0.01562500|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.3526451759236097, 0.03690148959811]                                          |  0.4239026606082916|      0.03125000|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.3526451759236097, 0.03690148959811]                                          |  0.4239026606082916|      0.01562500|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
