k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.191827960759962, 38.52043889132122, 41.79652883237502, 39.17014625944666]   |810.4331054687500000|      1.11111111|[12, 4, 0, 2]                                                              |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       2|[23.28871609809245, 37.98734659320099, 42.1095730251568, 39.36190861183701]     |721.3502197265625000|      1.23456790|[22, 8, 0, 4]                                                              |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       3|[22.293215309423157, 37.389923155945816, 42.46780484454765, 39.58074938205973]  |631.2946166992187500|      1.37174211|[33, 12, 0, 6]                                                             |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       4|[21.139833064956946, 36.763919322396724, 42.80814822679305, 39.789726423508334] |541.2992553710937500|      1.52415790|[44, 16, 0, 8]                                                             |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       5|[19.85745177883676, 36.051059904218775, 43.1556789400325, 40.01245810697723]    |452.7184753417968750|      1.69350878|[55, 20, 0, 10]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       6|[18.420699467595977, 35.315400222399866, 43.574471580551226, 40.307639989433035]|367.0884399414062500|      1.88167642|[65, 24, 0, 12]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       7|[16.822727368072353, 34.46298936983563, 44.03111866910071, 40.5358077031136]    |286.1428222656250000|      2.09075158|[75, 28, 0, 14]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       8|[14.974551682124986, 33.6243533249721, 44.44976407399506, 40.81314219023419]    |211.5000762939453125|      2.32305731|[85, 32, 0, 16]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       9|[12.90485359137492, 32.75143924196441, 44.957460755592, 41.118445602730866]     |145.1940765380859375|      2.58117479|[96, 36, 0, 18]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      10|[10.509977471932842, 31.90323669955516, 45.31690426427218, 41.39841790318195]   | 88.8921737670898438|      2.86797199|[106, 40, 0, 20]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      11|[7.800897379377329, 31.121581194623896, 45.67406042706609, 41.78260866189201]   | 44.6081237792968750|      3.18663555|[116, 44, 0, 22]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      12|[4.782355745211683, 30.27401120363571, 45.847380195719886, 42.32541421612577]   | 14.5357084274291992|      3.54070616|[126, 48, 0, 24]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      23|[1.9334797937504122, 30.170647306115452, 45.589749217182124, 42.50461057976823] |  1.7389687299728394|      1.37174211|[302, 116, 0, 58]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      24|[1.9334797937504122, 30.170647306115452, 45.589749217182124, 42.50461057976823] |  1.7389687299728394|      1.23456790|[318, 122, 0, 61]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      25|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      1.37174211|[328, 126, 0, 63]                                                          |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      26|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      1.23456790|[347, 134, 0, 67]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      27|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      1.11111111|[362, 140, 0, 70]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      28|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      1.00000000|[378, 146, 0, 73]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      29|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.90000000|[393, 152, 0, 76]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      30|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.81000000|[408, 158, 0, 79]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      31|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.72900000|[423, 164, 0, 82]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.65610000|[439, 170, 0, 85]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      33|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.59049000|[454, 176, 0, 88]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.53144100|[470, 182, 0, 91]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      35|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.47829690|[488, 188, 0, 94]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.43046721|[504, 194, 0, 97]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      37|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.38742049|[522, 202, 0, 101]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      38|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.34867844|[537, 208, 0, 104]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      39|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.31381060|[553, 214, 0, 107]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.28242954|[568, 220, 0, 110]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      41|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.25418658|[583, 226, 0, 113]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      42|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.22876792|[599, 232, 0, 116]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      43|[0.7207374991883209, 30.051817849399434, 45.402966818758955, 42.57098772639915] |  0.0724032372236252|      0.20589113|[616, 238, 0, 119]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      44|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.22876792|[626, 242, 0, 121]                                                         |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      45|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.20589113|[645, 250, 0, 125]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      46|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.18530202|[660, 256, 0, 128]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      47|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.16677182|[678, 264, 0, 132]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      48|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.15009464|[694, 270, 0, 135]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      49|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.13508517|[710, 276, 0, 138]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      50|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.12157665|[726, 282, 0, 141]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      51|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.10941899|[745, 290, 0, 145]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      52|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.09847709|[764, 298, 0, 149]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      53|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.08862938|[782, 306, 0, 153]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      54|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.07976644|[797, 312, 0, 156]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      55|[0.5166897956301149, 30.04286396607208, 45.41695903582999, 42.59289066644463]   |  0.0135080022737384|      0.07178980|[816, 320, 0, 160]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
