k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 5.0]                                                                      |149.7192190771219771|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.550497317781812, 4.5872260296617045]                                         |  0.2082936465740204|      0.00195312|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.550497317781812, 4.5872260296617045]                                         |  0.2082936465740204|      0.00097656|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.5505330613358806, 4.586250121512979]                                         |  0.2077840417623520|      0.00195312|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.5502377625140806, 4.584319449124543]                                         |  0.2070874720811844|      0.00390625|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.5502377625140806, 4.584319449124543]                                         |  0.2070874720811844|      0.00195312|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.5502377625140806, 4.584319449124543]                                         |  0.2070874720811844|      0.00097656|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.5511404628404245, 4.583946881765231]                                         |  0.2065250426530838|      0.00195312|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.5517657082505455, 4.582096539785286]                                         |  0.2055010795593262|      0.00390625|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.5517657082505455, 4.582096539785286]                                         |  0.2055010795593262|      0.00195312|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.5519981565291108, 4.580157296359767]                                         |  0.2044901847839355|      0.00390625|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.5519981565291108, 4.580157296359767]                                         |  0.2044901847839355|      0.00195312|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.5528883551046411, 4.578418836190034]                                         |  0.2035078555345535|      0.00390625|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.5528883551046411, 4.578418836190034]                                         |  0.2035078555345535|      0.00195312|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.5528883551046411, 4.578418836190034]                                         |  0.2035078555345535|      0.00097656|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.5523644319179625, 4.577594713134376]                                         |  0.2032035291194916|      0.00195312|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.5536321147191501, 4.576108887578936]                                         |  0.2022777050733566|      0.00390625|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.5544551890192478, 4.572290335790756]                                         |  0.2002080976963043|      0.00781250|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.5533633387352669, 4.564554508801521]                                         |  0.1990984976291656|      0.01562500|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[0.5533633387352669, 4.564554508801521]                                         |  0.1990984976291656|      0.00781250|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.5533633387352669, 4.564554508801521]                                         |  0.1990984976291656|      0.00390625|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.5571438679390561, 4.565537559157198]                                         |  0.1969575285911560|      0.00781250|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.5571438679390561, 4.565537559157198]                                         |  0.1969575285911560|      0.00390625|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.5571438679390561, 4.565537559157198]                                         |  0.1969575285911560|      0.00195312|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.555659462663777, 4.5642682135603065]                                         |  0.1961301565170288|      0.00390625|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.555659462663777, 4.5642682135603065]                                         |  0.1961301565170288|      0.00195312|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.555659462663777, 4.5642682135603065]                                         |  0.1961301565170288|      0.00097656|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[0.5565788540833453, 4.5639389815235445]                                        |  0.1957527399063110|      0.00195312|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.5561763490629522, 4.562027781122178]                                         |  0.1949755102396011|      0.00390625|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.5561763490629522, 4.562027781122178]                                         |  0.1949755102396011|      0.00195312|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[0.5563290841495255, 4.560080637250001]                                         |  0.1941832751035690|      0.00390625|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.5563290841495255, 4.560080637250001]                                         |  0.1941832751035690|      0.00195312|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.5582184092076983, 4.559585512932092]                                         |  0.1935577690601349|      0.00390625|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.5582184092076983, 4.559585512932092]                                         |  0.1935577690601349|      0.00195312|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[0.5570828446334641, 4.557996428175582]                                         |  0.1929285824298859|      0.00390625|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.5570828446334641, 4.557996428175582]                                         |  0.1929285824298859|      0.00195312|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.5573559574017978, 4.556062492633378]                                         |  0.1920757591724396|      0.00390625|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.5573559574017978, 4.556062492633378]                                         |  0.1920757591724396|      0.00195312|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[0.5589453508002776, 4.55492736009024]                                          |  0.1910027265548706|      0.00390625|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
