k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0995800796832327, 0.0091546562076914]                                        | 21.3814773559570312|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[0.0995800796832327, 0.0091546562076914]                                        | 21.3814773559570312|      0.10000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1983231272395466, 0.0249600527320283]                                        | 18.7859821319580078|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.1983231272395466, 0.0249600527320283]                                        | 18.7859821319580078|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.2927258879831318, 0.0579466979689938]                                        | 16.1562156677246094|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[0.2927258879831318, 0.0579466979689938]                                        | 16.1562156677246094|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.3771556535585076, 0.1115341469182308]                                        | 13.3841447830200195|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.3771556535585076, 0.1115341469182308]                                        | 13.3841447830200195|      0.10000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.4551534859954816, 0.1741147999599955]                                        | 10.4418268203735352|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[0.4551534859954816, 0.1741147999599955]                                        | 10.4418268203735352|      0.10000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.6931468639805506, 0.4982958091764042]                                        |  0.5738496184349060|      0.01000000|[137, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.6918891591092965, 0.5082164028308598]                                        |  0.5553141236305237|      0.10000000|[143, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.6918891591092965, 0.5082164028308598]                                        |  0.5553141236305237|      0.01000000|[150, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.6832579606488753, 0.5132663942305379]                                        |  0.5335434675216675|      0.10000000|[156, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.6832579606488753, 0.5132663942305379]                                        |  0.5335434675216675|      0.01000000|[164, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.6738717171949449, 0.5167158048792643]                                        |  0.5140918493270874|      0.10000000|[170, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.6738717171949449, 0.5167158048792643]                                        |  0.5140918493270874|      0.01000000|[176, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.6738717171949449, 0.5167158048792643]                                        |  0.5140918493270874|      0.00100000|[182, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.6733109428821231, 0.5175437735804115]                                        |  0.5119971036911011|      0.01000000|[188, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.6672499416641384, 0.5254976571749574]                                        |  0.4924905896186829|      0.10000000|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.6672499416641384, 0.5254976571749574]                                        |  0.4924905896186829|      0.01000000|[200, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.6614223562874395, 0.5336241108096794]                                        |  0.4761604368686676|      0.10000000|[205, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.6614223562874395, 0.5336241108096794]                                        |  0.4761604368686676|      0.01000000|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.6531895314408462, 0.5393004296031685]                                        |  0.4569797813892365|      0.10000000|[218, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.6531895314408462, 0.5393004296031685]                                        |  0.4569797813892365|      0.01000000|[225, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.6439841442856716, 0.5432069430516728]                                        |  0.4380041360855103|      0.10000000|[230, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.6439841442856716, 0.5432069430516728]                                        |  0.4380041360855103|      0.01000000|[236, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.6364214857691413, 0.5497495874835788]                                        |  0.4210033714771271|      0.10000000|[242, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.6364214857691413, 0.5497495874835788]                                        |  0.4210033714771271|      0.01000000|[249, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.6281262024777241, 0.5553342338569077]                                        |  0.4043848216533661|      0.10000000|[256, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      42|[0.6281262024777241, 0.5553342338569077]                                        |  0.4043848216533661|      0.01000000|[262, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.6202940742746723, 0.5615517709746868]                                        |  0.3886901140213013|      0.10000000|[268, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.6202940742746723, 0.5615517709746868]                                        |  0.3886901140213013|      0.01000000|[274, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.6202940742746723, 0.5615517709746868]                                        |  0.3886901140213013|      0.00100000|[282, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.6195111769931061, 0.5621739219583847]                                        |  0.3871618211269379|      0.01000000|[287, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.6108316231714345, 0.5671403437544774]                                        |  0.3726509809494019|      0.10000000|[293, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.6108316231714345, 0.5671403437544774]                                        |  0.3726509809494019|      0.01000000|[299, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.6052587672557487, 0.5754435525885973]                                        |  0.3594481050968170|      0.10000000|[305, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.6052587672557487, 0.5754435525885973]                                        |  0.3594481050968170|      0.01000000|[312, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.5963832439812817, 0.5800506217875996]                                        |  0.3458915054798126|      0.10000000|[318, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.5963832439812817, 0.5800506217875996]                                        |  0.3458915054798126|      0.01000000|[326, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.5897491719194954, 0.5875332074288753]                                        |  0.3336003422737122|      0.10000000|[331, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.5897491719194954, 0.5875332074288753]                                        |  0.3336003422737122|      0.01000000|[338, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.5818934174874575, 0.5937208662998471]                                        |  0.3216547667980194|      0.10000000|[343, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.5818934174874575, 0.5937208662998471]                                        |  0.3216547667980194|      0.01000000|[350, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.5746759977463101, 0.600642488384308]                                         |  0.3108022809028625|      0.10000000|[355, 133, 0, 133]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.5746759977463101, 0.600642488384308]                                         |  0.3108022809028625|      0.01000000|[361, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.5746759977463101, 0.600642488384308]                                         |  0.3108022809028625|      0.00100000|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.5737485458907288, 0.6010164309675727]                                        |  0.3096734583377838|      0.01000000|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.5644321789153814, 0.6046503415857165]                                        |  0.3008595407009125|      0.10000000|[383, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      62|[0.5644321789153814, 0.6046503415857165]                                        |  0.3008595407009125|      0.01000000|[389, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.5644321789153814, 0.6046503415857165]                                        |  0.3008595407009125|      0.00100000|[396, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.5643261665411539, 0.6056447063962919]                                        |  0.2996752262115479|      0.01000000|[402, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      65|[0.5643261665411539, 0.6056447063962919]                                        |  0.2996752262115479|      0.00100000|[409, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.5641336589418903, 0.6066260018789197]                                        |  0.2986165583133698|      0.01000000|[414, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      67|[0.5563352074561523, 0.6128857266671663]                                        |  0.2895258069038391|      0.10000000|[421, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      68|[0.5563352074561523, 0.6128857266671663]                                        |  0.2895258069038391|      0.01000000|[427, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
