k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.20000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.665923565416405, 9.795627732073376, 1.1833687044071721]                      |  0.0304058603942394|      0.04000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.665923565416405, 9.795627732073376, 1.1833687044071721]                      |  0.0304058603942394|      0.00800000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.6712639795711652, 9.800157510130813, 1.1795007479174997]                     |  0.0292175337672234|      0.04000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.6712639795711652, 9.800157510130813, 1.1795007479174997]                     |  0.0292175337672234|      0.00800000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.6778851369912785, 9.804642982015821, 1.1797027785757779]                     |  0.0281309429556131|      0.04000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.6778851369912785, 9.804642982015821, 1.1797027785757779]                     |  0.0281309429556131|      0.00800000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.6854672367932618, 9.805575688075985, 1.1773275265895458]                     |  0.0268394201993942|      0.04000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.6854672367932618, 9.805575688075985, 1.1773275265895458]                     |  0.0268394201993942|      0.00800000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.6932598782895905, 9.804136957525047, 1.1784251571792694]                     |  0.0260315202176571|      0.04000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.6932598782895905, 9.804136957525047, 1.1784251571792694]                     |  0.0260315202176571|      0.00800000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.6975109297049501, 9.800557628688802, 1.1726704228721108]                     |  0.0249159820377827|      0.04000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.6975109297049501, 9.800557628688802, 1.1726704228721108]                     |  0.0249159820377827|      0.00800000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.7054065773279349, 9.79941415919893, 1.1720777795228798]                      |  0.0240188892930746|      0.04000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.7054065773279349, 9.79941415919893, 1.1720777795228798]                      |  0.0240188892930746|      0.00800000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.710446927521724, 9.80310517427227, 1.167080652583093]                        |  0.0228544641286135|      0.04000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
