k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
      12|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.28242954|[231, 36, 0, 36]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25418658|[250, 39, 0, 39]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.22876792|[270, 42, 0, 42]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.20589113|[290, 45, 0, 45]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.18530202|[309, 48, 0, 48]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.16677182|[328, 51, 0, 51]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.15009464|[347, 54, 0, 54]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.13508517|[367, 57, 0, 57]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12157665|[386, 60, 0, 60]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.10941899|[405, 63, 0, 63]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.09847709|[424, 66, 0, 66]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.08862938|[444, 69, 0, 69]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.07976644|[464, 72, 0, 72]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.07178980|[483, 75, 0, 75]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06461082|[502, 78, 0, 78]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.05814974|[521, 81, 0, 81]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.05233476|[541, 84, 0, 84]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04710129|[560, 87, 0, 87]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04239116|[579, 90, 0, 90]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03815204|[600, 93, 0, 93]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03433684|[619, 96, 0, 96]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03090315|[638, 99, 0, 99]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02781284|[657, 102, 0, 102]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02503156|[676, 105, 0, 105]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02252840|[696, 108, 0, 108]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02027556|[715, 111, 0, 111]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01824800|[735, 114, 0, 114]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01642320|[754, 117, 0, 117]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01478088|[773, 120, 0, 120]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01330279|[792, 123, 0, 123]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01197252|[812, 126, 0, 126]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01077526|[832, 129, 0, 129]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00969774|[851, 132, 0, 132]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00872796|[870, 135, 0, 135]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00785517|[889, 138, 0, 138]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.2422095908344921, 0.3899192091282064, 0.4156243868950441, 0.38921463970596]  |  0.0044300113804638|      0.00872796|[909, 141, 0, 141]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | iterate success | actual_k=1
      48|[0.2422095908344921, 0.3899192091282064, 0.4156243868950441, 0.38921463970596]  |  0.0044300113804638|      0.00785517|[928, 144, 0, 144]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.2422095908344921, 0.3899192091282064, 0.4156243868950441, 0.38921463970596]  |  0.0044300113804638|      0.00706965|[948, 147, 0, 147]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.2422095908344921, 0.3899192091282064, 0.4156243868950441, 0.38921463970596]  |  0.0044300113804638|      0.00636269|[967, 150, 0, 150]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.2422095908344921, 0.3899192091282064, 0.4156243868950441, 0.38921463970596]  |  0.0044300113804638|      0.00572642|[986, 153, 0, 153]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.236576256990221, 0.3902851226204546, 0.4159852734623407, 0.3883239834988696] |  0.0039942711591721|      0.00636269|[1005, 156, 0, 156]                                                        |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | iterate success | actual_k=1
      53|[0.236576256990221, 0.3902851226204546, 0.4159852734623407, 0.3883239834988696] |  0.0039942711591721|      0.00572642|[1024, 159, 0, 159]                                                        |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.236576256990221, 0.3902851226204546, 0.4159852734623407, 0.3883239834988696] |  0.0039942711591721|      0.00515378|[1043, 162, 0, 162]                                                        |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
