k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.837735710342441, 10.088547766945183, 9.017233703635014]                      |33320054.0000000000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.81561832209714, 10.665254504742816, 7.3706751907947865]                     |5525594.5000000000000000|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      8.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      4.00000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[6.434718291670415, 9.696657932751787, 1.118341563742225]                       |934855.6875000000000000|      8.00000000|[33, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|     16.00000000|[43, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
       7|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      8.00000000|[54, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      4.00000000|[65, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      8.00000000|[71, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      4.00000000|[82, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.3216488089905024, -0.0187585334535712, 0.1270621869796279]                   |  0.0119432602077723|      0.12500000|[198, 75, 0, 75]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.3216488089905024, -0.0187585334535712, 0.1270621869796279]                   |  0.0119432602077723|      0.06250000|[209, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.2644149341885869, -0.0232354491091923, 0.1023540749236427]                   |  0.0053527341224253|      0.12500000|[215, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.2644149341885869, -0.0232354491091923, 0.1023540749236427]                   |  0.0053527341224253|      0.06250000|[225, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.2644149341885869, -0.0232354491091923, 0.1023540749236427]                   |  0.0053527341224253|      0.03125000|[235, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2346565375787233, -0.0188816609068662, 0.1108419992576212]                   |  0.0035644611343741|      0.06250000|[240, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.2346565375787233, -0.0188816609068662, 0.1108419992576212]                   |  0.0035644611343741|      0.03125000|[251, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.2041788191677376, -0.0232280894846425, 0.1054773241436041]                   |  0.0021040241699666|      0.06250000|[262, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | iterate success | actual_k=1
      29|[0.2041788191677376, -0.0232280894846425, 0.1054773241436041]                   |  0.0021040241699666|      0.03125000|[272, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.2041788191677376, -0.0232280894846425, 0.1054773241436041]                   |  0.0021040241699666|      0.01562500|[283, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.1893155541313607, -0.0234536687900179, 0.1006634804158331]                   |  0.0015749559970573|      0.03125000|[291, 111, 0, 111]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      32|[0.1893155541313607, -0.0234536687900179, 0.1006634804158331]                   |  0.0015749559970573|      0.01562500|[303, 115, 0, 115]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.1893155541313607, -0.0234536687900179, 0.1006634804158331]                   |  0.0015749559970573|      0.00781250|[313, 119, 0, 119]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.1818358324381465, -0.0244248845565475, 0.0986273911307314]                   |  0.0013517858460546|      0.01562500|[319, 121, 0, 121]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.1818358324381465, -0.0244248845565475, 0.0986273911307314]                   |  0.0013517858460546|      0.00781250|[330, 125, 0, 125]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.175375162690317, -0.0205710932305037, 0.0965195023588103]                    |  0.0011860760860145|      0.01562500|[335, 127, 0, 127]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.175375162690317, -0.0205710932305037, 0.0965195023588103]                    |  0.0011860760860145|      0.00781250|[345, 131, 0, 131]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.1678261677701829, -0.0205350975718865, 0.0985311027809494]                   |  0.0010348904179409|      0.01562500|[351, 133, 0, 133]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[0.1678261677701829, -0.0205350975718865, 0.0985311027809494]                   |  0.0010348904179409|      0.00781250|[361, 137, 0, 137]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.1603720223256244, -0.0206942762708123, 0.0961975359652837]                   |  0.0008749502012506|      0.01562500|[368, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      41|[0.1603720223256244, -0.0206942762708123, 0.0961975359652837]                   |  0.0008749502012506|      0.00781250|[378, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.1530773459176439, -0.0210751207627396, 0.0934266498568663]                   |  0.0007346844067797|      0.01562500|[387, 147, 0, 147]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      43|[0.1530773459176439, -0.0210751207627396, 0.0934266498568663]                   |  0.0007346844067797|      0.00781250|[398, 151, 0, 151]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.1456320975371883, -0.021367217686132, 0.0910775836188331]                    |  0.0006126609514467|      0.01562500|[404, 153, 0, 153]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.1456320975371883, -0.021367217686132, 0.0910775836188331]                    |  0.0006126609514467|      0.00781250|[414, 157, 0, 157]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.1456320975371883, -0.021367217686132, 0.0910775836188331]                    |  0.0006126609514467|      0.00390625|[426, 161, 0, 161]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
