k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|     10.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.10000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.0047996778814132, -0.1794913263638688]                                       | 10.1240062713623047|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[1.0047996778814132, -0.1794913263638688]                                       | 10.1240062713623047|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.7921487390097437, 0.3987600474207285]                                        |  1.0516207218170166|      0.10000000|[156, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.7074167205895131, 0.4518682864654728]                                        |  0.8099805712699890|      1.00000000|[161, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.7074167205895131, 0.4518682864654728]                                        |  0.8099805712699890|      0.10000000|[167, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.681710283686828, 0.5485077147634935]                                         |  0.6095139980316162|      1.00000000|[172, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.681710283686828, 0.5485077147634935]                                         |  0.6095139980316162|      0.10000000|[178, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.681710283686828, 0.5485077147634935]                                         |  0.6095139980316162|      0.01000000|[184, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.6744014713340365, 0.5416826680975956]                                        |  0.5346629619598389|      0.10000000|[189, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.6744014713340365, 0.5416826680975956]                                        |  0.5346629619598389|      0.01000000|[196, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.6663407044272357, 0.5357645571765141]                                        |  0.4899563789367676|      0.10000000|[201, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.6663407044272357, 0.5357645571765141]                                        |  0.4899563789367676|      0.01000000|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.6581973010970561, 0.5299606806959176]                                        |  0.4733135402202606|      0.10000000|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.6581973010970561, 0.5299606806959176]                                        |  0.4733135402202606|      0.01000000|[220, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.6497774783136864, 0.5353557325303904]                                        |  0.4551334679126740|      0.10000000|[225, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.6497774783136864, 0.5353557325303904]                                        |  0.4551334679126740|      0.01000000|[232, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.6398468774788968, 0.5365318137606103]                                        |  0.4463827311992645|      0.10000000|[237, 89, 0, 89]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.6398468774788968, 0.5365318137606103]                                        |  0.4463827311992645|      0.01000000|[243, 91, 0, 91]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.6344682001761738, 0.5449621061916694]                                        |  0.4250715970993042|      0.10000000|[248, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.6344682001761738, 0.5449621061916694]                                        |  0.4250715970993042|      0.01000000|[255, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.6301981915518439, 0.5540046183618657]                                        |  0.4083953797817230|      0.10000000|[261, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.6301981915518439, 0.5540046183618657]                                        |  0.4083953797817230|      0.01000000|[267, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.6210993839673924, 0.5581533170182071]                                        |  0.3932967483997345|      0.10000000|[273, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.6210993839673924, 0.5581533170182071]                                        |  0.3932967483997345|      0.01000000|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.6178764102130743, 0.5676197017652463]                                        |  0.3822099268436432|      0.10000000|[288, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      48|[0.6178764102130743, 0.5676197017652463]                                        |  0.3822099268436432|      0.01000000|[296, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.6086727652391806, 0.5715303179819724]                                        |  0.3662292659282684|      0.10000000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.6086727652391806, 0.5715303179819724]                                        |  0.3662292659282684|      0.01000000|[309, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.6002995407244437, 0.5769974114717354]                                        |  0.3524218201637268|      0.10000000|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.6002995407244437, 0.5769974114717354]                                        |  0.3524218201637268|      0.01000000|[323, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.5930893815464893, 0.583926596461946]                                         |  0.3394977152347565|      0.10000000|[328, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.5930893815464893, 0.583926596461946]                                         |  0.3394977152347565|      0.01000000|[335, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.5857177757177289, 0.5906837724627162]                                        |  0.3273821473121643|      0.10000000|[340, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.5857177757177289, 0.5906837724627162]                                        |  0.3273821473121643|      0.01000000|[347, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.5783355720587036, 0.5974293687400422]                                        |  0.3160689175128937|      0.10000000|[352, 133, 0, 133]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.5783355720587036, 0.5974293687400422]                                        |  0.3160689175128937|      0.01000000|[358, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.5746814391858296, 0.6067378225830486]                                        |  0.3122473359107971|      0.10000000|[363, 137, 0, 137]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.5746814391858296, 0.6067378225830486]                                        |  0.3122473359107971|      0.01000000|[371, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.5651678469074064, 0.6098186604495918]                                        |  0.2977981567382812|      0.10000000|[376, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.5651678469074064, 0.6098186604495918]                                        |  0.2977981567382812|      0.01000000|[384, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.5594506562677491, 0.6180231550220694]                                        |  0.2914295792579651|      0.10000000|[389, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.5594506562677491, 0.6180231550220694]                                        |  0.2914295792579651|      0.01000000|[395, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.549575885752749, 0.6164455279190814]                                         |  0.2847020626068115|      0.10000000|[402, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      66|[0.549575885752749, 0.6164455279190814]                                         |  0.2847020626068115|      0.01000000|[409, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.5446686926332218, 0.6251587050484451]                                        |  0.2752170562744141|      0.10000000|[416, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      68|[0.5446686926332218, 0.6251587050484451]                                        |  0.2752170562744141|      0.01000000|[422, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
