k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1949775802213547, 0.0445392322680262]                                        | 18.6944046020507812|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       3|[0.1949775802213547, 0.0445392322680262]                                        | 18.6944046020507812|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.3827999313508402, 0.1132616042890228]                                        | 13.2247428894042969|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.3827999313508402, 0.1132616042890228]                                        | 13.2247428894042969|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.7068264413700878, 0.4261321327405331]                                        |  1.0638750791549683|      0.04000000|[103, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[0.7068264413700878, 0.4261321327405331]                                        |  1.0638750791549683|      0.00800000|[110, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.7099734476486852, 0.433487154935093]                                         |  0.9694955348968506|      0.04000000|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[0.7099734476486852, 0.433487154935093]                                         |  0.9694955348968506|      0.00800000|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.7129769280244278, 0.4409019445904054]                                        |  0.8863883018493652|      0.04000000|[128, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[0.7129769280244278, 0.4409019445904054]                                        |  0.8863883018493652|      0.00800000|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.7162204947500473, 0.4482148971334248]                                        |  0.8153938651084900|      0.04000000|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.7162204947500473, 0.4482148971334248]                                        |  0.8153938651084900|      0.00800000|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.7183043308563389, 0.4559387321317994]                                        |  0.7563825249671936|      0.04000000|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[0.7183043308563389, 0.4559387321317994]                                        |  0.7563825249671936|      0.00800000|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.7199110778145881, 0.4637757190663398]                                        |  0.7095137238502502|      0.04000000|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.7199110778145881, 0.4637757190663398]                                        |  0.7095137238502502|      0.00800000|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.7199110778145881, 0.4637757190663398]                                        |  0.7095137238502502|      0.00160000|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.7201267751550525, 0.4653611132309931]                                        |  0.7015757560729980|      0.00800000|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.7204950207827477, 0.4733526334341636]                                        |  0.6685004234313965|      0.04000000|[194, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      31|[0.7204950207827477, 0.4733526334341636]                                        |  0.6685004234313965|      0.00800000|[201, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.7204950207827477, 0.4733526334341636]                                        |  0.6685004234313965|      0.00160000|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.7202253034660371, 0.4749297360208923]                                        |  0.6630429625511169|      0.00800000|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.7202253034660371, 0.4749297360208923]                                        |  0.6630429625511169|      0.00160000|[220, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.71983246131621, 0.4764807598908954]                                          |  0.6578831076622009|      0.00800000|[225, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.71983246131621, 0.4764807598908954]                                          |  0.6578831076622009|      0.00160000|[232, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.7193237837570459, 0.4779977460941295]                                        |  0.6529822349548340|      0.00800000|[237, 89, 0, 89]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.7142520683458045, 0.4841846437648023]                                        |  0.6312363147735596|      0.04000000|[243, 91, 0, 91]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      39|[0.7142520683458045, 0.4841846437648023]                                        |  0.6312363147735596|      0.00800000|[250, 94, 0, 94]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.7102000473006312, 0.4910825510887284]                                        |  0.6114233732223511|      0.04000000|[257, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      41|[0.7102000473006312, 0.4910825510887284]                                        |  0.6114233732223511|      0.00800000|[263, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.7102000473006312, 0.4910825510887284]                                        |  0.6114233732223511|      0.00160000|[269, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.7091030148731594, 0.4922472484112442]                                        |  0.6076517105102539|      0.00800000|[275, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.7015116479907761, 0.4947713618906771]                                        |  0.5913379788398743|      0.04000000|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[0.7015116479907761, 0.4947713618906771]                                        |  0.5913379788398743|      0.00800000|[288, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.7015116479907761, 0.4947713618906771]                                        |  0.5913379788398743|      0.00160000|[296, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.7006502557158372, 0.4961196954357153]                                        |  0.5874666571617126|      0.00800000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.6937454177687562, 0.500159895050159]                                         |  0.5702420473098755|      0.04000000|[309, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      49|[0.6937454177687562, 0.500159895050159]                                         |  0.5702420473098755|      0.00800000|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.6937454177687562, 0.500159895050159]                                         |  0.5702420473098755|      0.00160000|[323, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.6929405210640779, 0.5015426970225317]                                        |  0.5664381384849548|      0.00800000|[328, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.6879726861889529, 0.5078133123554549]                                        |  0.5485343337059021|      0.04000000|[333, 125, 0, 125]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.6879726861889529, 0.5078133123554549]                                        |  0.5485343337059021|      0.00800000|[339, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.6879726861889529, 0.5078133123554549]                                        |  0.5485343337059021|      0.00160000|[345, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.6867404453125621, 0.5088338918097609]                                        |  0.5450758337974548|      0.00800000|[350, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.6867404453125621, 0.5088338918097609]                                        |  0.5450758337974548|      0.00160000|[357, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.6856240045934027, 0.5099799983146734]                                        |  0.5416551232337952|      0.00800000|[363, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.6856240045934027, 0.5099799983146734]                                        |  0.5416551232337952|      0.00160000|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.6844062736797514, 0.5110178477362843]                                        |  0.5382415056228638|      0.00800000|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.6782778795859254, 0.5161601026726678]                                        |  0.5214761495590210|      0.04000000|[383, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      61|[0.6782778795859254, 0.5161601026726678]                                        |  0.5214761495590210|      0.00800000|[389, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.6782778795859254, 0.5161601026726678]                                        |  0.5214761495590210|      0.00160000|[396, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.6770680165429119, 0.5172071133780334]                                        |  0.5181890130043030|      0.00800000|[402, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.6770680165429119, 0.5172071133780334]                                        |  0.5181890130043030|      0.00160000|[409, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.6758121478966304, 0.5181984730217989]                                        |  0.5149079561233521|      0.00800000|[414, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.6758121478966304, 0.5181984730217989]                                        |  0.5149079561233521|      0.00160000|[421, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.6744027804229482, 0.5189558918782625]                                        |  0.5116600990295410|      0.00800000|[427, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
