k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86272077510468, 36.329535873370496, 269.0658905189572]                      |233073.6562500000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[161.48385320956035, 85.07379323850596, 214.81429898994634]                     |26602.3691406250000000|     16.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[174.55009296034638, 92.49111595173542, 209.31368970162293]                     |12787.8339843750000000|     32.00000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[174.55009296034638, 92.49111595173542, 209.31368970162293]                     |12787.8339843750000000|     16.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[174.55009296034638, 92.49111595173542, 209.31368970162293]                     |12787.8339843750000000|      8.00000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[179.23838099273405, 98.74340030822154, 211.02509136429876]                     |10036.7304687500000000|     16.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[189.13986365097267, 100.91944324664668, 198.64666342296752]                    |2147.7607421875000000|     32.00000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[189.13986365097267, 100.91944324664668, 198.64666342296752]                    |2147.7607421875000000|     16.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[189.13986365097267, 100.91944324664668, 198.64666342296752]                    |2147.7607421875000000|      8.00000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[189.13986365097267, 100.91944324664668, 198.64666342296752]                    |2147.7607421875000000|      4.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[193.0947468588659, 101.49719628982793, 198.80509395354483]                     |1418.8967285156250000|      8.00000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[193.0947468588659, 101.49719628982793, 198.80509395354483]                     |1418.8967285156250000|      4.00000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[193.0947468588659, 101.49719628982793, 198.80509395354483]                     |1418.8967285156250000|      2.00000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[194.88710929739588, 101.25565347595072, 197.9512239646056]                     |1031.7684326171875000|      4.00000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[197.12388103694033, 102.46706858354173, 194.86426338463772]                    |373.0076599121093750|      8.00000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[197.12388103694033, 102.46706858354173, 194.86426338463772]                    |373.0076599121093750|      4.00000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[197.12388103694033, 102.46706858354173, 194.86426338463772]                    |373.0076599121093750|      2.00000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[197.12388103694033, 102.46706858354173, 194.86426338463772]                    |373.0076599121093750|      1.00000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[197.66308671373406, 102.84281469617932, 194.11055780753804]                    |267.7598266601562500|      2.00000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[197.66308671373406, 102.84281469617932, 194.11055780753804]                    |267.7598266601562500|      1.00000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[198.32262430958122, 102.26475655910949, 193.63007997263668]                    |218.7053527832031250|      2.00000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      4.00000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      2.00000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      1.00000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      0.50000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      0.25000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[199.4042018447363, 102.89857835688512, 192.07172829085482]                     |106.8370819091796875|      0.12500000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[199.36655844529992, 102.96223598728054, 191.97095289419812]                    |104.5708084106445312|      0.25000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[199.36655844529992, 102.96223598728054, 191.97095289419812]                    |104.5708084106445312|      0.12500000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[199.4649456759487, 103.00107356139245, 191.90434511925883]                     |101.0101928710937500|      0.25000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[199.4649456759487, 103.00107356139245, 191.90434511925883]                     |101.0101928710937500|      0.12500000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[199.53689477879522, 103.05102723586894, 191.81516576623426]                    | 97.6967926025390625|      0.25000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[199.72101374407504, 103.21963632121782, 191.8020820755431]                     | 93.4795989990234375|      0.50000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[199.88410982313744, 103.48675359193314, 191.41214870600405]                    | 86.1292495727539062|      1.00000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[199.88410982313744, 103.48675359193314, 191.41214870600405]                    | 86.1292495727539062|      0.50000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[199.88410982313744, 103.48675359193314, 191.41214870600405]                    | 86.1292495727539062|      0.25000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[199.88410982313744, 103.48675359193314, 191.41214870600405]                    | 86.1292495727539062|      0.12500000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[199.96165164442613, 103.49202410388223, 191.31424830940102]                    | 85.2054290771484375|      0.25000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[199.96165164442613, 103.49202410388223, 191.31424830940102]                    | 85.2054290771484375|      0.12500000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[200.02061856187794, 103.58618511445493, 191.2569629994677]                     | 84.4969406127929688|      0.25000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[200.02061856187794, 103.58618511445493, 191.2569629994677]                     | 84.4969406127929688|      0.12500000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[200.07222428457246, 103.65667484979316, 191.16755915952152]                    | 84.0847091674804688|      0.25000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[200.07222428457246, 103.65667484979316, 191.16755915952152]                    | 84.0847091674804688|      0.12500000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[200.07222428457246, 103.65667484979316, 191.16755915952152]                    | 84.0847091674804688|      0.06250000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[200.07222428457246, 103.65667484979316, 191.16755915952152]                    | 84.0847091674804688|      0.03125000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[200.06586297271434, 103.67814369143416, 191.14576041987817]                    | 84.0180206298828125|      0.06250000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[200.06586297271434, 103.67814369143416, 191.14576041987817]                    | 84.0180206298828125|      0.03125000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[200.05628711637266, 103.6914592767448, 191.11916040741278]                     | 83.9721755981445312|      0.06250000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[200.05628711637266, 103.6914592767448, 191.11916040741278]                     | 83.9721755981445312|      0.03125000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[200.05234076598566, 103.72203577829353, 191.11405488377042]                    | 83.9067382812500000|      0.06250000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[200.05234076598566, 103.72203577829353, 191.11405488377042]                    | 83.9067382812500000|      0.03125000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[200.05346083084473, 103.75320332394915, 191.1120820552132]                     | 83.8473663330078125|      0.06250000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[200.05346083084473, 103.75320332394915, 191.1120820552132]                     | 83.8473663330078125|      0.03125000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[200.0241124320823, 103.76231223309154, 191.1064021111715]                      | 83.8054504394531250|      0.06250000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[200.0241124320823, 103.76231223309154, 191.1064021111715]                      | 83.8054504394531250|      0.03125000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[200.0241124320823, 103.76231223309154, 191.1064021111715]                      | 83.8054504394531250|      0.01562500|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[200.03529871068804, 103.7714692874962, 191.11233137340082]                     | 83.7970046997070312|      0.03125000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[200.03529871068804, 103.7714692874962, 191.11233137340082]                     | 83.7970046997070312|      0.01562500|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[200.03068679813023, 103.7856229247666, 191.1075831695744]                      | 83.7657852172851562|      0.03125000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[200.02807752072772, 103.80663627916148, 191.08460071738776]                    | 83.7286453247070312|      0.06250000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[200.02807752072772, 103.80663627916148, 191.08460071738776]                    | 83.7286453247070312|      0.03125000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[200.00182857624017, 103.8196351248871, 191.07371102395356]                     | 83.6785125732421875|      0.06250000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[200.00182857624017, 103.8196351248871, 191.07371102395356]                     | 83.6785125732421875|      0.03125000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[199.9853567200013, 103.84528074321237, 191.08060614634266]                     | 83.6133651733398438|      0.06250000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[199.9853567200013, 103.84528074321237, 191.08060614634266]                     | 83.6133651733398438|      0.03125000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[199.96072159716536, 103.8642256963582, 191.08388669098645]                     | 83.5551528930664062|      0.06250000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[199.96072159716536, 103.8642256963582, 191.08388669098645]                     | 83.5551528930664062|      0.03125000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[199.94740898292739, 103.8911213729812, 191.0926021589109]                      | 83.4937515258789062|      0.06250000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[199.94740898292739, 103.8911213729812, 191.0926021589109]                      | 83.4937515258789062|      0.03125000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[199.92919320380489, 103.90724007910745, 191.07298239327068]                    | 83.4458236694335938|      0.06250000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
