k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.50000000|[53, 8, 0, 4]                                                              |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00024414|[616, 96, 0, 48]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00012207|[668, 104, 0, 52]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00006104|[721, 112, 0, 56]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00003052|[771, 120, 0, 60]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00001526|[822, 128, 0, 64]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00000763|[875, 136, 0, 68]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[97.0, 0.009, 100.0, 65.0, 20.0, 70.0, 178.0, 16.5]                             |7371.7205784419347765|      0.00000381|[926, 144, 0, 72]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[97.0000000465993, 0.0090038107095639, 99.9999999167459, 65.00000009416507, 20.000000029267387, 70.00000001368143, 177.9999999297844, 16.500000080399346]|7371.1347656250000000|      0.00000763|[953, 148, 0, 74]                                                          |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
      20|[97.0000000465993, 0.0090038107095639, 99.9999999167459, 65.00000009416507, 20.000000029267387, 70.00000001368143, 177.9999999297844, 16.500000080399346]|7371.1347656250000000|      0.00000381|[1005, 156, 0, 78]                                                         |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[97.00000003213853, 0.0090075993468171, 100.0000000371305, 65.00000037194135, 20.000000059107883, 69.99999973711463, 178.00000008582606, 16.500000012922573]|7370.6308593750000000|      0.00000763|[1032, 160, 0, 80]                                                         |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
