k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|      2.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.500880648412887, 0.1266265788799113, 0.3349382447295728, 1.9272174361437469, -4.3618204912e-06, -1.4626080484e-06, 2.1902313568e-06, 9.55233782e-08, -1.08837875405e-05, -6.2062914671e-06, 6.5378535796e-06, -7.152773975e-07, 3.632861139e-07, 8.1519297084e-06, 2.1440462366e-06, -3.9600597902e-06, -4.6892094378e-06, -2.6944416747e-06, 2.717694649e-06, 4.8322969682e-06, 5.6884591765e-06, -3.972485967e-06]| 12.1446294784545898|      0.06250000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[1.500880648412887, 0.1266265788799113, 0.3349382447295728, 1.9272174361437469, -4.3618204912e-06, -1.4626080484e-06, 2.1902313568e-06, 9.55233782e-08, -1.08837875405e-05, -6.2062914671e-06, 6.5378535796e-06, -7.152773975e-07, 3.632861139e-07, 8.1519297084e-06, 2.1440462366e-06, -3.9600597902e-06, -4.6892094378e-06, -2.6944416747e-06, 2.717694649e-06, 4.8322969682e-06, 5.6884591765e-06, -3.972485967e-06]| 12.1446294784545898|      0.03125000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.500880648412887, 0.1266265788799113, 0.3349382447295728, 1.9272174361437469, -4.3618204912e-06, -1.4626080484e-06, 2.1902313568e-06, 9.55233782e-08, -1.08837875405e-05, -6.2062914671e-06, 6.5378535796e-06, -7.152773975e-07, 3.632861139e-07, 8.1519297084e-06, 2.1440462366e-06, -3.9600597902e-06, -4.6892094378e-06, -2.6944416747e-06, 2.717694649e-06, 4.8322969682e-06, 5.6884591765e-06, -3.972485967e-06]| 12.1446294784545898|      0.01562500|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.500880648412887, 0.1266265788799113, 0.3349382447295728, 1.9272174361437469, -4.3618204912e-06, -1.4626080484e-06, 2.1902313568e-06, 9.55233782e-08, -1.08837875405e-05, -6.2062914671e-06, 6.5378535796e-06, -7.152773975e-07, 3.632861139e-07, 8.1519297084e-06, 2.1440462366e-06, -3.9600597902e-06, -4.6892094378e-06, -2.6944416747e-06, 2.717694649e-06, 4.8322969682e-06, 5.6884591765e-06, -3.972485967e-06]| 12.1446294784545898|      0.00781250|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.4946821445116574, 0.1255096505558017, 0.3342927567243948, 1.9226412606662016, 1.05426797485e-05, -9.0200240204e-06, 4.0866206066e-06, 4.59429256343e-05, -6.4929691913e-06, 9.642082325e-07, 1.64463696653e-05, 7.3173538192e-06, 1.9032104441e-05, 3.52610408752e-05, 3.14847782636e-05, 2.27256554052e-05, -2.73097493737e-05, -2.8604539306e-05, -2.43679664564e-05, 3.04759527666e-05, 2.1243904195e-05, 3.0342291869e-06]| 12.1445999145507812|      0.01562500|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      17|[1.4946821445116574, 0.1255096505558017, 0.3342927567243948, 1.9226412606662016, 1.05426797485e-05, -9.0200240204e-06, 4.0866206066e-06, 4.59429256343e-05, -6.4929691913e-06, 9.642082325e-07, 1.64463696653e-05, 7.3173538192e-06, 1.9032104441e-05, 3.52610408752e-05, 3.14847782636e-05, 2.27256554052e-05, -2.73097493737e-05, -2.8604539306e-05, -2.43679664564e-05, 3.04759527666e-05, 2.1243904195e-05, 3.0342291869e-06]| 12.1445999145507812|      0.00781250|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.4946821445116574, 0.1255096505558017, 0.3342927567243948, 1.9226412606662016, 1.05426797485e-05, -9.0200240204e-06, 4.0866206066e-06, 4.59429256343e-05, -6.4929691913e-06, 9.642082325e-07, 1.64463696653e-05, 7.3173538192e-06, 1.9032104441e-05, 3.52610408752e-05, 3.14847782636e-05, 2.27256554052e-05, -2.73097493737e-05, -2.8604539306e-05, -2.43679664564e-05, 3.04759527666e-05, 2.1243904195e-05, 3.0342291869e-06]| 12.1445999145507812|      0.00390625|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.4946821445116574, 0.1255096505558017, 0.3342927567243948, 1.9226412606662016, 1.05426797485e-05, -9.0200240204e-06, 4.0866206066e-06, 4.59429256343e-05, -6.4929691913e-06, 9.642082325e-07, 1.64463696653e-05, 7.3173538192e-06, 1.9032104441e-05, 3.52610408752e-05, 3.14847782636e-05, 2.27256554052e-05, -2.73097493737e-05, -2.8604539306e-05, -2.43679664564e-05, 3.04759527666e-05, 2.1243904195e-05, 3.0342291869e-06]| 12.1445999145507812|      0.00195312|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.4933019705760144, 0.1250025718173538, 0.3345294933673916, 1.9238250376981365, 0.00023533601374, 0.0001060271036733, 3.81152084486e-05, 0.0001580125185531, -7.66346387041e-05, -2.333621486e-06, 5.548639933e-06, -7.55649806949e-05, 0.0001452380155201, -3.66920112744e-05, -3.0482659047e-05, 8.92484693814e-05, 0.0001454534066915, 5.2182442628e-06, 5.38579855504e-05, 9.65244590731e-05, 0.0002032586160688, -4.10005465849e-05]| 12.1445960998535156|      0.00390625|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      21|[1.4933019705760144, 0.1250025718173538, 0.3345294933673916, 1.9238250376981365, 0.00023533601374, 0.0001060271036733, 3.81152084486e-05, 0.0001580125185531, -7.66346387041e-05, -2.333621486e-06, 5.548639933e-06, -7.55649806949e-05, 0.0001452380155201, -3.66920112744e-05, -3.0482659047e-05, 8.92484693814e-05, 0.0001454534066915, 5.2182442628e-06, 5.38579855504e-05, 9.65244590731e-05, 0.0002032586160688, -4.10005465849e-05]| 12.1445960998535156|      0.00195312|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.4919954450653934, 0.124403598244175, 0.3349720789932972, 1.9250049583306128, 0.0003868419675385, 0.0001002196167155, -2.26567042093e-05, 0.0001919611718852, -0.0001361888833948, 0.0001523829197095, 2.6555867465e-06, 9.24008843024e-05, 0.0001029159834119, -5.74605899736e-05, 0.0001404900183779, -4.4720054772e-06, 8.01320328796e-05, 3.63145428728e-05, 9.74114240467e-05, 1.00951167092e-05, 0.0003353183519628, -0.0001117656736519]| 12.1445922851562500|      0.00390625|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      23|[1.4919954450653934, 0.124403598244175, 0.3349720789932972, 1.9250049583306128, 0.0003868419675385, 0.0001002196167155, -2.26567042093e-05, 0.0001919611718852, -0.0001361888833948, 0.0001523829197095, 2.6555867465e-06, 9.24008843024e-05, 0.0001029159834119, -5.74605899736e-05, 0.0001404900183779, -4.4720054772e-06, 8.01320328796e-05, 3.63145428728e-05, 9.74114240467e-05, 1.00951167092e-05, 0.0003353183519628, -0.0001117656736519]| 12.1445922851562500|      0.00195312|[2945, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      24|[1.4905380198808815, 0.1237361716363675, 0.3353593302379687, 1.925921138453307, 0.0002095472074604, 0.0002402117994957, -7.60659352711e-05, 0.0001099404851261, 0.0001248753512284, 0.0001566202739278, -0.0001312338566614, 9.20010169582e-05, 7.87908948796e-05, -0.000113341400566, 8.83951473859e-05, 6.60639096922e-05, -9.83016746189e-05, 5.40504421421e-05, 0.0001386707729944, 0.0001634090776147, 0.0003052654315177, -0.0003103440040637]| 12.1445884704589844|      0.00390625|[3073, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      25|[1.4905380198808815, 0.1237361716363675, 0.3353593302379687, 1.925921138453307, 0.0002095472074604, 0.0002402117994957, -7.60659352711e-05, 0.0001099404851261, 0.0001248753512284, 0.0001566202739278, -0.0001312338566614, 9.20010169582e-05, 7.87908948796e-05, -0.000113341400566, 8.83951473859e-05, 6.60639096922e-05, -9.83016746189e-05, 5.40504421421e-05, 0.0001386707729944, 0.0001634090776147, 0.0003052654315177, -0.0003103440040637]| 12.1445884704589844|      0.00195312|[3201, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      26|[1.4892342711455495, 0.1230483430965465, 0.3356902540178736, 1.927101911322896, 0.0001394491313664, 0.000163283513429, 7.62538850059e-05, 1.6901654116e-05, 0.0001182288875674, 0.0002436988239853, -0.0001924654874899, 0.0002785172438962, 0.000117177959769, -0.0001130375566113, 0.0001881605128499, 0.0001492576215643, -0.0001834309613156, 1.98397904431e-05, 0.0001872876847827, 0.0002296962268231, 0.0002235142966933, -0.0004053881067071]| 12.1445846557617188|      0.00390625|[3329, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      27|[1.4892342711455495, 0.1230483430965465, 0.3356902540178736, 1.927101911322896, 0.0001394491313664, 0.000163283513429, 7.62538850059e-05, 1.6901654116e-05, 0.0001182288875674, 0.0002436988239853, -0.0001924654874899, 0.0002785172438962, 0.000117177959769, -0.0001130375566113, 0.0001881605128499, 0.0001492576215643, -0.0001834309613156, 1.98397904431e-05, 0.0001872876847827, 0.0002296962268231, 0.0002235142966933, -0.0004053881067071]| 12.1445846557617188|      0.00195312|[3457, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      28|[1.4878104480956686, 0.122426892227743, 0.3360257380724579, 1.9281452288190197, 0.0002375367847368, 0.000152424836299, -0.0001045878575656, 6.4613515018e-06, 4.57821112682e-05, 0.000261302414785, -0.0001601373606735, 0.0004007899730244, 0.0002911480460471, -0.0001054042910175, 0.0003246638517511, 0.0003036820067981, -7.02404470939e-05, 0.0001457418010813, 0.000158241071735, 0.0003865802175167, 0.0002338905584871, -0.0005003922920733]| 12.1445808410644531|      0.00390625|[3585, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      29|[1.4878104480956686, 0.122426892227743, 0.3360257380724579, 1.9281452288190197, 0.0002375367847368, 0.000152424836299, -0.0001045878575656, 6.4613515018e-06, 4.57821112682e-05, 0.000261302414785, -0.0001601373606735, 0.0004007899730244, 0.0002911480460471, -0.0001054042910175, 0.0003246638517511, 0.0003036820067981, -7.02404470939e-05, 0.0001457418010813, 0.000158241071735, 0.0003865802175167, 0.0002338905584871, -0.0005003922920733]| 12.1445808410644531|      0.00195312|[3713, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.486433328555139, 0.1216465403391839, 0.3364930323607598, 1.9291164899384579, 0.0002848120291358, 7.91430336524e-05, -0.0001015349505594, -2.60975746888e-05, -2.3551728538e-05, 0.0002122563654922, -0.0001070874652429, 0.0005154042055566, 0.0003614868528245, 0.0001151413020742, 0.0003027257571209, 0.0002512432710706, 7.57668687439e-05, 0.0002410867185273, 0.0002502168499894, 0.0005024281184485, 0.00015302546251, -0.0005100165772469]| 12.1445770263671875|      0.00390625|[3841, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      31|[1.486433328555139, 0.1216465403391839, 0.3364930323607598, 1.9291164899384579, 0.0002848120291358, 7.91430336524e-05, -0.0001015349505594, -2.60975746888e-05, -2.3551728538e-05, 0.0002122563654922, -0.0001070874652429, 0.0005154042055566, 0.0003614868528245, 0.0001151413020742, 0.0003027257571209, 0.0002512432710706, 7.57668687439e-05, 0.0002410867185273, 0.0002502168499894, 0.0005024281184485, 0.00015302546251, -0.0005100165772469]| 12.1445770263671875|      0.00195312|[3969, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.4850744176680217, 0.1211299100410086, 0.3369918655203669, 1.9302590625350928, 0.0002635478276824, 3.50963321851e-05, 7.18934740475e-05, -0.0001208679558124, 3.41017831696e-05, 0.0001433181948399, -3.82750796031e-05, 0.0003101144871843, 0.0003228316596833, 0.0002698338566058, 0.0003766169148033, 0.000227333796962, 1.75741889732e-05, 0.0001725336521462, 0.000305466163104, 0.0004941379889326, 0.0001506743469377, -0.0005981652037569]| 12.1445732116699219|      0.00390625|[4097, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      33|[1.4850744176680217, 0.1211299100410086, 0.3369918655203669, 1.9302590625350928, 0.0002635478276824, 3.50963321851e-05, 7.18934740475e-05, -0.0001208679558124, 3.41017831696e-05, 0.0001433181948399, -3.82750796031e-05, 0.0003101144871843, 0.0003228316596833, 0.0002698338566058, 0.0003766169148033, 0.000227333796962, 1.75741889732e-05, 0.0001725336521462, 0.000305466163104, 0.0004941379889326, 0.0001506743469377, -0.0005981652037569]| 12.1445732116699219|      0.00195312|[4225, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      34|[1.4836003077568256, 0.1204448566253013, 0.3374724709003837, 1.931174442735992, 0.0003353468194362, -3.6890342274e-05, 0.0001211956115249, -0.0002634509541047, 4.23359760893e-05, 3.08895720249e-05, -4.05344908722e-05, 0.0003777178502373, 0.0003192321384045, 0.0001856055406817, 0.0004565440012683, 6.70104191739e-05, -8.5751738139e-06, 0.0002641657872199, 0.0003362602491823, 0.0004569604959724, 0.000194014074218, -0.0006232092167273]| 12.1445693969726562|      0.00390625|[4353, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      35|[1.4836003077568256, 0.1204448566253013, 0.3374724709003837, 1.931174442735992, 0.0003353468194362, -3.6890342274e-05, 0.0001211956115249, -0.0002634509541047, 4.23359760893e-05, 3.08895720249e-05, -4.05344908722e-05, 0.0003777178502373, 0.0003192321384045, 0.0001856055406817, 0.0004565440012683, 6.70104191739e-05, -8.5751738139e-06, 0.0002641657872199, 0.0003362602491823, 0.0004569604959724, 0.000194014074218, -0.0006232092167273]| 12.1445693969726562|      0.00195312|[4481, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      36|[1.4823185585620453, 0.1198949438276119, 0.337931574251561, 1.9324410103161203, 0.0003450822845491, 5.45309965821e-05, 0.0001604829154659, -0.0003044927915247, -3.7587047338e-06, 0.0001114742846224, 2.39032754493e-05, 0.0003899660090076, 0.0002985525214623, 0.0003279723618256, 0.0004231872572626, 5.93301138939e-05, -2.94921595187e-05, 0.0002707324027694, 0.000314603984681, 0.0004737583770927, 0.0001119550812639, -0.0006203218414462]| 12.1445655822753906|      0.00390625|[4609, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      37|[1.4823185585620453, 0.1198949438276119, 0.337931574251561, 1.9324410103161203, 0.0003450822845491, 5.45309965821e-05, 0.0001604829154659, -0.0003044927915247, -3.7587047338e-06, 0.0001114742846224, 2.39032754493e-05, 0.0003899660090076, 0.0002985525214623, 0.0003279723618256, 0.0004231872572626, 5.93301138939e-05, -2.94921595187e-05, 0.0002707324027694, 0.000314603984681, 0.0004737583770927, 0.0001119550812639, -0.0006203218414462]| 12.1445655822753906|      0.00195312|[4737, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      38|[1.4807258931679095, 0.119404824258205, 0.3382705487263621, 1.9333767696473996, 0.000405041162394, 2.50925563765e-05, 0.000131541534238, -0.0002780528762651, -3.1300513184e-06, 0.0001089313349481, 6.96718701348e-05, 0.0004114192017607, 0.0004633383993412, 0.0003430288136461, 0.0004110206448432, 6.6837184288e-06, -3.68525235448e-05, 0.0003138737487029, 0.0003781086155297, 0.0005029544710871, 0.0001523378364366, -0.0006277682259007]| 12.1445617675781250|      0.00390625|[4865, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      39|[1.4807258931679095, 0.119404824258205, 0.3382705487263621, 1.9333767696473996, 0.000405041162394, 2.50925563765e-05, 0.000131541534238, -0.0002780528762651, -3.1300513184e-06, 0.0001089313349481, 6.96718701348e-05, 0.0004114192017607, 0.0004633383993412, 0.0003430288136461, 0.0004110206448432, 6.6837184288e-06, -3.68525235448e-05, 0.0003138737487029, 0.0003781086155297, 0.0005029544710871, 0.0001523378364366, -0.0006277682259007]| 12.1445617675781250|      0.00195312|[4993, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      40|[1.4793337197601173, 0.1187360737605509, 0.3386413535893588, 1.9344217368804146, 0.0002477265763036, -0.0001344322978255, 5.74860346864e-05, -0.0003598633028233, -6.45202394121e-05, 0.0003160945705832, -3.57345755142e-05, 0.0003672268235828, 0.0005236665635409, 0.0003732703703877, 0.000329908937273, 0.0001414949353314, -0.0001420388293234, 0.0004223450809763, 0.0003402915042153, 0.0004198672812108, 0.0001003701182613, -0.0005070340215312]| 12.1445579528808594|      0.00390625|[5121, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      41|[1.4793337197601173, 0.1187360737605509, 0.3386413535893588, 1.9344217368804146, 0.0002477265763036, -0.0001344322978255, 5.74860346864e-05, -0.0003598633028233, -6.45202394121e-05, 0.0003160945705832, -3.57345755142e-05, 0.0003672268235828, 0.0005236665635409, 0.0003732703703877, 0.000329908937273, 0.0001414949353314, -0.0001420388293234, 0.0004223450809763, 0.0003402915042153, 0.0004198672812108, 0.0001003701182613, -0.0005070340215312]| 12.1445579528808594|      0.00195312|[5249, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      42|[1.4779862908888, 0.11820943047992, 0.3389027608696734, 1.935672784128103, 0.0002332263868512, -0.000167483555232, 1.47415544214e-05, -0.0003634336983475, 1.00366773649e-05, 0.0003129183782797, -4.21168798246e-05, 0.0004730187760333, 0.0005623550967043, 0.0003618631252365, 0.0004158203051555, 0.0002330255079897, 4.0780548894e-06, 0.0004953339391922, 0.0002181603141257, 0.0004697868308758, 0.0001801515031092, -0.0004836568889491]| 12.1445531845092773|      0.00390625|[5377, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      43|[1.4779862908888, 0.11820943047992, 0.3389027608696734, 1.935672784128103, 0.0002332263868512, -0.000167483555232, 1.47415544214e-05, -0.0003634336983475, 1.00366773649e-05, 0.0003129183782797, -4.21168798246e-05, 0.0004730187760333, 0.0005623550967043, 0.0003618631252365, 0.0004158203051555, 0.0002330255079897, 4.0780548894e-06, 0.0004953339391922, 0.0002181603141257, 0.0004697868308758, 0.0001801515031092, -0.0004836568889491]| 12.1445531845092773|      0.00195312|[5505, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      44|[1.476582416995084, 0.1174535500818397, 0.3391194704276326, 1.9367303901051347, 0.0001712105958211, -0.0002299634696902, -9.6639962856e-05, -0.0003873080755611, -5.12583257266e-05, 0.0001984712258671, -1.90682513154e-05, 0.0003868207323532, 0.0004807280796805, 0.0003133024431228, 0.000289576212509, 0.0002126516459203, 3.6260929276e-06, 0.0005751947673792, 0.0003382427958751, 0.000347511927296, 0.0001626811896678, -0.0004877496823404]| 12.1445493698120117|      0.00390625|[5633, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      45|[1.476582416995084, 0.1174535500818397, 0.3391194704276326, 1.9367303901051347, 0.0001712105958211, -0.0002299634696902, -9.6639962856e-05, -0.0003873080755611, -5.12583257266e-05, 0.0001984712258671, -1.90682513154e-05, 0.0003868207323532, 0.0004807280796805, 0.0003133024431228, 0.000289576212509, 0.0002126516459203, 3.6260929276e-06, 0.0005751947673792, 0.0003382427958751, 0.000347511927296, 0.0001626811896678, -0.0004877496823404]| 12.1445493698120117|      0.00195312|[5761, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
