k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.11111111|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[-1.0752890247395472, 2.235489217216811, 1.4984980768828806, 5.644728420731608, 3.012271945614061, 9.01387667176019]|  7.0914688110351562|      0.65610000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      19|[-0.6256474674458773, 2.482787927297656, 1.599259058951973, 5.394017485353641, 3.015884256801097, 8.707101134063427]|  4.8293514251708984|      0.72900000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      20|[-0.6256474674458773, 2.482787927297656, 1.599259058951973, 5.394017485353641, 3.015884256801097, 8.707101134063427]|  4.8293514251708984|      0.65610000|[269, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[-0.6256474674458773, 2.482787927297656, 1.599259058951973, 5.394017485353641, 3.015884256801097, 8.707101134063427]|  4.8293514251708984|      0.59049000|[282, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.65610000|[295, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      23|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.59049000|[308, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.53144100|[321, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      25|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.47829690|[334, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      26|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.43046721|[347, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      27|[-0.687936792873435, 2.5716271200323617, 1.1961909404535809, 5.219072735638114, 2.662428927785626, 8.569602644399982]|  3.8806753158569336|      0.38742049|[360, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.43046721|[373, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      29|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.38742049|[387, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      30|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.34867844|[400, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      31|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.31381060|[413, 62, 0, 62]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      32|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.28242954|[427, 64, 0, 64]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      33|[-0.3253044667951124, 2.6482488190017843, 1.2930877515098218, 5.169250438475691, 2.6740309882709807, 8.542850344832503]|  2.9871840476989746|      0.25418658|[441, 66, 0, 66]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      34|[-0.3847291733248764, 2.7143721296899455, 1.1800638146532603, 5.099868366340878, 2.478077468458257, 8.569704893171346]|  2.6253478527069092|      0.28242954|[454, 68, 0, 68]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      35|[-0.3847291733248764, 2.7143721296899455, 1.1800638146532603, 5.099868366340878, 2.478077468458257, 8.569704893171346]|  2.6253478527069092|      0.25418658|[467, 70, 0, 70]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      36|[-0.3847291733248764, 2.7143721296899455, 1.1800638146532603, 5.099868366340878, 2.478077468458257, 8.569704893171346]|  2.6253478527069092|      0.22876792|[480, 72, 0, 72]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      37|[-0.3847291733248764, 2.7143721296899455, 1.1800638146532603, 5.099868366340878, 2.478077468458257, 8.569704893171346]|  2.6253478527069092|      0.20589113|[494, 74, 0, 74]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      38|[-0.2139578017551843, 2.7503480609763202, 1.216083146388905, 5.0229440017778115, 2.423279382347599, 8.52827484451104]|  2.2553167343139648|      0.22876792|[507, 76, 0, 76]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      39|[-0.2139578017551843, 2.7503480609763202, 1.216083146388905, 5.0229440017778115, 2.423279382347599, 8.52827484451104]|  2.2553167343139648|      0.20589113|[521, 78, 0, 78]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      40|[-0.2139578017551843, 2.7503480609763202, 1.216083146388905, 5.0229440017778115, 2.423279382347599, 8.52827484451104]|  2.2553167343139648|      0.18530202|[534, 80, 0, 80]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      41|[-0.2139578017551843, 2.7503480609763202, 1.216083146388905, 5.0229440017778115, 2.423279382347599, 8.52827484451104]|  2.2553167343139648|      0.16677182|[547, 82, 0, 82]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      42|[-0.1923997131288277, 2.7328958723255603, 1.168090499468417, 5.015244065597946, 2.2767966745546193, 8.585052850926147]|  2.0331468582153320|      0.18530202|[560, 84, 0, 84]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      43|[-0.1923997131288277, 2.7328958723255603, 1.168090499468417, 5.015244065597946, 2.2767966745546193, 8.585052850926147]|  2.0331468582153320|      0.16677182|[573, 86, 0, 86]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      44|[-0.1923997131288277, 2.7328958723255603, 1.168090499468417, 5.015244065597946, 2.2767966745546193, 8.585052850926147]|  2.0331468582153320|      0.15009464|[586, 88, 0, 88]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      45|[-0.0752367832136319, 2.779078941102886, 1.1511698737306153, 4.968979536590445, 2.2132976677438987, 8.57057757989786]|  1.7848143577575684|      0.16677182|[599, 90, 0, 90]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      46|[-0.0752367832136319, 2.779078941102886, 1.1511698737306153, 4.968979536590445, 2.2132976677438987, 8.57057757989786]|  1.7848143577575684|      0.15009464|[612, 92, 0, 92]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      47|[-0.0752367832136319, 2.779078941102886, 1.1511698737306153, 4.968979536590445, 2.2132976677438987, 8.57057757989786]|  1.7848143577575684|      0.13508517|[625, 94, 0, 94]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      48|[-0.0470749642938664, 2.7670637909118247, 1.1264622387936765, 4.935923371431929, 2.089232178849825, 8.58524485431159]|  1.6027736663818359|      0.15009464|[638, 96, 0, 96]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      49|[0.0800619216042273, 2.770808162349457, 1.1298506265263009, 4.89477157265906, 2.02566748672481, 8.560644657706803]|  1.3956109285354614|      0.16677182|[651, 98, 0, 98]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      50|[0.0800619216042273, 2.770808162349457, 1.1298506265263009, 4.89477157265906, 2.02566748672481, 8.560644657706803]|  1.3956109285354614|      0.15009464|[665, 100, 0, 100]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.0800619216042273, 2.770808162349457, 1.1298506265263009, 4.89477157265906, 2.02566748672481, 8.560644657706803]|  1.3956109285354614|      0.13508517|[678, 102, 0, 102]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.0800619216042273, 2.770808162349457, 1.1298506265263009, 4.89477157265906, 2.02566748672481, 8.560644657706803]|  1.3956109285354614|      0.12157665|[691, 104, 0, 104]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.1034980280220697, 2.78024906971181, 1.1312462173284952, 4.878926419615593, 1.9147761104984755, 8.520737424583558]|  1.2410604953765869|      0.13508517|[705, 106, 0, 106]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      54|[0.1034980280220697, 2.78024906971181, 1.1312462173284952, 4.878926419615593, 1.9147761104984755, 8.520737424583558]|  1.2410604953765869|      0.12157665|[719, 108, 0, 108]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.1034980280220697, 2.78024906971181, 1.1312462173284952, 4.878926419615593, 1.9147761104984755, 8.520737424583558]|  1.2410604953765869|      0.10941899|[732, 110, 0, 110]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.1880240676522412, 2.783690297605327, 1.117346970747432, 4.866052390203484, 1.8493981279351266, 8.534258203581343]|  1.1107465028762817|      0.12157665|[746, 112, 0, 112]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      57|[0.1880240676522412, 2.783690297605327, 1.117346970747432, 4.866052390203484, 1.8493981279351266, 8.534258203581343]|  1.1107465028762817|      0.10941899|[759, 114, 0, 114]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.1880240676522412, 2.783690297605327, 1.117346970747432, 4.866052390203484, 1.8493981279351266, 8.534258203581343]|  1.1107465028762817|      0.09847709|[772, 116, 0, 116]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.2064055847267954, 2.7545729201508697, 1.0326841193123126, 4.84442129321409, 1.8197969115148958, 8.534575495939933]|  1.0327163934707642|      0.10941899|[785, 118, 0, 118]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      60|[0.2064055847267954, 2.7545729201508697, 1.0326841193123126, 4.84442129321409, 1.8197969115148958, 8.534575495939933]|  1.0327163934707642|      0.09847709|[799, 120, 0, 120]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.2764027034001714, 2.7363181422703335, 1.0316159230285407, 4.814037361493728, 1.7634164953253935, 8.515553716842197]|  0.9123131632804871|      0.10941899|[812, 122, 0, 122]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      62|[0.2764027034001714, 2.7363181422703335, 1.0316159230285407, 4.814037361493728, 1.7634164953253935, 8.515553716842197]|  0.9123131632804871|      0.09847709|[825, 124, 0, 124]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.3306431442922004, 2.7041783475477077, 1.0178373856973588, 4.7865881930474465, 1.6964439415945598, 8.49840386050774]|  0.7986977696418762|      0.10941899|[838, 126, 0, 126]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      64|[0.3306431442922004, 2.7041783475477077, 1.0178373856973588, 4.7865881930474465, 1.6964439415945598, 8.49840386050774]|  0.7986977696418762|      0.09847709|[852, 128, 0, 128]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.3306431442922004, 2.7041783475477077, 1.0178373856973588, 4.7865881930474465, 1.6964439415945598, 8.49840386050774]|  0.7986977696418762|      0.08862938|[865, 130, 0, 130]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.3306431442922004, 2.7041783475477077, 1.0178373856973588, 4.7865881930474465, 1.6964439415945598, 8.49840386050774]|  0.7986977696418762|      0.07976644|[878, 132, 0, 132]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.3735064707294976, 2.6981721901363294, 0.9544610561909761, 4.774377070520178, 1.678452940911011, 8.498403275381785]|  0.7364889979362488|      0.08862938|[892, 134, 0, 134]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      68|[0.4193646237070179, 2.683948602301141, 0.9216339469044957, 4.772197013472067, 1.6116320921648473, 8.499980927392448]|  0.6488190293312073|      0.09847709|[906, 136, 0, 136]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      69|[0.4193646237070179, 2.683948602301141, 0.9216339469044957, 4.772197013472067, 1.6116320921648473, 8.499980927392448]|  0.6488190293312073|      0.08862938|[920, 138, 0, 138]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.4683155213239727, 2.6375004534513438, 0.9584903103737932, 4.747566549258225, 1.580449537561776, 8.480898388382752]|  0.5873106718063354|      0.09847709|[933, 140, 0, 140]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      71|[0.4683155213239727, 2.6375004534513438, 0.9584903103737932, 4.747566549258225, 1.580449537561776, 8.480898388382752]|  0.5873106718063354|      0.08862938|[947, 142, 0, 142]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.4683155213239727, 2.6375004534513438, 0.9584903103737932, 4.747566549258225, 1.580449537561776, 8.480898388382752]|  0.5873106718063354|      0.07976644|[960, 144, 0, 144]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.4683155213239727, 2.6375004534513438, 0.9584903103737932, 4.747566549258225, 1.580449537561776, 8.480898388382752]|  0.5873106718063354|      0.07178980|[973, 146, 0, 146]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.4811673595408323, 2.627802684956219, 0.9244614715855937, 4.74449951087418, 1.5224786959213852, 8.461752326809545]|  0.5232194066047668|      0.07976644|[986, 148, 0, 148]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      75|[0.4811673595408323, 2.627802684956219, 0.9244614715855937, 4.74449951087418, 1.5224786959213852, 8.461752326809545]|  0.5232194066047668|      0.07178980|[999, 150, 0, 150]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.5165237513390046, 2.6213829912772755, 0.9031335341838309, 4.703820357726072, 1.4816834804016863, 8.45234146736721]|  0.4630440175533295|      0.07976644|[1012, 152, 0, 152]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      77|[0.5714200031230949, 2.5992500374687766, 0.8935145653624915, 4.685856713793756, 1.4409531396906305, 8.424322873220591]|  0.3965515494346619|      0.08862938|[1025, 154, 0, 154]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      78|[0.5846016382012443, 2.5829326524592493, 0.859860908374809, 4.6889901996893775, 1.3618532097325016, 8.42032682861214]|  0.3461557626724243|      0.09847709|[1038, 156, 0, 156]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      79|[0.5846016382012443, 2.5829326524592493, 0.859860908374809, 4.6889901996893775, 1.3618532097325016, 8.42032682861214]|  0.3461557626724243|      0.08862938|[1051, 158, 0, 158]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.6608863962020439, 2.5915838161212914, 0.8636407677744561, 4.663426216122734, 1.3258934901066124, 8.420559738212004]|  0.2834756672382355|      0.09847709|[1064, 160, 0, 160]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
