k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.90000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.81000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.72900000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.65610000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.59049000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.53144100|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5143859992592472, -0.13355366055285]                                         | 14.6934900283813477|      0.59049000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.5143859992592472, -0.13355366055285]                                         | 14.6934900283813477|      0.53144100|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.7461202209327569, 0.4791660966398382]                                        |  0.7139636874198914|      0.02503156|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.7461202209327569, 0.4791660966398382]                                        |  0.7139636874198914|      0.02252840|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.7240102367829458, 0.4748443623870729]                                        |  0.6666786670684814|      0.02503156|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.7032848105240133, 0.4888812941958175]                                        |  0.6077433228492737|      0.02781284|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.7032848105240133, 0.4888812941958175]                                        |  0.6077433228492737|      0.02503156|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.7032848105240133, 0.4888812941958175]                                        |  0.6077433228492737|      0.02252840|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.7032848105240133, 0.4888812941958175]                                        |  0.6077433228492737|      0.02027556|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.7032848105240133, 0.4888812941958175]                                        |  0.6077433228492737|      0.01824800|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.6966717570300098, 0.505888856043921]                                         |  0.5674752593040466|      0.02027556|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.6966717570300098, 0.505888856043921]                                         |  0.5674752593040466|      0.01824800|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.678902342238274, 0.5100406670332186]                                         |  0.5327519178390503|      0.02027556|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.678902342238274, 0.5100406670332186]                                         |  0.5327519178390503|      0.01824800|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.6755774320559118, 0.52798320333138]                                          |  0.5120375156402588|      0.02027556|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.6755774320559118, 0.52798320333138]                                          |  0.5120375156402588|      0.01824800|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.6755774320559118, 0.52798320333138]                                          |  0.5120375156402588|      0.01642320|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.6593866290197151, 0.5252301136790635]                                        |  0.4827004373073578|      0.01824800|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.6510188558884293, 0.54144646374173]                                          |  0.4518784880638123|      0.02027556|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.6510188558884293, 0.54144646374173]                                          |  0.4518784880638123|      0.01824800|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.636529202145009, 0.5525387840998606]                                         |  0.4199590682983398|      0.02027556|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.636529202145009, 0.5525387840998606]                                         |  0.4199590682983398|      0.01824800|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[0.636529202145009, 0.5525387840998606]                                         |  0.4199590682983398|      0.01642320|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[0.6202628646388664, 0.5548032641123286]                                        |  0.3985705971717834|      0.01824800|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.6202628646388664, 0.5548032641123286]                                        |  0.3985705971717834|      0.01642320|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[0.6202628646388664, 0.5548032641123286]                                        |  0.3985705971717834|      0.01478088|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[0.6187389520538921, 0.5695053792989863]                                        |  0.3844334483146667|      0.01642320|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.6187389520538921, 0.5695053792989863]                                        |  0.3844334483146667|      0.01478088|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      75|[0.6083973048650465, 0.5800659111960943]                                        |  0.3668963015079498|      0.01642320|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.6083973048650465, 0.5800659111960943]                                        |  0.3668963015079498|      0.01478088|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      77|[0.5936303293113869, 0.5794248702254736]                                        |  0.3447287976741791|      0.01642320|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.5936303293113869, 0.5794248702254736]                                        |  0.3447287976741791|      0.01478088|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[0.5936303293113869, 0.5794248702254736]                                        |  0.3447287976741791|      0.01330279|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[0.5936303293113869, 0.5794248702254736]                                        |  0.3447287976741791|      0.01197252|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
