k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.90000000|[58, 4, 0, 4]                                                              |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0004776069558881, 0.0012615200814967, 0.0411801312245942, -0.0068327713222853, 0.5240601621395488, -0.0185511952507346, -0.0397967977130222, -0.0498551680547568, 0.0404067282902488]|48867.7187500000000000|      0.34867844|[690, 48, 0, 48]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.0004776069558881, 0.0012615200814967, 0.0411801312245942, -0.0068327713222853, 0.5240601621395488, -0.0185511952507346, -0.0397967977130222, -0.0498551680547568, 0.0404067282902488]|48867.7187500000000000|      0.31381060|[747, 52, 0, 52]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0004776069558881, 0.0012615200814967, 0.0411801312245942, -0.0068327713222853, 0.5240601621395488, -0.0185511952507346, -0.0397967977130222, -0.0498551680547568, 0.0404067282902488]|48867.7187500000000000|      0.28242954|[805, 56, 0, 56]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0004776069558881, 0.0012615200814967, 0.0411801312245942, -0.0068327713222853, 0.5240601621395488, -0.0185511952507346, -0.0397967977130222, -0.0498551680547568, 0.0404067282902488]|48867.7187500000000000|      0.25418658|[863, 60, 0, 60]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.0004776069558881, 0.0012615200814967, 0.0411801312245942, -0.0068327713222853, 0.5240601621395488, -0.0185511952507346, -0.0397967977130222, -0.0498551680547568, 0.0404067282902488]|48867.7187500000000000|      0.22876792|[920, 64, 0, 64]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.25418658|[963, 67, 0, 67]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | iterate success | actual_k=1
      18|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.22876792|[1020, 71, 0, 71]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.20589113|[1078, 75, 0, 75]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.18530202|[1136, 79, 0, 79]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.16677182|[1193, 83, 0, 83]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.15009464|[1250, 87, 0, 87]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.0224451463867454, -0.0083666301622653, 0.0356044897101723, -0.001478052091841, 0.7461939081303579, 0.0246646165993655, -0.0429690662961703, -0.0644848747468699, 0.0552979841420811]|4627.7382812500000000|      0.13508517|[1307, 91, 0, 91]                                                          |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
