k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1030667031295838, 0.975424891499085]                                        |541.5443725585937500|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[-1.1030667031295838, 0.975424891499085]                                        |541.5443725585937500|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.0069051128576296, 0.9479849834021395]                                       |391.6622314453125000|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[-1.0069051128576296, 0.9479849834021395]                                       |391.6622314453125000|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.914353141470494, 0.9101150402762934]                                        |284.0773010253906250|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.914353141470494, 0.9101150402762934]                                        |284.0773010253906250|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8227156937584588, 0.8700828260379577]                                       |206.9400939941406250|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-0.8227156937584588, 0.8700828260379577]                                       |206.9400939941406250|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7306478147988842, 0.8310507153611684]                                       |152.1047058105468750|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.7306478147988842, 0.8310507153611684]                                       |152.1047058105468750|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6514710268870355, 0.7699685063640952]                                       |112.2356796264648438|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.6514710268870355, 0.7699685063640952]                                       |112.2356796264648438|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5738882726929018, 0.7068740038171012]                                       | 82.7377243041992188|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.1802300154701726, 0.0080682002704992]                                        |  0.6725129485130310|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.1899193049398187, 0.0055948079495351]                                        |  0.6563883423805237|      0.10000000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.1899193049398187, 0.0055948079495351]                                        |  0.6563883423805237|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.1999134892792699, 0.0052538103116126]                                        |  0.6408869028091431|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.1999134892792699, 0.0052538103116126]                                        |  0.6408869028091431|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.2093165192539904, 0.0086571949937353]                                        |  0.6252067685127258|      0.10000000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.3092853517422679, 0.0111536987351143]                                        |  0.5110596418380737|      1.00000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.3092853517422679, 0.0111536987351143]                                        |  0.5110596418380737|      0.10000000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.3092853517422679, 0.0111536987351143]                                        |  0.5110596418380737|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.3095071388268693, 0.0211512389570441]                                        |  0.4840018153190613|      0.10000000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.3095071388268693, 0.0211512389570441]                                        |  0.4840018153190613|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.3095071388268693, 0.0211512389570441]                                        |  0.4840018153190613|      0.00100000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.3099580368286079, 0.0220438144395822]                                        |  0.4821410775184631|      0.01000000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.3099580368286079, 0.0220438144395822]                                        |  0.4821410775184631|      0.00100000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.3104591626402579, 0.0229091888792892]                                        |  0.4803867340087891|      0.01000000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.3104591626402579, 0.0229091888792892]                                        |  0.4803867340087891|      0.00100000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.3110274598812042, 0.0237320122175172]                                        |  0.4787232875823975|      0.01000000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.3156488067090155, 0.0326001097303482]                                        |  0.4684689640998840|      0.10000000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.3156488067090155, 0.0326001097303482]                                        |  0.4684689640998840|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.3255170496661554, 0.0309821539402048]                                        |  0.4561593234539032|      0.10000000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.3255170496661554, 0.0309821539402048]                                        |  0.4561593234539032|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.3319772740018688, 0.0386153381730303]                                        |  0.4466658234596252|      0.10000000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.3319772740018688, 0.0386153381730303]                                        |  0.4466658234596252|      0.01000000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.3416486185729921, 0.0360726832246339]                                        |  0.4348749816417694|      0.10000000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.3416486185729921, 0.0360726832246339]                                        |  0.4348749816417694|      0.01000000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.3496353796622227, 0.0420902946530623]                                        |  0.4230164885520935|      0.10000000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.3496353796622227, 0.0420902946530623]                                        |  0.4230164885520935|      0.01000000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.3592025256715857, 0.0450005725153169]                                        |  0.4108026027679443|      0.10000000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.3592025256715857, 0.0450005725153169]                                        |  0.4108026027679443|      0.01000000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.3592025256715857, 0.0450005725153169]                                        |  0.4108026027679443|      0.00100000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.3601574829898861, 0.0452973157043281]                                        |  0.4096000790596008|      0.01000000|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[0.3700307545858318, 0.0468842964832579]                                        |  0.3982911109924316|      0.10000000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.3700307545858318, 0.0468842964832579]                                        |  0.3982911109924316|      0.01000000|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.3700307545858318, 0.0468842964832579]                                        |  0.3982911109924316|      0.00100000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.3707537423402216, 0.0475751573281481]                                        |  0.3970987200737000|      0.01000000|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.3707537423402216, 0.0475751573281481]                                        |  0.3970987200737000|      0.00100000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.3715517809978626, 0.0481777635850942]                                        |  0.3959176242351532|      0.01000000|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.3715517809978626, 0.0481777635850942]                                        |  0.3959176242351532|      0.00100000|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.3724002861781132, 0.0487069506589045]                                        |  0.3947447240352631|      0.01000000|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.3804880371895333, 0.05458813111671]                                          |  0.3838196396827698|      0.10000000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.3804880371895333, 0.05458813111671]                                          |  0.3838196396827698|      0.01000000|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      71|[0.3903635075488309, 0.0561613714615507]                                        |  0.3727613091468811|      0.10000000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.3903635075488309, 0.0561613714615507]                                        |  0.3727613091468811|      0.01000000|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[0.3903635075488309, 0.0561613714615507]                                        |  0.3727613091468811|      0.00100000|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.3911824492746948, 0.0567352481465963]                                        |  0.3716353476047516|      0.01000000|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.398220630229587, 0.0638390505682711]                                         |  0.3621859252452850|      0.10000000|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.398220630229587, 0.0638390505682711]                                         |  0.3621859252452850|      0.01000000|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      77|[0.398220630229587, 0.0638390505682711]                                         |  0.3621859252452850|      0.00100000|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.3992147067644551, 0.0637303682660114]                                        |  0.3609440922737122|      0.01000000|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.3992147067644551, 0.0637303682660114]                                        |  0.3609440922737122|      0.00100000|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[0.4002124715767997, 0.0636635447727842]                                        |  0.3597643077373505|      0.01000000|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
