k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      2.00000000|[23, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      1.00000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.4660302398101391, -0.8597880349237015, -1.7218321461846628]                  |  3.0285267829895020|      0.12500000|[134, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.4660302398101391, -0.8597880349237015, -1.7218321461846628]                  |  3.0285267829895020|      0.06250000|[145, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.4660302398101391, -0.8597880349237015, -1.7218321461846628]                  |  3.0285267829895020|      0.03125000|[156, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.4660302398101391, -0.8597880349237015, -1.7218321461846628]                  |  3.0285267829895020|      0.01562500|[167, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.4695943991043161, -0.8697893442040618, -1.7103686734907402]                  |  2.9389791488647461|      0.03125000|[172, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.4695943991043161, -0.8697893442040618, -1.7103686734907402]                  |  2.9389791488647461|      0.01562500|[183, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.4756284522355049, -0.8744037250450283, -1.696714431759157]                   |  2.8917839527130127|      0.03125000|[194, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      22|[0.4756284522355049, -0.8744037250450283, -1.696714431759157]                   |  2.8917839527130127|      0.01562500|[204, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.4886137375512283, -0.8754826756913894, -1.6880912736502054]                  |  2.8506309986114502|      0.03125000|[215, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      24|[0.4927515029058404, -0.8632592986784975, -1.659630239721852]                   |  2.7801024913787842|      0.06250000|[221, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.4927515029058404, -0.8632592986784975, -1.659630239721852]                   |  2.7801024913787842|      0.03125000|[231, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.4927515029058404, -0.8632592986784975, -1.659630239721852]                   |  2.7801024913787842|      0.01562500|[241, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.50561277145367, -0.8616169310067944, -1.6509106626236465]                    |  2.7276287078857422|      0.03125000|[247, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.50561277145367, -0.8616169310067944, -1.6509106626236465]                    |  2.7276287078857422|      0.01562500|[259, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.5125583156206914, -0.8560787833925226, -1.6380565207920619]                  |  2.6848249435424805|      0.03125000|[269, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      30|[0.5125583156206914, -0.8560787833925226, -1.6380565207920619]                  |  2.6848249435424805|      0.01562500|[280, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.5187423283636406, -0.8561113384132187, -1.623707390101819]                   |  2.6451179981231689|      0.03125000|[287, 109, 0, 109]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      32|[0.5187423283636406, -0.8561113384132187, -1.623707390101819]                   |  2.6451179981231689|      0.01562500|[298, 113, 0, 113]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.5275126739670939, -0.8534869757442447, -1.6110450686883624]                  |  2.6027896404266357|      0.03125000|[304, 115, 0, 115]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.5458906166043861, -0.8470933606377201, -1.586592350837579]                   |  2.5238263607025146|      0.06250000|[312, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
      35|[0.5458906166043861, -0.8470933606377201, -1.586592350837579]                   |  2.5238263607025146|      0.03125000|[324, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.5416339858081832, -0.825608045418807, -1.564302783228297]                    |  2.4763870239257812|      0.06250000|[332, 125, 0, 125]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
      37|[0.5416339858081832, -0.825608045418807, -1.564302783228297]                    |  2.4763870239257812|      0.03125000|[342, 129, 0, 129]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.5416339858081832, -0.825608045418807, -1.564302783228297]                    |  2.4763870239257812|      0.01562500|[353, 133, 0, 133]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.5568280369387155, -0.8262155130954042, -1.5607093978795403]                  |  2.4392185211181641|      0.03125000|[363, 137, 0, 137]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      40|[0.5568280369387155, -0.8262155130954042, -1.5607093978795403]                  |  2.4392185211181641|      0.01562500|[375, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.5604873109625661, -0.8276075308776148, -1.5455828442366122]                  |  2.3937344551086426|      0.03125000|[386, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      42|[0.5734759058462997, -0.8092726302175374, -1.523864411495474]                   |  2.3313274383544922|      0.06250000|[397, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      43|[0.5734759058462997, -0.8092726302175374, -1.523864411495474]                   |  2.3313274383544922|      0.03125000|[408, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.5734759058462997, -0.8092726302175374, -1.523864411495474]                   |  2.3313274383544922|      0.01562500|[420, 159, 0, 159]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.5755227161943909, -0.8142992773347884, -1.5092123122889582]                  |  2.2919387817382812|      0.03125000|[430, 163, 0, 163]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
