k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      1.11111111|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.90000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.81000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.72900000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.65610000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.59049000|[50, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.53144100|[58, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.47829690|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.43046721|[72, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.0989705286377818, 0.3266508320373996]                                        |  2.5224368572235107|      0.20589113|[145, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.8986397169392488, 0.2791247953898611]                                        |  2.0439178943634033|      0.22876792|[153, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      23|[0.8986397169392488, 0.2791247953898611]                                        |  2.0439178943634033|      0.20589113|[161, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.8986397169392488, 0.2791247953898611]                                        |  2.0439178943634033|      0.18530202|[167, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.8323612225427427, 0.4521681407789783]                                        |  1.1157453060150146|      0.20589113|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.8323612225427427, 0.4521681407789783]                                        |  1.1157453060150146|      0.18530202|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.8323612225427427, 0.4521681407789783]                                        |  1.1157453060150146|      0.16677182|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.8323612225427427, 0.4521681407789783]                                        |  1.1157453060150146|      0.15009464|[192, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.8323612225427427, 0.4521681407789783]                                        |  1.1157453060150146|      0.13508517|[199, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.7151108624137683, 0.5192528385946991]                                        |  0.6700943112373352|      0.15009464|[205, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.7151108624137683, 0.5192528385946991]                                        |  0.6700943112373352|      0.13508517|[211, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.15009464|[218, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      33|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.13508517|[225, 85, 0, 85]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.12157665|[233, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.10941899|[239, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.09847709|[246, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.08862938|[253, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.07976644|[259, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.07178980|[265, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.06461082|[271, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.05814974|[279, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.05233476|[286, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.04710129|[294, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.04239116|[300, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.5920991293114514, 0.5750750308712929]                                        |  0.3532559871673584|      0.03815204|[307, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.5706759082574657, 0.606644382188714]                                         |  0.3050365746021271|      0.04239116|[313, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.5706759082574657, 0.606644382188714]                                         |  0.3050365746021271|      0.03815204|[321, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.5706759082574657, 0.606644382188714]                                         |  0.3050365746021271|      0.03433684|[328, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.5706759082574657, 0.606644382188714]                                         |  0.3050365746021271|      0.03090315|[336, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.5412996199365504, 0.616238059027303]                                         |  0.2919342815876007|      0.03433684|[342, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.03815204|[347, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.03433684|[354, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.03090315|[360, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.02781284|[366, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.02503156|[372, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.02252840|[380, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.02027556|[386, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.01824800|[393, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.5196428838893655, 0.6428839638075203]                                        |  0.2590752840042114|      0.01642320|[399, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.5163863704122444, 0.6589810668252666]                                        |  0.2552891671657562|      0.01824800|[404, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.5001651840065077, 0.6673394606974139]                                        |  0.2442575842142105|      0.02027556|[409, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.5001651840065077, 0.6673394606974139]                                        |  0.2442575842142105|      0.01824800|[416, 157, 0, 157]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.5001651840065077, 0.6673394606974139]                                        |  0.2442575842142105|      0.01642320|[424, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
