k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|      1.11111111|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.20589113|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.18530202|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.16677182|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.15009464|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.13508517|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.12157665|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.10941899|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.09847709|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[1.3154277683886144, 0.7785585676588921]                                        |  0.1379555016756058|      0.08862938|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[1.2315079885980384, 0.7500517654674821]                                        |  0.1071015223860741|      0.09847709|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.2315079885980384, 0.7500517654674821]                                        |  0.1071015223860741|      0.08862938|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[1.2315079885980384, 0.7500517654674821]                                        |  0.1071015223860741|      0.07976644|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[1.2315079885980384, 0.7500517654674821]                                        |  0.1071015223860741|      0.07178980|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[1.1877035351887357, 0.8069283429738014]                                        |  0.0756968781352043|      0.07976644|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.1506204666697635, 0.8775508002402629]                                        |  0.0349699929356575|      0.08862938|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[1.1506204666697635, 0.8775508002402629]                                        |  0.0349699929356575|      0.07976644|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[1.1506204666697635, 0.8775508002402629]                                        |  0.0349699929356575|      0.07178980|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[1.1506204666697635, 0.8775508002402629]                                        |  0.0349699929356575|      0.06461082|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[1.1506204666697635, 0.8775508002402629]                                        |  0.0349699929356575|      0.05814974|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[1.1184239007653132, 0.9259736570073219]                                        |  0.0181806348264217|      0.06461082|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[1.1184239007653132, 0.9259736570073219]                                        |  0.0181806348264217|      0.05814974|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[1.1184239007653132, 0.9259736570073219]                                        |  0.0181806348264217|      0.05233476|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.05814974|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.05233476|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.04710129|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.04239116|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.03815204|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[1.0673805773014589, 0.9375281617443395]                                        |  0.0116222118958831|      0.03433684|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[1.0729669125724617, 0.9714075259062274]                                        |  0.0090627940371633|      0.03815204|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[1.0729669125724617, 0.9714075259062274]                                        |  0.0090627940371633|      0.03433684|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[1.0729669125724617, 0.9714075259062274]                                        |  0.0090627940371633|      0.03090315|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.03433684|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.03090315|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.02781284|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.02503156|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.02252840|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.02027556|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.01824800|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[1.0434642124041582, 0.9622099374409823]                                        |  0.0044034030288458|      0.01642320|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[1.048217446022525, 0.9779302547329404]                                         |  0.0032727532088757|      0.01824800|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[1.048217446022525, 0.9779302547329404]                                         |  0.0032727532088757|      0.01642320|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[1.0330358224874416, 0.9716660778173668]                                        |  0.0025314395315945|      0.01824800|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[1.0330358224874416, 0.9716660778173668]                                        |  0.0025314395315945|      0.01642320|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[1.0330358224874416, 0.9716660778173668]                                        |  0.0025314395315945|      0.01478088|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[1.0346788770165223, 0.9863553552789325]                                        |  0.0019144496181980|      0.01642320|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[1.0346788770165223, 0.9863553552789325]                                        |  0.0019144496181980|      0.01478088|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[1.0346788770165223, 0.9863553552789325]                                        |  0.0019144496181980|      0.01330279|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[1.0231021967964062, 0.9798021255020077]                                        |  0.0013420622562990|      0.01478088|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[1.0231021967964062, 0.9798021255020077]                                        |  0.0013420622562990|      0.01330279|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.01478088|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.01330279|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.01197252|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      75|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.01077526|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.00969774|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      77|[1.0121332868336614, 0.9873285695267247]                                        |  0.0006420696736313|      0.00872796|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[1.0083870521393508, 0.9952116573520003]                                        |  0.0000876584017533|      0.00969774|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[1.0083870521393508, 0.9952116573520003]                                        |  0.0000876584017533|      0.00872796|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[1.0083870521393508, 0.9952116573520003]                                        |  0.0000876584017533|      0.00785517|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
