k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.8293658138678763, -0.0043262887436709]                                       | 64.9838104248046875|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      5.00000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.242110549692862, -0.5337644236305008]                                        |  2.9935851097106934|      0.04000000|[98, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.203526685110675, -0.5443136128838726]                                        |  2.7902750968933105|      0.20000000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[1.203526685110675, -0.5443136128838726]                                        |  2.7902750968933105|      0.04000000|[111, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.1647591187058268, -0.5541663178447297]                                       |  2.6039967536926270|      0.20000000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[1.1647591187058268, -0.5541663178447297]                                       |  2.6039967536926270|      0.04000000|[124, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.1260884996795688, -0.5643929118097805]                                       |  2.4333236217498779|      0.20000000|[129, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[1.1260884996795688, -0.5643929118097805]                                       |  2.4333236217498779|      0.04000000|[137, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.0870966312044503, -0.5733167110466004]                                       |  2.2766606807708740|      0.20000000|[143, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.0870966312044503, -0.5733167110466004]                                       |  2.2766606807708740|      0.04000000|[150, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.0477932817802988, -0.580749525052281]                                        |  2.1328241825103760|      0.20000000|[156, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.0477932817802988, -0.580749525052281]                                        |  2.1328241825103760|      0.04000000|[164, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.0085755792367241, -0.5886217424783746]                                       |  2.0005235671997070|      0.20000000|[170, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[1.0085755792367241, -0.5886217424783746]                                       |  2.0005235671997070|      0.04000000|[176, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.9693840167271203, -0.5966230816197816]                                       |  1.8787142038345337|      0.20000000|[182, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.9693840167271203, -0.5966230816197816]                                       |  1.8787142038345337|      0.04000000|[188, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.9303414751209607, -0.6053225037230764]                                       |  1.7664151191711426|      0.20000000|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.9303414751209607, -0.6053225037230764]                                       |  1.7664151191711426|      0.04000000|[200, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.8911532215020718, -0.6133400331618523]                                       |  1.6627274751663208|      0.20000000|[205, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.8911532215020718, -0.6133400331618523]                                       |  1.6627274751663208|      0.04000000|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.8519849834583911, -0.6214547807582703]                                       |  1.5668511390686035|      0.20000000|[218, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.8519849834583911, -0.6214547807582703]                                       |  1.5668511390686035|      0.04000000|[225, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.8126478031239256, -0.6287064180446865]                                       |  1.4781297445297241|      0.20000000|[230, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.8126478031239256, -0.6287064180446865]                                       |  1.4781297445297241|      0.04000000|[236, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.7733593685885369, -0.6362176703875708]                                       |  1.3958894014358521|      0.20000000|[242, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.7733593685885369, -0.6362176703875708]                                       |  1.3958894014358521|      0.04000000|[249, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.7345751998692835, -0.6460048179166767]                                       |  1.3195533752441406|      0.20000000|[254, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.7345751998692835, -0.6460048179166767]                                       |  1.3195533752441406|      0.04000000|[262, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.6958357319891212, -0.6559674294398605]                                       |  1.2487019300460815|      0.20000000|[268, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.6958357319891212, -0.6559674294398605]                                       |  1.2487019300460815|      0.04000000|[274, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.6572558844202369, -0.6665313000165787]                                       |  1.1829971075057983|      0.20000000|[279, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.6572558844202369, -0.6665313000165787]                                       |  1.1829971075057983|      0.04000000|[286, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.6572558844202369, -0.6665313000165787]                                       |  1.1829971075057983|      0.00800000|[292, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.6494894217524162, -0.6684501688576794]                                       |  1.1704429388046265|      0.04000000|[298, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      49|[0.6494894217524162, -0.6684501688576794]                                       |  1.1704429388046265|      0.00800000|[304, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.6417378084487673, -0.6704281706753463]                                       |  1.1580823659896851|      0.04000000|[309, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.6417378084487673, -0.6704281706753463]                                       |  1.1580823659896851|      0.00800000|[317, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.6339679200147313, -0.6723331204706519]                                       |  1.1459134817123413|      0.04000000|[322, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.6339679200147313, -0.6723331204706519]                                       |  1.1459134817123413|      0.00800000|[328, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.6262115090219752, -0.6742922244779601]                                       |  1.1339350938796997|      0.04000000|[333, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[0.6262115090219752, -0.6742922244779601]                                       |  1.1339350938796997|      0.00800000|[341, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.6184574986766397, -0.6762608086301949]                                       |  1.1221461296081543|      0.04000000|[347, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[0.6184574986766397, -0.6762608086301949]                                       |  1.1221461296081543|      0.00800000|[354, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.6106901733501973, -0.6781761825553609]                                       |  1.1105455160140991|      0.04000000|[359, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      59|[0.6106901733501973, -0.6781761825553609]                                       |  1.1105455160140991|      0.00800000|[365, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.6029314684221825, -0.6801261820015148]                                       |  1.0991320610046387|      0.04000000|[371, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.6029314684221825, -0.6801261820015148]                                       |  1.0991320610046387|      0.00800000|[377, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.5951747795146867, -0.6820841853703402]                                       |  1.0879052877426147|      0.04000000|[382, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[0.5951747795146867, -0.6820841853703402]                                       |  1.0879052877426147|      0.00800000|[390, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.587411357107306, -0.6840153178164917]                                        |  1.0768647193908691|      0.04000000|[395, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      65|[0.587411357107306, -0.6840153178164917]                                        |  1.0768647193908691|      0.00800000|[401, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.5796773091997843, -0.6860609235859793]                                       |  1.0660097599029541|      0.04000000|[406, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      67|[0.5796773091997843, -0.6860609235859793]                                       |  1.0660097599029541|      0.00800000|[413, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.5719327850816867, -0.6880665023513745]                                       |  1.0553396940231323|      0.04000000|[418, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      69|[0.5719327850816867, -0.6880665023513745]                                       |  1.0553396940231323|      0.00800000|[425, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.5641771243769153, -0.6900285744786074]                                       |  1.0448544025421143|      0.04000000|[430, 161, 0, 161]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
