k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.10000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.5646290690792295, 1.1874778605278282, -8.117205608807524]                    | 14.3241558074951172|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5646290690792295, 1.1874778605278282, -8.117205608807524]                    | 14.3241558074951172|      0.10000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.5209636336729417, 1.0987145005080932, -8.102563352533773]                    | 12.6717720031738281|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.5209636336729417, 1.0987145005080932, -8.102563352533773]                    | 12.6717720031738281|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.5717401183828987, 1.0202724168564838, -8.066946107933813]                    | 11.8618812561035156|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.5717401183828987, 1.0202724168564838, -8.066946107933813]                    | 11.8618812561035156|      0.10000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.4859248936955827, 0.9785552857228426, -8.096869813951685]                    | 10.9277963638305664|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.4859248936955827, 0.9785552857228426, -8.096869813951685]                    | 10.9277963638305664|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[2.4477934169542905, 0.9463114397210337, -8.010230764577052]                    | 10.3833179473876953|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[2.4477934169542905, 0.9463114397210337, -8.010230764577052]                    | 10.3833179473876953|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.971051646426696, 0.3978946662983536, -8.13267930406096]                      |  5.1938319206237793|      1.00000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.971051646426696, 0.3978946662983536, -8.13267930406096]                      |  5.1938319206237793|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.971051646426696, 0.3978946662983536, -8.13267930406096]                      |  5.1938319206237793|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[1.9620358827742317, 0.3941865460355392, -8.134907722755777]                    |  5.1510252952575684|      0.10000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.871633709037424, 0.3527570104744708, -8.145445301550463]                     |  4.7301473617553711|      1.00000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.871633709037424, 0.3527570104744708, -8.145445301550463]                     |  4.7301473617553711|      0.10000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.8561067542387908, 0.283456264590512, -8.215846439997282]                     |  4.5769448280334473|      1.00000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[1.8561067542387908, 0.283456264590512, -8.215846439997282]                     |  4.5769448280334473|      0.10000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.7810723227001928, 0.2335240722483872, -8.172526580214631]                    |  4.2546310424804688|      1.00000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[1.7810723227001928, 0.2335240722483872, -8.172526580214631]                    |  4.2546310424804688|      0.10000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[1.7104711358641551, 0.1642739992240269, -8.157697561249654]                    |  3.9617187976837158|      1.00000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[1.7104711358641551, 0.1642739992240269, -8.157697561249654]                    |  3.9617187976837158|      0.10000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.6788826406797626, 0.092742410871284, -8.095364593730697]                     |  3.8283076286315918|      1.00000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[1.6788826406797626, 0.092742410871284, -8.095364593730697]                     |  3.8283076286315918|      0.10000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.583775874405498, 0.1007290404024942, -8.065516365013005]                     |  3.5200111865997314|      1.00000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[1.583775874405498, 0.1007290404024942, -8.065516365013005]                     |  3.5200111865997314|      0.10000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.484898328251069, 0.0858031062486412, -8.064847518159363]                     |  3.2129740715026855|      1.00000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[1.484898328251069, 0.0858031062486412, -8.064847518159363]                     |  3.2129740715026855|      0.10000000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.38874487317511, 0.0885243405333263, -8.037514242451476]                      |  2.9372515678405762|      1.00000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.38874487317511, 0.0885243405333263, -8.037514242451476]                      |  2.9372515678405762|      0.10000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[1.3410146445577924, 0.0034936557434132, -8.015342009359227]                    |  2.7976720333099365|      1.00000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[1.3410146445577924, 0.0034936557434132, -8.015342009359227]                    |  2.7976720333099365|      0.10000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[1.2412830106886446, 0.0037023240751103, -8.00802369921838]                     |  2.5401318073272705|      1.00000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[1.2412830106886446, 0.0037023240751103, -8.00802369921838]                     |  2.5401318073272705|      0.10000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[1.150358763398497, 0.0369461992196483, -7.982971233868749]                     |  2.3241107463836670|      1.00000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[1.150358763398497, 0.0369461992196483, -7.982971233868749]                     |  2.3241107463836670|      0.10000000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[1.050425729808487, 0.0393906242875294, -7.980248444199051]                     |  2.1043863296508789|      1.00000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[1.050425729808487, 0.0393906242875294, -7.980248444199051]                     |  2.1043863296508789|      0.10000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[1.050425729808487, 0.0393906242875294, -7.980248444199051]                     |  2.1043863296508789|      0.01000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[1.0434788929913408, 0.0465177250040832, -7.981221014819645]                    |  2.0905346870422363|      0.10000000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[1.0434788929913408, 0.0465177250040832, -7.981221014819645]                    |  2.0905346870422363|      0.01000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[1.0339564896894342, 0.0490908032322035, -7.979576902965843]                    |  2.0710337162017822|      0.10000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[1.0339564896894342, 0.0490908032322035, -7.979576902965843]                    |  2.0710337162017822|      0.01000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[1.0241939963541264, 0.0471580241223959, -7.978598082864515]                    |  2.0507266521453857|      0.10000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.9306776180872711, 0.0118557984278287, -7.975692939690716]                    |  1.8656173944473267|      1.00000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.9306776180872711, 0.0118557984278287, -7.975692939690716]                    |  1.8656173944473267|      0.10000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.8502674167092017, -0.0467149711376134, -7.985874514561541]                   |  1.7242574691772461|      1.00000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.8502674167092017, -0.0467149711376134, -7.985874514561541]                   |  1.7242574691772461|      0.10000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.7610623201394218, -0.0740741302957702, -8.0218457135426]                     |  1.5832637548446655|      1.00000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.7610623201394218, -0.0740741302957702, -8.0218457135426]                     |  1.5832637548446655|      0.10000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.6616679787970756, -0.0646196439340277, -8.016244142623938]                   |  1.4407979249954224|      1.00000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.6616679787970756, -0.0646196439340277, -8.016244142623938]                   |  1.4407979249954224|      0.10000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.5641412836766062, -0.0476464157197907, -8.030402294440698]                   |  1.3196636438369751|      1.00000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.5641412836766062, -0.0476464157197907, -8.030402294440698]                   |  1.3196636438369751|      0.10000000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.5641412836766062, -0.0476464157197907, -8.030402294440698]                   |  1.3196636438369751|      0.01000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.5541803056346881, -0.0472211348545651, -8.029628955812347]                   |  1.3084888458251953|      0.10000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.454743860206742, -0.0383228525504222, -8.023865806266233]                    |  1.2074952125549316|      1.00000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.454743860206742, -0.0383228525504222, -8.023865806266233]                    |  1.2074952125549316|      0.10000000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.3548398456472941, -0.0339443828140817, -8.023995720367092]                   |  1.1263316869735718|      1.00000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
