k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|     10.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[9, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.10000000|[11, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.1000000000000005]                                                            |3363.7612304687500000|      1.00000000|[15, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[6.1000000000000005]                                                            |3363.7612304687500000|      0.10000000|[18, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 94, 0, 94]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 106, 0, 106]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 112, 0, 112]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 114, 0, 114]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 130, 0, 130]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[114, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
