k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 5.0]                                                                      |149.7192190771219771|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 5.0]                                                                      |149.7192190771219771|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.0, 5.0]                                                                      |149.7192190771219771|      0.12500000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.8576837805842324, 4.931687514752012]                                         |  0.4365450143814087|      0.00390625|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.8576837805842324, 4.931687514752012]                                         |  0.4365450143814087|      0.00195312|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.8576837805842324, 4.931687514752012]                                         |  0.4365450143814087|      0.00097656|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.8577038952548653, 4.930711159429175]                                         |  0.4357932806015015|      0.00195312|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.8577038952548653, 4.930711159429175]                                         |  0.4357932806015015|      0.00097656|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.8580067609315541, 4.929782748583541]                                         |  0.4352238774299622|      0.00195312|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.8580067609315541, 4.929782748583541]                                         |  0.4352238774299622|      0.00097656|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.8580067609315541, 4.929782748583541]                                         |  0.4352238774299622|      0.00048828|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.8580067609315541, 4.929782748583541]                                         |  0.4352238774299622|      0.00024414|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.8578048609378892, 4.929645485925351]                                         |  0.4349626004695892|      0.00048828|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.8578048609378892, 4.929645485925351]                                         |  0.4349626004695892|      0.00024414|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.8577980043966622, 4.929401441600243]                                         |  0.4347745776176453|      0.00048828|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.8579220701624966, 4.928929185033481]                                         |  0.4344309270381927|      0.00097656|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.8579220701624966, 4.928929185033481]                                         |  0.4344309270381927|      0.00048828|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.8579220701624966, 4.928929185033481]                                         |  0.4344309270381927|      0.00024414|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.8579220701624966, 4.928929185033481]                                         |  0.4344309270381927|      0.00012207|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.857832985462645, 4.928845727993957]                                          |  0.4343440830707550|      0.00024414|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.857832985462645, 4.928845727993957]                                          |  0.4343440830707550|      0.00012207|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.8578356761664402, 4.9287236873396365]                                        |  0.4342500269412994|      0.00024414|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.8577907344028475, 4.92848371883616]                                          |  0.4340822398662567|      0.00048828|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.8580573918582521, 4.928074680475394]                                         |  0.4338463246822357|      0.00097656|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.8580573918582521, 4.928074680475394]                                         |  0.4338463246822357|      0.00048828|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.8580573918582521, 4.928074680475394]                                         |  0.4338463246822357|      0.00024414|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.8580573918582521, 4.928074680475394]                                         |  0.4338463246822357|      0.00012207|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.8579578913340503, 4.928003964092021]                                         |  0.4337078332901001|      0.00024414|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[0.8578407673613745, 4.927789752468153]                                         |  0.4335399866104126|      0.00048828|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.8578407673613745, 4.927789752468153]                                         |  0.4335399866104126|      0.00024414|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.8579616824741683, 4.9275776577245285]                                        |  0.4333706498146057|      0.00048828|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.8579616824741683, 4.9275776577245285]                                        |  0.4333706498146057|      0.00024414|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.8579616824741683, 4.9275776577245285]                                        |  0.4333706498146057|      0.00012207|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.8578756904965749, 4.927491017427995]                                         |  0.4333024024963379|      0.00024414|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.8579497853980556, 4.92725839199871]                                          |  0.4331173598766327|      0.00048828|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.8579497853980556, 4.92725839199871]                                          |  0.4331173598766327|      0.00024414|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.8579497853980556, 4.92725839199871]                                          |  0.4331173598766327|      0.00012207|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.8579746290972405, 4.927138876510991]                                         |  0.4330284297466278|      0.00024414|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.8579746290972405, 4.927138876510991]                                         |  0.4330284297466278|      0.00012207|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.8579403737252682, 4.927021711112153]                                         |  0.4329334497451782|      0.00024414|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.8579403737252682, 4.927021711112153]                                         |  0.4329334497451782|      0.00012207|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.8579448869916002, 4.926899724261957]                                         |  0.4328392744064331|      0.00024414|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.8579448869916002, 4.926899724261957]                                         |  0.4328392744064331|      0.00012207|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.8579502085644833, 4.926777769999809]                                         |  0.4327451288700104|      0.00024414|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.8579502085644833, 4.926777769999809]                                         |  0.4327451288700104|      0.00012207|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.8580170616699913, 4.926675633701278]                                         |  0.4326758384704590|      0.00024414|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.8580170616699913, 4.926675633701278]                                         |  0.4326758384704590|      0.00012207|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.8579662588164083, 4.926564637164117]                                         |  0.4325803816318512|      0.00024414|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.8580436347330599, 4.926333082392415]                                         |  0.4324144124984741|      0.00048828|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.8580436347330599, 4.926333082392415]                                         |  0.4324144124984741|      0.00024414|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.8581335107501771, 4.926106086915979]                                         |  0.4322921335697174|      0.00048828|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.8581335107501771, 4.926106086915979]                                         |  0.4322921335697174|      0.00024414|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.8581335107501771, 4.926106086915979]                                         |  0.4322921335697174|      0.00012207|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.8580334001448299, 4.9260362368773905]                                        |  0.4321765303611755|      0.00024414|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.8580334001448299, 4.9260362368773905]                                        |  0.4321765303611755|      0.00012207|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.8579975382849674, 4.925919553167297]                                         |  0.4320824742317200|      0.00024414|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.8580129189099465, 4.92567589750627]                                          |  0.4318943321704865|      0.00048828|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.8580129189099465, 4.92567589750627]                                          |  0.4318943321704865|      0.00024414|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[0.8581124027986335, 4.925452945492]                                            |  0.4317452013492584|      0.00048828|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.8581124027986335, 4.925452945492]                                            |  0.4317452013492584|      0.00024414|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      71|[0.8580151549824074, 4.925229009101446]                                         |  0.4315520226955414|      0.00048828|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.8580151549824074, 4.925229009101446]                                         |  0.4315520226955414|      0.00024414|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[0.8580843738358094, 4.924994886494444]                                         |  0.4313717484474182|      0.00048828|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.8580843738358094, 4.924994886494444]                                         |  0.4313717484474182|      0.00024414|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      75|[0.8580331938334518, 4.924756170654722]                                         |  0.4311890006065369|      0.00048828|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.8580812934156105, 4.924270264275573]                                         |  0.4308108091354370|      0.00097656|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.8581530679178999, 4.923296342955739]                                         |  0.4300598502159119|      0.00195312|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.8581530679178999, 4.923296342955739]                                         |  0.4300598502159119|      0.00097656|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[0.8581530679178999, 4.923296342955739]                                         |  0.4300598502159119|      0.00048828|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[0.8580970433987849, 4.922811286430827]                                         |  0.4297068417072296|      0.00097656|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
