k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.20000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.04000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.20000000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.04000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.04000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.0046287460320962, 0.9579534750759922]                                       |3946.7619628906250000|      0.20000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.8069527820209941, 0.9275525992287165]                                       |446.1387634277343750|      1.00000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      48|[0.1171803534417505, 1.2427550773557097]                                        |  0.0015435068635270|      0.00160000|[307, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.1157514811069066, 1.242035130239098]                                         |  0.0014995369128883|      0.00800000|[313, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.1157514811069066, 1.242035130239098]                                         |  0.0014995369128883|      0.00160000|[321, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.1143230170631799, 1.241314373362072]                                         |  0.0014562485739589|      0.00800000|[326, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.1143230170631799, 1.241314373362072]                                         |  0.0014562485739589|      0.00160000|[333, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.1128910465454055, 1.240600608389392]                                         |  0.0014136406825855|      0.00800000|[338, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.1128910465454055, 1.240600608389392]                                         |  0.0014136406825855|      0.00160000|[345, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.1114555101760335, 1.2398940425168716]                                        |  0.0013717120746151|      0.00800000|[350, 133, 0, 133]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.1114555101760335, 1.2398940425168716]                                        |  0.0013717120746151|      0.00160000|[356, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.110012839427113, 1.2392021602218177]                                         |  0.0013304601889104|      0.00800000|[361, 137, 0, 137]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.110012839427113, 1.2392021602218177]                                         |  0.0013304601889104|      0.00160000|[369, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.1085660595093693, 1.2385189121924656]                                        |  0.0012898833956569|      0.00800000|[374, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.1085660595093693, 1.2385189121924656]                                        |  0.0012898833956569|      0.00160000|[382, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.1071175957161238, 1.2378392412134935]                                        |  0.0012499807635322|      0.00800000|[387, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.1071175957161238, 1.2378392412134935]                                        |  0.0012499807635322|      0.00160000|[393, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.1056685687025637, 1.2371607718228996]                                        |  0.0012107521761209|      0.00800000|[398, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.1056685687025637, 1.2371607718228996]                                        |  0.0012107521761209|      0.00160000|[405, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.1042134976448536, 1.2364953635144043]                                        |  0.0011721950722858|      0.00800000|[410, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.1042134976448536, 1.2364953635144043]                                        |  0.0011721950722858|      0.00160000|[417, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.1027512728811243, 1.2358458261865033]                                        |  0.0011343074729666|      0.00800000|[422, 161, 0, 161]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
