k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      1.11111111|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[23.29530524280509, 37.983792410305334, 42.12169374382829, 39.36250193216554]   |721.3671264648437500|      1.23456790|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[22.29812292435161, 37.38820935576525, 42.47876351010869, 39.58060129868372]    |631.3181152343750000|      1.37174211|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[21.14536214062527, 36.76098895879632, 42.81689627626548, 39.79292135129027]    |541.3350830078125000|      1.52415790|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       5|[19.862763242424272, 36.04785699873001, 43.16341169406855, 40.0151087758494]    |452.7648620605468750|      1.69350878|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[18.423663731923412, 35.31304617614061, 43.580556980809156, 40.30321891871877]  |367.1248168945312500|      1.88167642|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[16.825346347732665, 34.466047154848575, 44.04209608710451, 40.53914689958628]  |286.1752319335937500|      2.09075158|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[14.97610447506555, 33.63025915880225, 44.46159867473767, 40.816676493802]      |211.5314178466796875|      2.32305731|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[12.897807841190154, 32.782779210371245, 44.986298106988436, 41.10606657963701] |145.2074279785156250|      2.58117479|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[10.505927524583937, 31.90449766837241, 45.349348684585834, 41.30148323066181]  | 88.8895034790039062|      2.86797199|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[7.809556621520032, 31.045591442571443, 45.75505233211157, 41.530681700868186]  | 44.5836296081542969|      3.18663555|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[4.758537841769559, 30.25075337564906, 45.92717096590781, 41.96026071293638]    | 14.4109153747558594|      3.54070616|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.31381060|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.28242954|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      41|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.25418658|[439, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.22876792|[450, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      43|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.20589113|[461, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      44|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.18530202|[471, 176, 0, 88]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      45|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.16677182|[482, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      46|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.15009464|[493, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      47|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.13508517|[505, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.12157665|[516, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      49|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.10941899|[527, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      50|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.09847709|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      51|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.08862938|[548, 204, 0, 102]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      52|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.07976644|[559, 208, 0, 104]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      53|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.07178980|[569, 212, 0, 106]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      54|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.06461082|[580, 216, 0, 108]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      55|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.05814974|[590, 220, 0, 110]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      56|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.05233476|[600, 224, 0, 112]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      57|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.04710129|[611, 228, 0, 114]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      58|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.04239116|[621, 232, 0, 116]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      59|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.03815204|[632, 236, 0, 118]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      60|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.03433684|[642, 240, 0, 120]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      61|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.03090315|[653, 244, 0, 122]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      62|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.02781284|[663, 248, 0, 124]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      63|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.02503156|[674, 252, 0, 126]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      64|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.02252840|[685, 256, 0, 128]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      65|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.02027556|[695, 260, 0, 130]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      66|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.01824800|[705, 264, 0, 132]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      67|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.02027556|[716, 268, 0, 134]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      68|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01824800|[726, 272, 0, 136]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      69|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01642320|[737, 276, 0, 138]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      70|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01478088|[749, 280, 0, 140]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      71|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01330279|[759, 284, 0, 142]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      72|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01197252|[769, 288, 0, 144]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      73|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.01077526|[780, 292, 0, 146]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      74|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00969774|[790, 296, 0, 148]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      75|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00872796|[800, 300, 0, 150]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      76|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00785517|[810, 304, 0, 152]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      77|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00706965|[821, 308, 0, 154]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      78|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00636269|[831, 312, 0, 156]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      79|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00572642|[841, 316, 0, 158]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      80|[0.431066042207198, 30.148187629511998, 45.5121371455289, 42.3640534862871]     |  0.0076727564446628|      0.00515378|[852, 320, 0, 160]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
