k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.516989313266965, 0.1440081484221055]                                         |  1.5468921661376953|      5.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[1.9999755456614758, -0.9998844031865535]                                       |  0.0000000145585144|      0.00160000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      21|[1.9999755456614758, -0.9998844031865535]                                       |  0.0000000145585144|      0.00032000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.9999755456614758, -0.9998844031865535]                                       |  0.0000000145585144|      0.00006400|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.9999988584216506, -0.9999440061664542]                                       |  0.0000000031379157|      0.00032000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[1.9999988584216506, -0.9999440061664542]                                       |  0.0000000031379157|      0.00006400|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.9999988584216506, -0.9999440061664542]                                       |  0.0000000031379157|      0.00001280|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[1.9999995907835184, -0.9999567851979548]                                       |  0.0000000018678541|      0.00006400|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[1.9999995907835184, -0.9999567851979548]                                       |  0.0000000018678541|      0.00001280|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[2.0000001196651565, -0.9999695742668894]                                       |  0.0000000009257539|      0.00006400|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[2.0000001196651565, -0.9999695742668894]                                       |  0.0000000009257539|      0.00001280|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[2.0000003641171147, -0.9999823719324281]                                       |  0.0000000003110139|      0.00006400|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[2.0000003641171147, -0.9999823719324281]                                       |  0.0000000003110139|      0.00001280|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[2.000000367167838, -0.9999951719320646]                                        |  0.0000000000235799|      0.00006400|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[2.000000367167838, -0.9999951719320646]                                        |  0.0000000000235799|      0.00001280|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[2.000000367167838, -0.9999951719320646]                                        |  0.0000000000235799|      0.00000256|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      35|[2.000000120096241, -0.9999977199814413]                                        |  0.0000000000052273|      0.00001280|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      36|[2.000000120096241, -0.9999977199814413]                                        |  0.0000000000052273|      0.00000256|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      37|[2.000000120096241, -0.9999977199814413]                                        |  0.0000000000052273|      0.00000051|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[2.0000000666592386, -0.9999982291852185]                                       |  0.0000000000031447|      0.00000256|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      39|[2.0000000666592386, -0.9999982291852185]                                       |  0.0000000000031447|      0.00000051|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      40|[2.000000035915232, -0.999998740261344]                                         |  0.0000000000015895|      0.00000256|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      41|[2.000000035915232, -0.999998740261344]                                         |  0.0000000000015895|      0.00000051|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      42|[1.9999999954506347, -0.9999992506598319]                                       |  0.0000000000005616|      0.00000256|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      43|[1.9999999954506347, -0.9999992506598319]                                       |  0.0000000000005616|      0.00000051|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      44|[1.999999976273598, -0.9999997623005664]                                        |  0.0000000000000576|      0.00000256|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      45|[1.999999976273598, -0.9999997623005664]                                        |  0.0000000000000576|      0.00000051|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      46|[1.999999976273598, -0.9999997623005664]                                        |  0.0000000000000576|      0.00000010|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      47|[1.9999999915119369, -0.9999998635603957]                                       |  0.0000000000000188|      0.00000051|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      48|[1.9999999915119369, -0.9999998635603957]                                       |  0.0000000000000188|      0.00000010|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      49|[1.9999999980488554, -0.9999999657515338]                                       |  0.0000000000000012|      0.00000051|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      50|[1.9999999980488554, -0.9999999657515338]                                       |  0.0000000000000012|      0.00000010|[401, 0, 0, 100]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      51|[1.9999999980488554, -0.9999999657515338]                                       |  0.0000000000000012|      0.00000002|[409, 0, 0, 102]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      52|[2.000000000104452, -0.9999999861281116]                                        |  0.0000000000000002|      0.00000010|[417, 0, 0, 104]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      53|[2.000000000104452, -0.9999999861281116]                                        |  0.0000000000000002|      0.00000002|[425, 0, 0, 106]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      54|[2.000000000104452, -0.9999999861281116]                                        |  0.0000000000000002|      0.00000000|[433, 0, 0, 108]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      55|[2.0000000000665197, -0.9999999902239359]                                       |  0.0000000000000001|      0.00000002|[441, 0, 0, 110]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      56|[2.0000000000665197, -0.9999999902239359]                                       |  0.0000000000000001|      0.00000000|[449, 0, 0, 112]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      57|[1.9999999998889162, -0.9999999943160837]                                       |  0.0000000000000000|      0.00000002|[457, 0, 0, 114]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      58|[1.9999999998889162, -0.9999999943160837]                                       |  0.0000000000000000|      0.00000000|[465, 0, 0, 116]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      59|[1.9999999999698161, -0.9999999984112846]                                       |  0.0000000000000000|      0.00000002|[473, 0, 0, 118]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      60|[1.9999999999698161, -0.9999999984112846]                                       |  0.0000000000000000|      0.00000000|[481, 0, 0, 120]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      61|[1.9999999999698161, -0.9999999984112846]                                       |  0.0000000000000000|      0.00000000|[489, 0, 0, 122]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      62|[1.9999999999642615, -0.9999999992304658]                                       |  0.0000000000000000|      0.00000000|[497, 0, 0, 124]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      63|[1.9999999999642615, -0.9999999992304658]                                       |  0.0000000000000000|      0.00000000|[505, 0, 0, 126]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      64|[1.9999999999642615, -0.9999999992304658]                                       |  0.0000000000000000|      0.00000000|[513, 0, 0, 128]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      65|[1.9999999999760636, -0.9999999993938802]                                       |  0.0000000000000000|      0.00000000|[521, 0, 0, 130]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      66|[1.9999999999760636, -0.9999999993938802]                                       |  0.0000000000000000|      0.00000000|[529, 0, 0, 132]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      67|[1.9999999999888105, -0.9999999995572235]                                       |  0.0000000000000000|      0.00000000|[537, 0, 0, 134]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      68|[1.9999999999888105, -0.9999999995572235]                                       |  0.0000000000000000|      0.00000000|[545, 0, 0, 136]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      69|[1.9999999999937148, -0.9999999997209901]                                       |  0.0000000000000000|      0.00000000|[553, 0, 0, 138]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      70|[1.9999999999937148, -0.9999999997209901]                                       |  0.0000000000000000|      0.00000000|[561, 0, 0, 140]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      71|[2.0000000000021894, -0.9999999998846107]                                       |  0.0000000000000000|      0.00000000|[569, 0, 0, 142]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      72|[2.0000000000021894, -0.9999999998846107]                                       |  0.0000000000000000|      0.00000000|[577, 0, 0, 144]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      73|[2.0000000000021894, -0.9999999998846107]                                       |  0.0000000000000000|      0.00000000|[585, 0, 0, 146]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      74|[2.000000000000831, -0.9999999999173506]                                        |  0.0000000000000000|      0.00000000|[593, 0, 0, 148]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      75|[2.000000000000831, -0.9999999999173506]                                        |  0.0000000000000000|      0.00000000|[601, 0, 0, 150]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      76|[2.0000000000011102, -0.9999999999501173]                                       |  0.0000000000000000|      0.00000000|[609, 0, 0, 152]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      77|[2.0000000000011102, -0.9999999999501173]                                       |  0.0000000000000000|      0.00000000|[617, 0, 0, 154]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      78|[2.0000000000012754, -0.9999999999828849]                                       |  0.0000000000000000|      0.00000000|[625, 0, 0, 156]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      79|[2.0000000000012754, -0.9999999999828849]                                       |  0.0000000000000000|      0.00000000|[633, 0, 0, 158]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      80|[2.0000000000012754, -0.9999999999828849]                                       |  0.0000000000000000|      0.00000000|[641, 0, 0, 160]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
