k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.25000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.956137211360384, 0.9449460236049202]                                        |334.7189941406250000|      0.50000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-0.956137211360384, 0.9449460236049202]                                        |334.7189941406250000|      0.25000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.50000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.25000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.12500000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.6282754336430525, 0.765793535489109]                                        |105.4288482666015625|      0.25000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.4275216519084128, 0.6168038743738468]                                       | 50.3325386047363281|      0.50000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-0.4275216519084128, 0.6168038743738468]                                       | 50.3325386047363281|      0.25000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.298543491069082, 0.4026435745363098]                                        | 20.1119632720947266|      0.50000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.1723208710999964, 0.0016470828953138]                                        |  0.6862567663192749|      0.01562500|[205, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.1723208710999964, 0.0016470828953138]                                        |  0.6862567663192749|      0.00781250|[211, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.1793620733826307, 0.0050318467962416]                                        |  0.6735011339187622|      0.01562500|[216, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.1949568593178243, 0.0060030710934507]                                        |  0.6482923626899719|      0.03125000|[221, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.2228406937099462, 0.0201117308310984]                                        |  0.6121594309806824|      0.06250000|[228, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      37|[0.2228406937099462, 0.0201117308310984]                                        |  0.6121594309806824|      0.03125000|[234, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.2228406937099462, 0.0201117308310984]                                        |  0.6121594309806824|      0.01562500|[240, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.2343598733302808, 0.0095547840246364]                                        |  0.5873052477836609|      0.03125000|[247, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      40|[0.2608971137206593, 0.0260574314626462]                                        |  0.5531601905822754|      0.06250000|[252, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      41|[0.3233097266315118, 0.0227535323055747]                                        |  0.4701018035411835|      0.12500000|[260, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      42|[0.3233097266315118, 0.0227535323055747]                                        |  0.4701018035411835|      0.06250000|[266, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.3233097266315118, 0.0227535323055747]                                        |  0.4701018035411835|      0.03125000|[272, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.3233097266315118, 0.0227535323055747]                                        |  0.4701018035411835|      0.01562500|[280, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.3233097266315118, 0.0227535323055747]                                        |  0.4701018035411835|      0.00781250|[287, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.3264911781186897, 0.0298889035422192]                                        |  0.4560287892818451|      0.01562500|[292, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.3404968434257135, 0.0368158050362228]                                        |  0.4356523752212524|      0.03125000|[297, 112, 0, 112]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.3404968434257135, 0.0368158050362228]                                        |  0.4356523752212524|      0.01562500|[303, 114, 0, 114]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.3536151456664333, 0.0453040776120255]                                        |  0.4179314672946930|      0.03125000|[310, 117, 0, 117]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      50|[0.3804631017906314, 0.0612962554484908]                                        |  0.3876990377902985|      0.06250000|[317, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      51|[0.3804631017906314, 0.0612962554484908]                                        |  0.3876990377902985|      0.03125000|[323, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.3804631017906314, 0.0612962554484908]                                        |  0.3876990377902985|      0.01562500|[330, 125, 0, 125]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.3804631017906314, 0.0612962554484908]                                        |  0.3876990377902985|      0.00781250|[336, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.3869359890914615, 0.0569216827561297]                                        |  0.3759495317935944|      0.01562500|[342, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[0.4023927552640526, 0.059208384417004]                                         |  0.3606711328029633|      0.03125000|[347, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.4023927552640526, 0.059208384417004]                                         |  0.3606711328029633|      0.01562500|[354, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.4135127537850461, 0.07018500766339]                                          |  0.3439946174621582|      0.03125000|[360, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.4135127537850461, 0.07018500766339]                                          |  0.3439946174621582|      0.01562500|[366, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.4135127537850461, 0.07018500766339]                                          |  0.3439946174621582|      0.00781250|[372, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.4207874391867265, 0.0730335350999049]                                        |  0.3357038497924805|      0.01562500|[377, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.4345673414372247, 0.0803993289448828]                                        |  0.3199923634529114|      0.03125000|[382, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.4345673414372247, 0.0803993289448828]                                        |  0.3199923634529114|      0.01562500|[388, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.4465659667657915, 0.0904080059416028]                                        |  0.3064723610877991|      0.03125000|[396, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      64|[0.4465659667657915, 0.0904080059416028]                                        |  0.3064723610877991|      0.01562500|[403, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.4603529181070222, 0.0977605971660989]                                        |  0.2912229895591736|      0.03125000|[410, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      66|[0.4603529181070222, 0.0977605971660989]                                        |  0.2912229895591736|      0.01562500|[417, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.4603529181070222, 0.0977605971660989]                                        |  0.2912229895591736|      0.00781250|[423, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
