k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.20000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.04000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.20000000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.04000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.04000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.0046287460320962, 0.9579534750759922]                                       |3946.7619628906250000|      0.20000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.8069527820209941, 0.9275525992287165]                                       |446.1387634277343750|      1.00000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      49|[0.0201731451992018, 1.209496715967481]                                         |  0.0000296374364552|      0.00800000|[307, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.0201731451992018, 1.209496715967481]                                         |  0.0000296374364552|      0.00160000|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.0185817571675347, 1.2093309325766766]                                        |  0.0000248969681707|      0.00800000|[320, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.0185817571675347, 1.2093309325766766]                                        |  0.0000248969681707|      0.00160000|[326, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.016990444814829, 1.209164424330256]                                          |  0.0000206031036214|      0.00800000|[331, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.016990444814829, 1.209164424330256]                                          |  0.0000206031036214|      0.00160000|[339, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.0153976598172784, 1.209012648338819]                                         |  0.0000167462621903|      0.00800000|[345, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.0153976598172784, 1.209012648338819]                                         |  0.0000167462621903|      0.00160000|[352, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.0138026698874009, 1.2088861290770856]                                        |  0.0000133167895910|      0.00800000|[357, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.0138026698874009, 1.2088861290770856]                                        |  0.0000133167895910|      0.00160000|[363, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.0122058118056562, 1.2087859079876555]                                        |  0.0000103051697806|      0.00800000|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.0122058118056562, 1.2087859079876555]                                        |  0.0000103051697806|      0.00160000|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.010607366043609, 1.2087154016347987]                                         |  0.0000077016547948|      0.00800000|[380, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.010607366043609, 1.2087154016347987]                                         |  0.0000077016547948|      0.00160000|[388, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.0090102681534999, 1.2086190775494987]                                        |  0.0000054958504734|      0.00800000|[393, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.0090102681534999, 1.2086190775494987]                                        |  0.0000054958504734|      0.00160000|[399, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.0074144020879349, 1.2085041362567537]                                        |  0.0000036785293105|      0.00800000|[404, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.0074144020879349, 1.2085041362567537]                                        |  0.0000036785293105|      0.00160000|[411, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.0058205768410612, 1.2083637044853204]                                        |  0.0000022395092856|      0.00800000|[416, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      68|[0.0058205768410612, 1.2083637044853204]                                        |  0.0000022395092856|      0.00160000|[423, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.0058205768410612, 1.2083637044853204]                                        |  0.0000022395092856|      0.00032000|[431, 162, 0, 162]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
