k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.191827960759962, 38.52043889132122, 41.79652883237502, 39.17014625944666]   |810.4331054687500000|      1.11111111|[12, 4, 0, 2]                                                              |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       2|[23.28871609809245, 37.98734659320099, 42.1095730251568, 39.36190861183701]     |721.3502197265625000|      1.23456790|[22, 8, 0, 4]                                                              |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       3|[22.293215309423157, 37.389923155945816, 42.46780484454765, 39.58074938205973]  |631.2946166992187500|      1.37174211|[33, 12, 0, 6]                                                             |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       4|[21.139833064956946, 36.763919322396724, 42.80814822679305, 39.789726423508334] |541.2992553710937500|      1.52415790|[44, 16, 0, 8]                                                             |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       5|[19.85745177883676, 36.051059904218775, 43.1556789400325, 40.01245810697723]    |452.7184753417968750|      1.69350878|[55, 20, 0, 10]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       6|[18.420699467595977, 35.315400222399866, 43.574471580551226, 40.307639989433035]|367.0884399414062500|      1.88167642|[65, 24, 0, 12]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       7|[16.822727368072353, 34.46298936983563, 44.03111866910071, 40.5358077031136]    |286.1428222656250000|      2.09075158|[75, 28, 0, 14]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       8|[14.974551682124986, 33.6243533249721, 44.44976407399506, 40.81314219023419]    |211.5000762939453125|      2.32305731|[85, 32, 0, 16]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
       9|[12.90485359137492, 32.75143924196441, 44.957460755592, 41.118445602730866]     |145.1940765380859375|      2.58117479|[96, 36, 0, 18]                                                            |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      10|[10.509977471932842, 31.90323669955516, 45.31690426427218, 41.39841790318195]   | 88.8921737670898438|      2.86797199|[106, 40, 0, 20]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      11|[7.800897379377329, 31.121581194623896, 45.67406042706609, 41.78260866189201]   | 44.6081237792968750|      3.18663555|[116, 44, 0, 22]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      12|[4.782355745211683, 30.27401120363571, 45.847380195719886, 42.32541421612577]   | 14.5357084274291992|      3.54070616|[126, 48, 0, 24]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      13|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      3.93411796|[136, 52, 0, 26]                                                           |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      25|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      1.11111111|[336, 130, 0, 65]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      1.00000000|[353, 136, 0, 68]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      27|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      0.90000000|[370, 142, 0, 71]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      28|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      0.81000000|[385, 148, 0, 74]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      29|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      0.72900000|[400, 154, 0, 77]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      30|[1.3161123398172756, 30.088654200931632, 46.04115401715362, 42.99612373903628]  |  0.5877051949501038|      0.65610000|[418, 162, 0, 81]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      31|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.72900000|[430, 166, 0, 83]                                                          |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      32|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.65610000|[446, 172, 0, 86]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      33|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.59049000|[465, 180, 0, 90]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.53144100|[482, 186, 0, 93]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      35|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.47829690|[497, 192, 0, 96]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.43046721|[512, 198, 0, 99]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      37|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.38742049|[527, 204, 0, 102]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      38|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.34867844|[543, 210, 0, 105]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      39|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.31381060|[560, 216, 0, 108]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.28242954|[575, 222, 0, 111]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      41|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.25418658|[591, 228, 0, 114]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      42|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.22876792|[606, 234, 0, 117]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      43|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.20589113|[622, 240, 0, 120]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      44|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.18530202|[637, 246, 0, 123]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      45|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.16677182|[653, 252, 0, 126]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      46|[0.6642561810552102, 30.070811113698042, 46.064780047601914, 43.06449181058431] |  0.0468705818057060|      0.15009464|[668, 258, 0, 129]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      47|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.16677182|[678, 262, 0, 131]                                                         |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      48|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.15009464|[694, 268, 0, 134]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      49|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.13508517|[709, 274, 0, 137]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      50|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.12157665|[726, 280, 0, 140]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      51|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.10941899|[744, 288, 0, 144]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      52|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.09847709|[759, 294, 0, 147]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      53|[0.5163834432208917, 30.0587308924287, 46.04511898261018, 43.053109204213364]   |  0.0126830739900470|      0.08862938|[774, 300, 0, 150]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      54|[0.4280991675377424, 30.05375866712396, 46.0477090537632, 43.047666559146684]   |  0.0077777062542737|      0.09847709|[784, 304, 0, 152]                                                         |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      55|[0.4280991675377424, 30.05375866712396, 46.0477090537632, 43.047666559146684]   |  0.0077777062542737|      0.08862938|[800, 310, 0, 155]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      56|[0.4280991675377424, 30.05375866712396, 46.0477090537632, 43.047666559146684]   |  0.0077777062542737|      0.07976644|[818, 318, 0, 159]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      57|[0.4280991675377424, 30.05375866712396, 46.0477090537632, 43.047666559146684]   |  0.0077777062542737|      0.07178980|[833, 324, 0, 162]                                                         |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
