k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.102418082829529, 0.9781420622808256]                                        |541.7042846679687500|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[-1.102418082829529, 0.9781420622808256]                                        |541.7042846679687500|      0.10000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.0062770594535035, 0.9506301807710021]                                       |391.9496154785156250|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-1.0062770594535035, 0.9506301807710021]                                       |391.9496154785156250|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.9088782756849538, 0.9279701516358201]                                       |285.4666137695312500|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.9088782756849538, 0.9279701516358201]                                       |285.4666137695312500|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8165429386187735, 0.8895750278715338]                                       |208.9350891113281250|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.8165429386187735, 0.8895750278715338]                                       |208.9350891113281250|      0.10000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7281764326512743, 0.842763056933579]                                        |153.9992370605468750|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[-0.7281764326512743, 0.842763056933579]                                        |153.9992370605468750|      0.10000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6469920713859216, 0.7843755626737915]                                       |114.0584716796875000|      1.00000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[-0.6469920713859216, 0.7843755626737915]                                       |114.0584716796875000|      0.10000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5687174185077536, 0.7221414987151981]                                       | 84.5602722167968750|      1.00000000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[-0.5687174185077536, 0.7221414987151981]                                       | 84.5602722167968750|      0.10000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.5042855149056317, 0.6456658176250184]                                       | 62.1561698913574219|      1.00000000|[96, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.3237164365273045, 0.0302270443518949]                                        |  0.4587254524230957|      0.01000000|[200, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.3237164365273045, 0.0302270443518949]                                        |  0.4587254524230957|      0.00100000|[206, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.3245776409909689, 0.0307353030180921]                                        |  0.4573919475078583|      0.01000000|[212, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.3331237248251701, 0.0359280336195007]                                        |  0.4448319673538208|      0.10000000|[217, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.3331237248251701, 0.0359280336195007]                                        |  0.4448319673538208|      0.01000000|[224, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.3418682857251111, 0.0407790803794509]                                        |  0.4332051873207092|      0.10000000|[231, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      38|[0.3418682857251111, 0.0407790803794509]                                        |  0.4332051873207092|      0.01000000|[239, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.3518682857247492, 0.0407789953078789]                                        |  0.4208510518074036|      0.10000000|[244, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.3518682857247492, 0.0407789953078789]                                        |  0.4208510518074036|      0.01000000|[251, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.3602032642107005, 0.0463042223293441]                                        |  0.4093584120273590|      0.10000000|[256, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.3602032642107005, 0.0463042223293441]                                        |  0.4093584120273590|      0.01000000|[262, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.3694324725055562, 0.0501541202825589]                                        |  0.3976224958896637|      0.10000000|[268, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.3694324725055562, 0.0501541202825589]                                        |  0.3976224958896637|      0.01000000|[274, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.3694324725055562, 0.0501541202825589]                                        |  0.3976224958896637|      0.00100000|[280, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.3704287111423515, 0.0502407723370998]                                        |  0.3963946402072906|      0.01000000|[285, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.3704287111423515, 0.0502407723370998]                                        |  0.3963946402072906|      0.00100000|[291, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.3714224604958457, 0.0503524066617044]                                        |  0.3951884210109711|      0.01000000|[297, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      49|[0.3714224604958457, 0.0503524066617044]                                        |  0.3951884210109711|      0.00100000|[303, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.3724077520391115, 0.0505232884183929]                                        |  0.3939985930919647|      0.01000000|[308, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.3799888250926874, 0.0570445867060305]                                        |  0.3848879635334015|      0.10000000|[313, 117, 0, 117]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.3799888250926874, 0.0570445867060305]                                        |  0.3848879635334015|      0.01000000|[320, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.3799888250926874, 0.0570445867060305]                                        |  0.3848879635334015|      0.00100000|[326, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.3809424582903511, 0.0567436154045518]                                        |  0.3834460675716400|      0.01000000|[331, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[0.3908577699248689, 0.0554449256069491]                                        |  0.3728744089603424|      0.10000000|[336, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.3908577699248689, 0.0554449256069491]                                        |  0.3728744089603424|      0.01000000|[344, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.3945975736793312, 0.064719291778182]                                         |  0.3675863444805145|      0.10000000|[349, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.3945975736793312, 0.064719291778182]                                         |  0.3675863444805145|      0.01000000|[356, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.4045508877021299, 0.0637541285984256]                                        |  0.3551624715328217|      0.10000000|[362, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.4045508877021299, 0.0637541285984256]                                        |  0.3551624715328217|      0.01000000|[368, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.4045508877021299, 0.0637541285984256]                                        |  0.3551624715328217|      0.00100000|[374, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.4054274219479678, 0.0642354681001013]                                        |  0.3540950417518616|      0.01000000|[379, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[0.414008689078011, 0.0693698477552146]                                         |  0.3436394333839417|      0.10000000|[384, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.414008689078011, 0.0693698477552146]                                         |  0.3436394333839417|      0.01000000|[390, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.4239500498584828, 0.0704512107065392]                                        |  0.3351362049579620|      0.10000000|[395, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.4239500498584828, 0.0704512107065392]                                        |  0.3351362049579620|      0.01000000|[401, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.4239500498584828, 0.0704512107065392]                                        |  0.3351362049579620|      0.00100000|[408, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.4244093179061744, 0.0713395084383665]                                        |  0.3339122533798218|      0.01000000|[413, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      69|[0.4292698427944384, 0.0800788046234472]                                        |  0.3258281946182251|      0.10000000|[418, 157, 0, 157]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      70|[0.4292698427944384, 0.0800788046234472]                                        |  0.3258281946182251|      0.01000000|[426, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
