k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      0.50000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.7862951914018546, 2.029808394386997]                                         |101.4510498046875000|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[112, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[115, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[118, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[121, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[124, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[127, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[130, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[133, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[136, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[139, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[142, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[145, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[148, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[151, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[154, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.03125000|[157, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[162, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[165, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[168, 59, 0, 59]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[171, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[174, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[177, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[180, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[183, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[186, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[189, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[192, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[195, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[198, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[201, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[204, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[207, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[210, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.01562500|[213, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.00781250|[219, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.00781250|[222, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.00781250|[225, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.00781250|[228, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1955496693996093, 0.8600579945271936]                                        |  0.0504296235740185|      0.00781250|[231, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
