k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      0.20000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1.1527088700131616, 0.4000343534571777, 5.543274479709635, 5.626809537145387, 6.4089782916659095, 7.613163677361453]|253.1639404296875000|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[-0.5118381033212047, 0.0903742692601632, 4.415343229430073, 5.971289549763216, 5.424338163856254, 7.445623571632094]| 82.9515914916992188|      0.20000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[-0.6107288498148423, 0.207902906005266, 4.363803634381746, 5.964182850253033, 5.3123355644962515, 7.411620299676324]| 76.8817901611328125|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[-0.6107288498148423, 0.207902906005266, 4.363803634381746, 5.964182850253033, 5.3123355644962515, 7.411620299676324]| 76.8817901611328125|      0.20000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-0.6293288011340528, 0.2955081575118256, 4.2769738242082465, 5.970213933032176, 5.1815314815391575, 7.32621617971192]| 71.3826141357421875|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-0.6293288011340528, 0.2955081575118256, 4.2769738242082465, 5.970213933032176, 5.1815314815391575, 7.32621617971192]| 71.3826141357421875|      0.20000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-0.6815333769407681, 0.3241331325744651, 4.162769736152757, 6.024053905774506, 5.0384121111286255, 7.320664379344801]| 64.7710876464843750|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-0.6815333769407681, 0.3241331325744651, 4.162769736152757, 6.024053905774506, 5.0384121111286255, 7.320664379344801]| 64.7710876464843750|      0.20000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-0.7318978737064161, 0.4409785117839123, 4.027576126390405, 6.03090320300917, 4.964371613859878, 7.322751145732303]| 59.0642356872558594|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-0.7318978737064161, 0.4409785117839123, 4.027576126390405, 6.03090320300917, 4.964371613859878, 7.322751145732303]| 59.0642356872558594|      0.20000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-0.7606341798421328, 0.4746372544344764, 3.8994328258805204, 5.95515043479829, 4.8404412076854015, 7.299873627923131]| 53.8432807922363281|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-0.7606341798421328, 0.4746372544344764, 3.8994328258805204, 5.95515043479829, 4.8404412076854015, 7.299873627923131]| 53.8432807922363281|      0.20000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-0.8394164775881517, 0.4842340741450262, 3.8576201323938104, 5.854211706943597, 4.707800422708629, 7.364454930608266]| 49.9478797912597656|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-0.8394164775881517, 0.4842340741450262, 3.8576201323938104, 5.854211706943597, 4.707800422708629, 7.364454930608266]| 49.9478797912597656|      0.20000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[-0.8951273193438324, 0.4987220773998522, 3.8515252491835867, 6.027532710726917, 4.64775337314428, 7.309651338049252]| 48.2790069580078125|      1.00000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[-0.8951273193438324, 0.4987220773998522, 3.8515252491835867, 6.027532710726917, 4.64775337314428, 7.309651338049252]| 48.2790069580078125|      0.20000000|[291, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[-0.9036329301167277, 0.5756461712367595, 3.6968137903698968, 6.111487869585502, 4.602298096959904, 7.340636044801498]| 44.1469078063964844|      1.00000000|[302, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[-0.9036329301167277, 0.5756461712367595, 3.6968137903698968, 6.111487869585502, 4.602298096959904, 7.340636044801498]| 44.1469078063964844|      0.20000000|[314, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[-0.9612465461700932, 0.6095426630823352, 3.565406814871144, 6.171540738790865, 4.4816390933575425, 7.3306879984617845]| 39.8128738403320312|      1.00000000|[325, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[-0.9612465461700932, 0.6095426630823352, 3.565406814871144, 6.171540738790865, 4.4816390933575425, 7.3306879984617845]| 39.8128738403320312|      0.20000000|[335, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[-0.9802555750683246, 0.7685905603713112, 3.5081971709697193, 6.200522105362482, 4.3811870071799275, 7.3424752206612816]| 36.1110076904296875|      1.00000000|[347, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[-0.9802555750683246, 0.7685905603713112, 3.5081971709697193, 6.200522105362482, 4.3811870071799275, 7.3424752206612816]| 36.1110076904296875|      0.20000000|[358, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[-1.0347223487308759, 0.8579865783927922, 3.4056151522109297, 6.157884343851248, 4.25465624221917, 7.368755227659445]| 32.2081832885742188|      1.00000000|[368, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[-1.0347223487308759, 0.8579865783927922, 3.4056151522109297, 6.157884343851248, 4.25465624221917, 7.368755227659445]| 32.2081832885742188|      0.20000000|[378, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[-1.0347223487308759, 0.8579865783927922, 3.4056151522109297, 6.157884343851248, 4.25465624221917, 7.368755227659445]| 32.2081832885742188|      0.04000000|[388, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      37|[-1.0270597796210093, 0.8676254124556846, 3.380033925852966, 6.154765985774952, 4.229015189919174, 7.38001538087439]| 31.5076484680175781|      0.20000000|[400, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      38|[-1.1097162443977178, 0.9638766197278087, 3.2775559731397403, 6.080569919392181, 4.142703830707127, 7.3588688411746235]| 28.3480739593505859|      1.00000000|[410, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[-1.1097162443977178, 0.9638766197278087, 3.2775559731397403, 6.080569919392181, 4.142703830707127, 7.3588688411746235]| 28.3480739593505859|      0.20000000|[421, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[-1.1085278047576763, 1.028871630326096, 3.1336477925953505, 6.117272778300553, 4.033065988135298, 7.31767278062145]| 25.1422195434570312|      1.00000000|[432, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      41|[-1.1085278047576763, 1.028871630326096, 3.1336477925953505, 6.117272778300553, 4.033065988135298, 7.31767278062145]| 25.1422195434570312|      0.20000000|[442, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[-1.095915287944599, 1.0223866215233492, 2.9929532982736795, 6.130876265281613, 3.9117575394415716, 7.389109002284659]| 22.6715393066406250|      1.00000000|[452, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      43|[-1.095915287944599, 1.0223866215233492, 2.9929532982736795, 6.130876265281613, 3.9117575394415716, 7.389109002284659]| 22.6715393066406250|      0.20000000|[463, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      44|[-1.1646561628520347, 1.1557277564705648, 2.924259883351739, 6.085524263244518, 3.8083485411998907, 7.384027310815253]| 20.2133255004882812|      1.00000000|[473, 176, 0, 88]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      45|[-1.1646561628520347, 1.1557277564705648, 2.924259883351739, 6.085524263244518, 3.8083485411998907, 7.384027310815253]| 20.2133255004882812|      0.20000000|[483, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      46|[-1.1606681948564694, 1.1891357567258676, 2.7867459012249896, 6.050671315921996, 3.6728794361449486, 7.4038086148268345]| 17.8576660156250000|      1.00000000|[494, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      47|[-1.1606681948564694, 1.1891357567258676, 2.7867459012249896, 6.050671315921996, 3.6728794361449486, 7.4038086148268345]| 17.8576660156250000|      0.20000000|[504, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[-1.1569713464173887, 1.2717916602641273, 2.6983227669934475, 6.062003764034289, 3.5239917495180335, 7.458942240185873]| 15.7276048660278320|      1.00000000|[514, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      49|[-1.1569713464173887, 1.2717916602641273, 2.6983227669934475, 6.062003764034289, 3.5239917495180335, 7.458942240185873]| 15.7276048660278320|      0.20000000|[526, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      50|[-1.0974192332254742, 1.3581771913403409, 2.5683848193676453, 6.079638522925667, 3.4155120525305906, 7.464270112388529]| 13.6446723937988281|      1.00000000|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      51|[-1.0974192332254742, 1.3581771913403409, 2.5683848193676453, 6.079638522925667, 3.4155120525305906, 7.464270112388529]| 13.6446723937988281|      0.20000000|[547, 204, 0, 102]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      52|[-1.0974192332254742, 1.3581771913403409, 2.5683848193676453, 6.079638522925667, 3.4155120525305906, 7.464270112388529]| 13.6446723937988281|      0.04000000|[558, 208, 0, 104]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      53|[-1.0871929758160896, 1.3865061451320833, 2.56131076670524, 6.081066089966519, 3.3923567315341607, 7.454040499625182]| 13.2859544754028320|      0.20000000|[570, 212, 0, 106]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      54|[-1.0242432390931815, 1.512959036060016, 2.472396210480798, 6.0886901471734785, 3.2824581443941456, 7.456358475084272]| 11.4877824783325195|      1.00000000|[581, 216, 0, 108]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      55|[-1.0242432390931815, 1.512959036060016, 2.472396210480798, 6.0886901471734785, 3.2824581443941456, 7.456358475084272]| 11.4877824783325195|      0.20000000|[592, 220, 0, 110]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      56|[-1.0242432390931815, 1.512959036060016, 2.472396210480798, 6.0886901471734785, 3.2824581443941456, 7.456358475084272]| 11.4877824783325195|      0.04000000|[603, 224, 0, 112]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      57|[-1.026957700671443, 1.5059121974292566, 2.438552621803133, 6.07527714774738, 3.280875947870892, 7.471027264046778]| 11.3437528610229492|      0.20000000|[613, 228, 0, 114]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      58|[-1.026957700671443, 1.5059121974292566, 2.438552621803133, 6.07527714774738, 3.280875947870892, 7.471027264046778]| 11.3437528610229492|      0.04000000|[624, 232, 0, 116]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      59|[-1.0294084875668232, 1.5189556307496848, 2.406344013984108, 6.062898724618432, 3.2689662028383384, 7.480587634712682]| 11.0729207992553711|      0.20000000|[635, 236, 0, 118]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      60|[-1.0294084875668232, 1.5189556307496848, 2.406344013984108, 6.062898724618432, 3.2689662028383384, 7.480587634712682]| 11.0729207992553711|      0.04000000|[647, 240, 0, 120]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      61|[-1.0241228010081436, 1.5264634337377114, 2.387358315153557, 6.042180462509267, 3.247693778182144, 7.464050548626116]| 10.8078603744506836|      0.20000000|[657, 244, 0, 122]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      62|[-1.0241228010081436, 1.5264634337377114, 2.387358315153557, 6.042180462509267, 3.247693778182144, 7.464050548626116]| 10.8078603744506836|      0.04000000|[668, 248, 0, 124]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      63|[-0.9999576564224638, 1.5182600110603073, 2.380827391924552, 6.031728692644625, 3.2257520087775156, 7.446290595152175]| 10.6334247589111328|      0.20000000|[678, 252, 0, 126]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      64|[-0.9999576564224638, 1.5182600110603073, 2.380827391924552, 6.031728692644625, 3.2257520087775156, 7.446290595152175]| 10.6334247589111328|      0.04000000|[690, 256, 0, 128]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      65|[-0.9984107207018189, 1.543740557956081, 2.3541805195719663, 6.03619296903294, 3.222767002914561, 7.43181810780824]| 10.3872289657592773|      0.20000000|[701, 260, 0, 130]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      66|[-0.9984107207018189, 1.543740557956081, 2.3541805195719663, 6.03619296903294, 3.222767002914561, 7.43181810780824]| 10.3872289657592773|      0.04000000|[711, 264, 0, 132]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      67|[-0.9908274046451319, 1.565727902688457, 2.3265575661327307, 6.034081141620228, 3.2057243674669, 7.430763975712665]| 10.0795269012451172|      0.20000000|[723, 268, 0, 134]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      68|[-0.9908274046451319, 1.565727902688457, 2.3265575661327307, 6.034081141620228, 3.2057243674669, 7.430763975712665]| 10.0795269012451172|      0.04000000|[734, 272, 0, 136]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      69|[-0.9757491492804705, 1.5957450305909575, 2.316324371067311, 6.041447014824263, 3.197425366636003, 7.415150825372427]|  9.8525390625000000|      0.20000000|[745, 276, 0, 138]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      70|[-0.9757491492804705, 1.5957450305909575, 2.316324371067311, 6.041447014824263, 3.197425366636003, 7.415150825372427]|  9.8525390625000000|      0.04000000|[755, 280, 0, 140]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      71|[-0.9700606438235023, 1.6273108599631614, 2.297456112558056, 6.049146268097907, 3.1849534903004635, 7.415784814519167]|  9.5961809158325195|      0.20000000|[766, 284, 0, 142]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      72|[-0.9700606438235023, 1.6273108599631614, 2.297456112558056, 6.049146268097907, 3.1849534903004635, 7.415784814519167]|  9.5961809158325195|      0.04000000|[777, 288, 0, 144]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      73|[-0.9637571447659907, 1.646771399641721, 2.2765535201877345, 6.05073730905702, 3.1741858446053026, 7.440808030181852]|  9.3954324722290039|      0.20000000|[787, 292, 0, 146]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      74|[-0.9637571447659907, 1.646771399641721, 2.2765535201877345, 6.05073730905702, 3.1741858446053026, 7.440808030181852]|  9.3954324722290039|      0.04000000|[798, 296, 0, 148]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      75|[-0.978168231840375, 1.661835838907206, 2.2648491333625653, 6.034194978977066, 3.1474364583736683, 7.4345460640565415]|  9.1830186843872070|      0.20000000|[809, 300, 0, 150]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      76|[-0.978168231840375, 1.661835838907206, 2.2648491333625653, 6.034194978977066, 3.1474364583736683, 7.4345460640565415]|  9.1830186843872070|      0.04000000|[820, 304, 0, 152]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      77|[-0.9877641291076662, 1.6851312047553517, 2.2593950931401108, 6.018977645820057, 3.121788924198036, 7.427753796895508]|  8.9720611572265625|      0.20000000|[830, 308, 0, 154]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      78|[-0.9877641291076662, 1.6851312047553517, 2.2593950931401108, 6.018977645820057, 3.121788924198036, 7.427753796895508]|  8.9720611572265625|      0.04000000|[840, 312, 0, 156]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      79|[-0.9801884247250565, 1.7069837771048921, 2.2365948578968586, 6.005069877181199, 3.1031222980538997, 7.429585216440785]|  8.7085628509521484|      0.20000000|[852, 316, 0, 158]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      80|[-0.9801884247250565, 1.7069837771048921, 2.2365948578968586, 6.005069877181199, 3.1031222980538997, 7.429585216440785]|  8.7085628509521484|      0.04000000|[863, 320, 0, 160]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
