k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, 3.0]                                                                      |889.3031475218829200|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.9833604206888067, 2.750554365842281]                                         |551.7501831054687500|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.7974516562401244, 1.7709220475250806]                                        | 52.4072036743164062|      0.50000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[1.0374990264788977, 0.9793523329390642]                                        |  0.0017672862159088|      0.00781250|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.0374990264788977, 0.9793523329390642]                                        |  0.0017672862159088|      0.00390625|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.0336030142549384, 0.9790697063068108]                                        |  0.0014702293556184|      0.00781250|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[1.0336030142549384, 0.9790697063068108]                                        |  0.0014702293556184|      0.00390625|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[1.0307609647225002, 0.981749546510567]                                         |  0.0011988235637546|      0.00781250|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[1.0307609647225002, 0.981749546510567]                                         |  0.0011988235637546|      0.00390625|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[1.0272610952122632, 0.9834843959201162]                                        |  0.0009516422287561|      0.00781250|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[1.0272610952122632, 0.9834843959201162]                                        |  0.0009516422287561|      0.00390625|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[1.0240162168121156, 0.9856591495224251]                                        |  0.0007330122170970|      0.00781250|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[1.0240162168121156, 0.9856591495224251]                                        |  0.0007330122170970|      0.00390625|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[1.0206087387322293, 0.9875690925052375]                                        |  0.0005430630990304|      0.00781250|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[1.0206087387322293, 0.9875690925052375]                                        |  0.0005430630990304|      0.00390625|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[1.0206087387322293, 0.9875690925052375]                                        |  0.0005430630990304|      0.00195312|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[1.0199381577636386, 0.9894034911615248]                                        |  0.0004964186227880|      0.00390625|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[1.0199381577636386, 0.9894034911615248]                                        |  0.0004964186227880|      0.00195312|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[1.0179908987598965, 0.9892522309950229]                                        |  0.0004116746131331|      0.00390625|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[1.0179908987598965, 0.9892522309950229]                                        |  0.0004116746131331|      0.00195312|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[1.0179908987598965, 0.9892522309950229]                                        |  0.0004116746131331|      0.00097656|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[1.0171454098946298, 0.9897409260892446]                                        |  0.0003742733097170|      0.00195312|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[1.0156960848237555, 0.9910501831704017]                                        |  0.0003073879342992|      0.00390625|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[1.0156960848237555, 0.9910501831704017]                                        |  0.0003073879342992|      0.00195312|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[1.0138913315912732, 0.9917968846070347]                                        |  0.0002439840172883|      0.00390625|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[1.0138913315912732, 0.9917968846070347]                                        |  0.0002439840172883|      0.00195312|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[1.0138913315912732, 0.9917968846070347]                                        |  0.0002439840172883|      0.00097656|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[1.0130508001958725, 0.9922940579065511]                                        |  0.0002153483656002|      0.00195312|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[1.0130508001958725, 0.9922940579065511]                                        |  0.0002153483656002|      0.00097656|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
