k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0995800796832327, 0.0091546562076914]                                        | 21.3814773559570312|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[0.0995800796832327, 0.0091546562076914]                                        | 21.3814773559570312|      0.10000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1983231272395466, 0.0249600527320283]                                        | 18.7859821319580078|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.1983231272395466, 0.0249600527320283]                                        | 18.7859821319580078|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.2927258879831318, 0.0579466979689938]                                        | 16.1562156677246094|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[0.2927258879831318, 0.0579466979689938]                                        | 16.1562156677246094|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.3771556535585076, 0.1115341469182308]                                        | 13.3841447830200195|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.3771556535585076, 0.1115341469182308]                                        | 13.3841447830200195|      0.10000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.4551534859954816, 0.1741147999599955]                                        | 10.4418268203735352|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[0.4551534859954816, 0.1741147999599955]                                        | 10.4418268203735352|      0.10000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.6613002220132813, 0.4165518425872701]                                        |  1.5264430046081543|      0.01000000|[137, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.6666820336556007, 0.4249801344335812]                                        |  1.3518139123916626|      0.10000000|[143, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.6666820336556007, 0.4249801344335812]                                        |  1.3518139123916626|      0.01000000|[150, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.6715561789683443, 0.433711841452845]                                         |  1.1918801069259644|      0.10000000|[156, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.6715561789683443, 0.433711841452845]                                         |  1.1918801069259644|      0.01000000|[164, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.6763325873082031, 0.4424973934201905]                                        |  1.0478342771530151|      0.10000000|[170, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.6763325873082031, 0.4424973934201905]                                        |  1.0478342771530151|      0.01000000|[176, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.6763325873082031, 0.4424973934201905]                                        |  1.0478342771530151|      0.00100000|[182, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.6767989635556079, 0.4433819798749006]                                        |  1.0343494415283203|      0.01000000|[188, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.6813498606968669, 0.452286435793691]                                         |  0.9091498255729675|      0.10000000|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.6813498606968669, 0.452286435793691]                                         |  0.9091498255729675|      0.01000000|[200, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.6855456149273546, 0.4613636405637369]                                        |  0.8022905588150024|      0.10000000|[208, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      34|[0.6855456149273546, 0.4613636405637369]                                        |  0.8022905588150024|      0.01000000|[214, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.6855456149273546, 0.4613636405637369]                                        |  0.8022905588150024|      0.00100000|[221, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.685939076358028, 0.4622829816878973]                                         |  0.7926563024520874|      0.01000000|[226, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[0.6897853678485546, 0.4715136935656401]                                        |  0.7072591781616211|      0.10000000|[233, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      38|[0.6897853678485546, 0.4715136935656401]                                        |  0.7072591781616211|      0.01000000|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.6924226200387106, 0.4811596720481746]                                        |  0.6419803500175476|      0.10000000|[246, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.6924226200387106, 0.4811596720481746]                                        |  0.6419803500175476|      0.01000000|[253, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.6932758805269119, 0.4911232028751091]                                        |  0.5961083769798279|      0.10000000|[258, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.6932758805269119, 0.4911232028751091]                                        |  0.5961083769798279|      0.01000000|[264, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.6932758805269119, 0.4911232028751091]                                        |  0.5961083769798279|      0.00100000|[270, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.6932575589588428, 0.4921230350210933]                                        |  0.5924942493438721|      0.01000000|[276, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[0.6917758910279221, 0.5020126588836313]                                        |  0.5640067458152771|      0.10000000|[282, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.6917758910279221, 0.5020126588836313]                                        |  0.5640067458152771|      0.01000000|[289, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.6917758910279221, 0.5020126588836313]                                        |  0.5640067458152771|      0.00100000|[297, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.6912438100174141, 0.5028593523336218]                                        |  0.5616617798805237|      0.01000000|[303, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      49|[0.6912438100174141, 0.5028593523336218]                                        |  0.5616617798805237|      0.00100000|[310, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.6906676187175128, 0.5036766671970117]                                        |  0.5593528151512146|      0.01000000|[316, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.6906676187175128, 0.5036766671970117]                                        |  0.5593528151512146|      0.00100000|[324, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.69007444434786, 0.5044817412104955]                                          |  0.5570749640464783|      0.01000000|[329, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.6829792601490685, 0.5115286101027923]                                        |  0.5352236032485962|      0.10000000|[334, 125, 0, 125]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.6829792601490685, 0.5115286101027923]                                        |  0.5352236032485962|      0.01000000|[340, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.6829792601490685, 0.5115286101027923]                                        |  0.5352236032485962|      0.00100000|[346, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.6822190647996775, 0.5121783046700809]                                        |  0.5331030488014221|      0.01000000|[351, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[0.6822190647996775, 0.5121783046700809]                                        |  0.5331030488014221|      0.00100000|[358, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.6815040170253495, 0.5128773802600055]                                        |  0.5309950709342957|      0.01000000|[364, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      59|[0.6815040170253495, 0.5128773802600055]                                        |  0.5309950709342957|      0.00100000|[370, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.6807509938034987, 0.5135353742017356]                                        |  0.5288925766944885|      0.01000000|[376, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.6731101075049847, 0.5199864870183883]                                        |  0.5083061456680298|      0.10000000|[384, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      62|[0.6731101075049847, 0.5199864870183883]                                        |  0.5083061456680298|      0.01000000|[390, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.6731101075049847, 0.5199864870183883]                                        |  0.5083061456680298|      0.00100000|[397, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.6723357977789435, 0.5206192938199937]                                        |  0.5062887072563171|      0.01000000|[403, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      65|[0.6723357977789435, 0.5206192938199937]                                        |  0.5062887072563171|      0.00100000|[410, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.6715458271251498, 0.5212324384735174]                                        |  0.5042756199836731|      0.01000000|[415, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      67|[0.6715458271251498, 0.5212324384735174]                                        |  0.5042756199836731|      0.00100000|[422, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.6706937549754394, 0.5217558628249647]                                        |  0.5022726058959961|      0.01000000|[428, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
