k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5625333655012217, -0.0987652096082075, -0.0056629995779544, 0.6963695860181313, 0.14836837724344, -0.0837789903368286, -0.0985519643736741, 0.0525375541891417, 0.0965393958761853, -0.0196854846614547, -0.0297842198314033, -0.0419578852249265, 0.2735949378246539, -0.1818034707847289, -0.0375644755943238, -0.0089669932665603, 0.0052204460814968, 0.1285241551416834, -0.0216149182815511, -0.0887893515630658, 0.0059628610502888, -0.0254764695919806]| 13.3236818313598633|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.01562500|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.00781250|[365, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[1.4507636404652473, -0.2417214851210196, 0.0680070439148776, 2.022640271851192, 0.2963290071806662, -0.5058501191915052, -0.3132257338480767, -0.113106393904562, -0.6933536472463055, 0.0719677445497998, 0.551475652567561, 0.0194040441144372, 0.4971365114932219, -0.3062995842774931, 0.2843993400940732, -0.1606190209337751, 0.3476714373933347, -0.0337000864134704, -0.1367034463353116, -0.0741938570103482, -0.0737658550019848, -0.1002017735077051]| 12.1442909240722656|      0.00390625|[393, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[1.4527021192256366, -0.2421151994035105, 0.0676172386687167, 2.02524272655059, 0.2966303612842101, -0.5057015193385818, -0.3130622781007584, -0.1134561367174587, -0.6938002758982066, 0.0727002830616767, 0.5509263333177894, 0.0189662372809706, 0.496652630874725, -0.307162153070464, 0.2842005115834378, -0.1608668872494002, 0.3472130046465141, -0.032518385554908, -0.1371454521942955, -0.0742163169009006, -0.0735571872888255, -0.1002709118440092]| 12.1442823410034180|      0.00781250|[421, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[1.4527021192256366, -0.2421151994035105, 0.0676172386687167, 2.02524272655059, 0.2966303612842101, -0.5057015193385818, -0.3130622781007584, -0.1134561367174587, -0.6938002758982066, 0.0727002830616767, 0.5509263333177894, 0.0189662372809706, 0.496652630874725, -0.307162153070464, 0.2842005115834378, -0.1608668872494002, 0.3472130046465141, -0.032518385554908, -0.1371454521942955, -0.0742163169009006, -0.0735571872888255, -0.1002709118440092]| 12.1442823410034180|      0.00390625|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[1.4527021192256366, -0.2421151994035105, 0.0676172386687167, 2.02524272655059, 0.2966303612842101, -0.5057015193385818, -0.3130622781007584, -0.1134561367174587, -0.6938002758982066, 0.0727002830616767, 0.5509263333177894, 0.0189662372809706, 0.496652630874725, -0.307162153070464, 0.2842005115834378, -0.1608668872494002, 0.3472130046465141, -0.032518385554908, -0.1371454521942955, -0.0742163169009006, -0.0735571872888255, -0.1002709118440092]| 12.1442823410034180|      0.00195312|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[1.4518825458873612, -0.2418602549563661, 0.0678524749076376, 2.0265084125574666, 0.2963081476730682, -0.5061278755033017, -0.312685221211825, -0.1134216310547608, -0.6941134294538829, 0.0724308225710344, 0.5509477418013251, 0.0192759559881089, 0.4964060727198339, -0.3071516629471647, 0.2841532143308044, -0.1606372683819436, 0.3468476992383679, -0.0325091627194317, -0.1372797618571223, -0.073621194679098, -0.0738667419810378, -0.1003560680072199]| 12.1442794799804688|      0.00390625|[505, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[1.450800285546674, -0.2429476152258011, 0.0687999958519979, 2.0291270514045183, 0.2964781727805315, -0.5070606110449576, -0.3131032798001493, -0.1137623860977161, -0.6936195633116001, 0.0717838654251982, 0.5509435948408256, 0.0197187513163571, 0.4962530712076061, -0.3066413032529881, 0.2845986204111512, -0.1607500377734922, 0.3476047282026691, -0.0329116787833565, -0.1367941684456626, -0.0742073173481058, -0.0727305952290037, -0.1003174885841815]| 12.1442737579345703|      0.00781250|[533, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[1.450800285546674, -0.2429476152258011, 0.0687999958519979, 2.0291270514045183, 0.2964781727805315, -0.5070606110449576, -0.3131032798001493, -0.1137623860977161, -0.6936195633116001, 0.0717838654251982, 0.5509435948408256, 0.0197187513163571, 0.4962530712076061, -0.3066413032529881, 0.2845986204111512, -0.1607500377734922, 0.3476047282026691, -0.0329116787833565, -0.1367941684456626, -0.0742073173481058, -0.0727305952290037, -0.1003174885841815]| 12.1442737579345703|      0.00390625|[561, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[1.4476130655238097, -0.2438690853198555, 0.0684692824747484, 2.0301299545955658, 0.2962300520403449, -0.5069774889601114, -0.3133001341802767, -0.1141603057915609, -0.693397465711173, 0.0714752041409239, 0.5517780102319614, 0.0198420916674217, 0.4960916153237928, -0.3070381958319601, 0.2848677066313649, -0.1612549597767255, 0.3478329772210311, -0.0325676105534091, -0.1362429078654584, -0.0751388963383881, -0.0724559576439384, -0.100024369117441]| 12.1442670822143555|      0.00781250|[589, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      22|[1.4476130655238097, -0.2438690853198555, 0.0684692824747484, 2.0301299545955658, 0.2962300520403449, -0.5069774889601114, -0.3133001341802767, -0.1141603057915609, -0.693397465711173, 0.0714752041409239, 0.5517780102319614, 0.0198420916674217, 0.4960916153237928, -0.3070381958319601, 0.2848677066313649, -0.1612549597767255, 0.3478329772210311, -0.0325676105534091, -0.1362429078654584, -0.0751388963383881, -0.0724559576439384, -0.100024369117441]| 12.1442670822143555|      0.00390625|[617, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[1.4476130655238097, -0.2438690853198555, 0.0684692824747484, 2.0301299545955658, 0.2962300520403449, -0.5069774889601114, -0.3133001341802767, -0.1141603057915609, -0.693397465711173, 0.0714752041409239, 0.5517780102319614, 0.0198420916674217, 0.4960916153237928, -0.3070381958319601, 0.2848677066313649, -0.1612549597767255, 0.3478329772210311, -0.0325676105534091, -0.1362429078654584, -0.0751388963383881, -0.0724559576439384, -0.100024369117441]| 12.1442670822143555|      0.00195312|[645, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[1.4470798997473249, -0.2438630269471033, 0.0687822086971828, 2.030672304965278, 0.295974303948872, -0.5068670334001295, -0.3128299954830218, -0.1146906914451928, -0.6931264506459521, 0.0718550462304974, 0.5508724482219324, 0.0201777313926831, 0.4955566290878094, -0.3078571716987495, 0.2847193328447743, -0.1611041773993961, 0.3477157294987565, -0.0327449862267379, -0.1362111690808735, -0.0756931499531742, -0.0726385518048876, -0.0998846572463544]| 12.1442661285400391|      0.00390625|[673, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[1.445157472018734, -0.2454536835063828, 0.0690568086788707, 2.03264868373702, 0.2953029114521661, -0.5076920082302566, -0.3138741145702515, -0.1147273910367227, -0.6937078543590796, 0.0727114327535454, 0.5509653240094488, 0.0208199668637826, 0.4960507375823884, -0.3084379000852743, 0.2843899192707681, -0.1615657523522411, 0.34787720879456, -0.032600173727572, -0.1365665927658497, -0.0759636632069285, -0.0730698563046611, -0.0998631110633681]| 12.1442594528198242|      0.00781250|[701, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      26|[1.445157472018734, -0.2454536835063828, 0.0690568086788707, 2.03264868373702, 0.2953029114521661, -0.5076920082302566, -0.3138741145702515, -0.1147273910367227, -0.6937078543590796, 0.0727114327535454, 0.5509653240094488, 0.0208199668637826, 0.4960507375823884, -0.3084379000852743, 0.2843899192707681, -0.1615657523522411, 0.34787720879456, -0.032600173727572, -0.1365665927658497, -0.0759636632069285, -0.0730698563046611, -0.0998631110633681]| 12.1442594528198242|      0.00390625|[729, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      27|[1.4423837553352552, -0.2464307402602681, 0.0691254196020711, 2.0343329837655024, 0.2941317946980601, -0.5075893581713494, -0.3140378472721702, -0.1153495390287403, -0.6930144195665136, 0.0731319333643855, 0.550656313171028, 0.0211192670148551, 0.4962585964092261, -0.3080065210398222, 0.284820078530498, -0.1613590505626281, 0.3484654793308608, -0.0326411654283572, -0.1366598928484889, -0.0756555024578999, -0.0734476775261096, -0.1001445126492663]| 12.1442526866576497|      0.00781250|[757, 108, 1, 55]                                                          |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      28|[1.4423837553352552, -0.2464307402602681, 0.0691254196020711, 2.0343329837655024, 0.2941317946980601, -0.5075893581713494, -0.3140378472721702, -0.1153495390287403, -0.6930144195665136, 0.0731319333643855, 0.550656313171028, 0.0211192670148551, 0.4962585964092261, -0.3080065210398222, 0.284820078530498, -0.1613590505626281, 0.3484654793308608, -0.0326411654283572, -0.1366598928484889, -0.0756555024578999, -0.0734476775261096, -0.1001445126492663]| 12.1442526866576497|      0.00390625|[786, 112, 1, 57]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      29|[1.4423837553352552, -0.2464307402602681, 0.0691254196020711, 2.0343329837655024, 0.2941317946980601, -0.5075893581713494, -0.3140378472721702, -0.1153495390287403, -0.6930144195665136, 0.0731319333643855, 0.550656313171028, 0.0211192670148551, 0.4962585964092261, -0.3080065210398222, 0.284820078530498, -0.1613590505626281, 0.3484654793308608, -0.0326411654283572, -0.1366598928484889, -0.0756555024578999, -0.0734476775261096, -0.1001445126492663]| 12.1442526866576497|      0.00195312|[814, 116, 2, 60]                                                          |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      30|[1.4414073883493865, -0.2470231311754114, 0.0687333787228398, 2.0347657856195056, 0.2937044955229649, -0.5078078202179929, -0.3140814853671521, -0.1148064703898109, -0.6934077911821029, 0.0729973524536167, 0.5505431249084471, 0.0209818346364034, 0.4959047575890255, -0.30787360157516, 0.2850857548790285, -0.1613640974760424, 0.3491441959307374, -0.0332620470587383, -0.1368123990822135, -0.0760730929684993, -0.0738022923052535, -0.1003785061813146]| 12.1442508697509766|      0.00390625|[843, 120, 2, 62]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      31|[1.4414073883493865, -0.2470231311754114, 0.0687333787228398, 2.0347657856195056, 0.2937044955229649, -0.5078078202179929, -0.3140814853671521, -0.1148064703898109, -0.6934077911821029, 0.0729973524536167, 0.5505431249084471, 0.0209818346364034, 0.4959047575890255, -0.30787360157516, 0.2850857548790285, -0.1613640974760424, 0.3491441959307374, -0.0332620470587383, -0.1368123990822135, -0.0760730929684993, -0.0738022923052535, -0.1003785061813146]| 12.1442508697509766|      0.00195312|[871, 124, 2, 64]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      32|[1.4409469776357489, -0.2473348853560412, 0.0679722857165529, 2.0356612046161806, 0.2935388657233832, -0.5081491031874507, -0.313843814941008, -0.1145942541503769, -0.6937800606997291, 0.0725122780028813, 0.5510861720965561, 0.0210010154680227, 0.4957540344799832, -0.3075682278104687, 0.2850217652535521, -0.1610800762813244, 0.3489638197256665, -0.033719622993573, -0.136403290813162, -0.0757232206829267, -0.0731125654218509, -0.1003365226318309]| 12.1442488537376256|      0.00390625|[899, 128, 3, 67]                                                          |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      33|[1.4409469776357489, -0.2473348853560412, 0.0679722857165529, 2.0356612046161806, 0.2935388657233832, -0.5081491031874507, -0.313843814941008, -0.1145942541503769, -0.6937800606997291, 0.0725122780028813, 0.5510861720965561, 0.0210010154680227, 0.4957540344799832, -0.3075682278104687, 0.2850217652535521, -0.1610800762813244, 0.3489638197256665, -0.033719622993573, -0.136403290813162, -0.0757232206829267, -0.0731125654218509, -0.1003365226318309]| 12.1442488537376256|      0.00195312|[928, 132, 3, 69]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      34|[1.439912758631449, -0.2478155624472632, 0.0686742747108944, 2.036360769618131, 0.2935357947267652, -0.5083308115462952, -0.314445535781842, -0.1141157849199235, -0.6935745719075276, 0.0728105587529774, 0.5513416779687499, 0.0212073534038261, 0.4955262800798247, -0.3073612922952672, 0.2854783735847141, -0.1607299410950671, 0.3492824400512753, -0.0334558050947677, -0.136166547738383, -0.0758349267280793, -0.073061308209208, -0.1003634023756077]| 12.1442461013793945|      0.00390625|[956, 136, 3, 71]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      35|[1.439912758631449, -0.2478155624472632, 0.0686742747108944, 2.036360769618131, 0.2935357947267652, -0.5083308115462952, -0.314445535781842, -0.1141157849199235, -0.6935745719075276, 0.0728105587529774, 0.5513416779687499, 0.0212073534038261, 0.4955262800798247, -0.3073612922952672, 0.2854783735847141, -0.1607299410950671, 0.3492824400512753, -0.0334558050947677, -0.136166547738383, -0.0758349267280793, -0.073061308209208, -0.1003634023756077]| 12.1442461013793945|      0.00195312|[984, 140, 3, 73]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      36|[1.4391692309373232, -0.2482067573816206, 0.0691765600643681, 2.0377169098046393, 0.2934900033908906, -0.5081677683671966, -0.3148807013328102, -0.1141951303132247, -0.6937965638175513, 0.0730515238635156, 0.5510640745349824, 0.0210718667775441, 0.495807059972415, -0.3073259931106788, 0.2859727411620318, -0.1607878858094212, 0.3495561371590193, -0.0332758769882598, -0.1360895184415807, -0.075716705096589, -0.0730331864067535, -0.1007301295394315]| 12.1442432403564453|      0.00390625|[1012, 144, 3, 75]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      37|[1.4391692309373232, -0.2482067573816206, 0.0691765600643681, 2.0377169098046393, 0.2934900033908906, -0.5081677683671966, -0.3148807013328102, -0.1141951303132247, -0.6937965638175513, 0.0730515238635156, 0.5510640745349824, 0.0210718667775441, 0.495807059972415, -0.3073259931106788, 0.2859727411620318, -0.1607878858094212, 0.3495561371590193, -0.0332758769882598, -0.1360895184415807, -0.075716705096589, -0.0730331864067535, -0.1007301295394315]| 12.1442432403564453|      0.00195312|[1040, 148, 3, 77]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      38|[1.4382924058736934, -0.2485960611855134, 0.0692409845876255, 2.0380526167720214, 0.2935883728962105, -0.507514095012944, -0.3147389469765922, -0.1139731527384166, -0.6942601299461687, 0.0727239300455882, 0.55010407275816, 0.0213104849898586, 0.4959343648711247, -0.3068262142185432, 0.2859229360036616, -0.1603603315737982, 0.3495891821437428, -0.0336310053726196, -0.1363045186437142, -0.0754842934764303, -0.0727627778229481, -0.1002626437058103]| 12.1442403793334961|      0.00390625|[1068, 152, 3, 79]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      39|[1.435762619379163, -0.249624440248539, 0.0685911889261447, 2.0384327363584385, 0.2939640898828084, -0.5085419505175531, -0.3138204251222802, -0.1138049844755627, -0.6947249472883066, 0.0720601693900644, 0.5501845637343803, 0.0211652058496004, 0.4958166002576341, -0.3066465590570233, 0.2851954060124257, -0.1612053286312988, 0.3482392543175317, -0.0340533684145868, -0.1363721291388277, -0.0761385158743429, -0.0725624026875428, -0.099415318021708]| 12.1442375183105469|      0.00781250|[1096, 156, 3, 81]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      40|[1.435762619379163, -0.249624440248539, 0.0685911889261447, 2.0384327363584385, 0.2939640898828084, -0.5085419505175531, -0.3138204251222802, -0.1138049844755627, -0.6947249472883066, 0.0720601693900644, 0.5501845637343803, 0.0211652058496004, 0.4958166002576341, -0.3066465590570233, 0.2851954060124257, -0.1612053286312988, 0.3482392543175317, -0.0340533684145868, -0.1363721291388277, -0.0761385158743429, -0.0725624026875428, -0.099415318021708]| 12.1442375183105469|      0.00390625|[1124, 160, 3, 83]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      41|[1.4345198790475029, -0.2503329775943407, 0.0691866606769843, 2.0411675748220643, 0.2941598549479396, -0.508203865861104, -0.3137403526353983, -0.1150818565503673, -0.6947201370488488, 0.071657706346923, 0.5502544083514813, 0.0207727310315733, 0.4966120986498142, -0.3062902439204006, 0.2852994346735744, -0.1616933504680953, 0.3484420074483948, -0.034409713726038, -0.1373619668596172, -0.0763009442637881, -0.0718944180951591, -0.1002146036258229]| 12.1442308425903320|      0.00781250|[1152, 164, 3, 85]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      42|[1.4345198790475029, -0.2503329775943407, 0.0691866606769843, 2.0411675748220643, 0.2941598549479396, -0.508203865861104, -0.3137403526353983, -0.1150818565503673, -0.6947201370488488, 0.071657706346923, 0.5502544083514813, 0.0207727310315733, 0.4966120986498142, -0.3062902439204006, 0.2852994346735744, -0.1616933504680953, 0.3484420074483948, -0.034409713726038, -0.1373619668596172, -0.0763009442637881, -0.0718944180951591, -0.1002146036258229]| 12.1442308425903320|      0.00390625|[1180, 168, 3, 87]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      43|[1.4345198790475029, -0.2503329775943407, 0.0691866606769843, 2.0411675748220643, 0.2941598549479396, -0.508203865861104, -0.3137403526353983, -0.1150818565503673, -0.6947201370488488, 0.071657706346923, 0.5502544083514813, 0.0207727310315733, 0.4966120986498142, -0.3062902439204006, 0.2852994346735744, -0.1616933504680953, 0.3484420074483948, -0.034409713726038, -0.1373619668596172, -0.0763009442637881, -0.0718944180951591, -0.1002146036258229]| 12.1442308425903320|      0.00195312|[1208, 172, 3, 89]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      44|[1.433671652591776, -0.2507862922001074, 0.0697399833145141, 2.0417805760576293, 0.2947939494576642, -0.5075572873605649, -0.3141094046927031, -0.1148339576815258, -0.6950547947020415, 0.0720430611762748, 0.5501868823250173, 0.0209084619417858, 0.4965914831166361, -0.3065521597669277, 0.2849069823581281, -0.1616381489912305, 0.3485726041262471, -0.0340555364561917, -0.1373268540158742, -0.076111693000434, -0.0717720802828924, -0.099517534409821]| 12.1442279815673828|      0.00390625|[1236, 176, 3, 91]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      45|[1.433671652591776, -0.2507862922001074, 0.0697399833145141, 2.0417805760576293, 0.2947939494576642, -0.5075572873605649, -0.3141094046927031, -0.1148339576815258, -0.6950547947020415, 0.0720430611762748, 0.5501868823250173, 0.0209084619417858, 0.4965914831166361, -0.3065521597669277, 0.2849069823581281, -0.1616381489912305, 0.3485726041262471, -0.0340555364561917, -0.1373268540158742, -0.076111693000434, -0.0717720802828924, -0.099517534409821]| 12.1442279815673828|      0.00195312|[1264, 180, 4, 94]                                                         |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
