k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
      17|[9.951728405397333, -3.1817741109958004, -7.53398616519482, 4.038835571638203, -2.454140969611142, 0.657816880537025, 0.297819344587435]|6892.0668432305392344|      0.12500000|[127, 9, 17, 34]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      18|[9.951728405397333, -3.1817741109958004, -7.53398616519482, 4.038835571638203, -2.454140969611142, 0.657816880537025, 0.297819344587435]|6892.0668432305392344|      0.06250000|[135, 9, 18, 36]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      19|[9.951728405397333, -3.1817741109958004, -7.53398616519482, 4.038835571638203, -2.454140969611142, 0.657816880537025, 0.297819344587435]|6892.0668432305392344|      0.03125000|[142, 10, 19, 38]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      20|[9.93892098584899, -3.193404399199826, -7.537861404656163, 4.035821894050205, -2.4501527026546825, 0.6747611479210857, 0.2791069236639329]|6511.7540222084098787|      0.06250000|[150, 10, 20, 40]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      21|[9.93892098584899, -3.193404399199826, -7.537861404656163, 4.035821894050205, -2.4501527026546825, 0.6747611479210857, 0.2791069236639329]|6511.7540222084098787|      0.03125000|[158, 10, 21, 42]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      22|[9.93892098584899, -3.193404399199826, -7.537861404656163, 4.035821894050205, -2.4501527026546825, 0.6747611479210857, 0.2791069236639329]|6511.7540222084098787|      0.01562500|[165, 11, 22, 44]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      23|[9.938507265757925, -3.201480547011968, -7.536382151885655, 4.034922205457805, -2.44936120154053, 0.6771691434280124, 0.2660945160271712]|6461.2167000586923677|      0.03125000|[173, 11, 23, 46]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      24|[9.938507265757925, -3.201480547011968, -7.536382151885655, 4.034922205457805, -2.44936120154053, 0.6771691434280124, 0.2660945160271712]|6461.2167000586923677|      0.01562500|[181, 11, 24, 48]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      25|[9.938507265757925, -3.201480547011968, -7.536382151885655, 4.034922205457805, -2.44936120154053, 0.6771691434280124, 0.2660945160271712]|6461.2167000586923677|      0.00781250|[189, 11, 25, 50]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      26|[9.934295262105891, -3.201851889788221, -7.538420319775307, 4.035425578808573, -2.452486985931532, 0.6782350429992143, 0.2713710776913784]|6454.6731238122565628|      0.01562500|[196, 12, 26, 52]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      27|[9.934295262105891, -3.201851889788221, -7.538420319775307, 4.035425578808573, -2.452486985931532, 0.6782350429992143, 0.2713710776913784]|6454.6731238122565628|      0.00781250|[204, 12, 27, 54]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      28|[9.932611847853442, -3.2055572652490025, -7.537809542289183, 4.034123815316599, -2.4539198829950206, 0.6824423649233851, 0.2666119731217629]|6452.6460591662234947|      0.01562500|[212, 12, 28, 56]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      29|[9.932611847853442, -3.2055572652490025, -7.537809542289183, 4.034123815316599, -2.4539198829950206, 0.6824423649233851, 0.2666119731217629]|6452.6460591662234947|      0.00781250|[219, 13, 29, 58]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      30|[9.932611847853442, -3.2055572652490025, -7.537809542289183, 4.034123815316599, -2.4539198829950206, 0.6824423649233851, 0.2666119731217629]|6452.6460591662234947|      0.00390625|[227, 13, 30, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      31|[9.931911268709436, -3.204183403372775, -7.536468202740032, 4.032486030761925, -2.4534378114652795, 0.6813950503117688, 0.2692708620967667]|6448.2794097483374571|      0.00781250|[235, 13, 31, 62]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      32|[9.931911268709436, -3.204183403372775, -7.536468202740032, 4.032486030761925, -2.4534378114652795, 0.6813950503117688, 0.2692708620967667]|6448.2794097483374571|      0.00390625|[242, 14, 32, 64]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      33|[9.930500318797144, -3.2053718534049036, -7.537918459347753, 4.030595123153985, -2.4534911572262477, 0.6836201999392355, 0.2703766122872701]|6446.2041937991189116|      0.00781250|[249, 15, 33, 66]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      34|[9.930500318797144, -3.2053718534049036, -7.537918459347753, 4.030595123153985, -2.4534911572262477, 0.6836201999392355, 0.2703766122872701]|6446.2041937991189116|      0.00390625|[257, 15, 34, 68]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      35|[9.931704550008046, -3.207917503443398, -7.540061635429498, 4.030928399946158, -2.4521619921006903, 0.683458672546143, 0.2694648919532771]|6445.2733227693997833|      0.00781250|[265, 15, 35, 70]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
