k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.181673847395865, -1.4474794451513555, -0.5019851256249719, 0.0362295037015514, 0.4270438295512273, 0.3577220401280393, 0.3254747280868374]|54810.5540654119395185|      2.00000000|[12, 0, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
      17|[10.136538177279366, -1.6302363822591217, -0.2599809603258805, 1.0165837241325861, 0.3597705190715994, 0.1723159741858347, 0.0616921982257362]|7435.7299259804512985|      0.00781250|[193, 11, 17, 34]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      18|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.01562500|[205, 11, 18, 36]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      19|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.00781250|[216, 12, 19, 38]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      20|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.00390625|[227, 13, 20, 40]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      21|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.00195312|[238, 14, 21, 42]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      22|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.00097656|[249, 15, 22, 44]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      23|[10.138136368480126, -1.6308231436826022, -0.2609338813365571, 1.0160146241978092, 0.357947540173674, 0.1718424290910476, 0.0689968010185169]|6832.6873712292363052|      0.00048828|[260, 16, 23, 46]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      24|[10.138173157242251, -1.6307428181840458, -0.2609892515928903, 1.0160272855877552, 0.3579970256469772, 0.1720785110580281, 0.0685854577347728]|6830.6801949882819827|      0.00097656|[272, 16, 24, 48]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      25|[10.138422962188582, -1.6308865814251625, -0.261259591180616, 1.0156587706265625, 0.3581670918982768, 0.1728192301564996, 0.0688755092021242]|6827.4689568171761493|      0.00195312|[284, 16, 25, 50]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      26|[10.13861417997591, -1.630126789386506, -0.2614052446929321, 1.0159034309534656, 0.3569711179329056, 0.1740975392159822, 0.0686402483196623]|6821.6467798622170449|      0.00390625|[295, 17, 26, 52]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      27|[10.13840788155776, -1.6308049395481743, -0.2613496649253121, 1.0144318928415375, 0.3569025781401467, 0.1775869705979074, 0.0692782136679507]|6811.0975179509969166|      0.00781250|[306, 18, 27, 54]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      28|[10.13840788155776, -1.6308049395481743, -0.2613496649253121, 1.0144318928415375, 0.3569025781401467, 0.1775869705979074, 0.0692782136679507]|6811.0975179509969166|      0.00390625|[318, 18, 28, 56]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      29|[10.13840788155776, -1.6308049395481743, -0.2613496649253121, 1.0144318928415375, 0.3569025781401467, 0.1775869705979074, 0.0692782136679507]|6811.0975179509969166|      0.00195312|[329, 19, 29, 58]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      30|[10.13840788155776, -1.6308049395481743, -0.2613496649253121, 1.0144318928415375, 0.3569025781401467, 0.1775869705979074, 0.0692782136679507]|6811.0975179509969166|      0.00097656|[341, 19, 30, 60]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      31|[10.138674084052777, -1.6311885505158707, -0.2614389918067625, 1.0146311095579008, 0.3568152826353573, 0.1777769066528641, 0.0684755366646935]|6804.3448497247136402|      0.00195312|[352, 20, 31, 62]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      32|[10.138770505698819, -1.6311435972369248, -0.2613948660456236, 1.0142702521905875, 0.3567385922352412, 0.1796550283826038, 0.0688470088210939]|6797.3480041668499325|      0.00390625|[363, 21, 32, 64]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      33|[10.138770505698819, -1.6311435972369248, -0.2613948660456236, 1.0142702521905875, 0.3567385922352412, 0.1796550283826038, 0.0688470088210939]|6797.3480041668499325|      0.00195312|[374, 22, 33, 66]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      34|[10.138770505698819, -1.6311435972369248, -0.2613948660456236, 1.0142702521905875, 0.3567385922352412, 0.1796550283826038, 0.0688470088210939]|6797.3480041668499325|      0.00097656|[386, 22, 34, 68]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      35|[10.139353509643646, -1.6315975039273383, -0.2613443240510703, 1.014405084859627, 0.3563595638133002, 0.179720535448134, 0.0683580697952501]|6795.8142411404141967|      0.00195312|[397, 23, 35, 70]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
