k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      0.50000000|[10, 2, 1, 2]                                                              |  | used linear model with 12 points | iterate failure | actual_k=4
      12|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.01562500|[118, 26, 12, 24]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      13|[9.985655410604762, -1.1363422973508837, -0.0507159164102165, -0.3522866533246844, -0.1797399534079216, 0.0564633374602678, -0.0207949248151423]|11468.5243386067904794|      0.00781250|[128, 28, 13, 26]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      14|[9.98735919721703, -1.1376735286192583, -0.0507812760690508, -0.3536148603653393, -0.1792642507630556, 0.0563652189282808, -0.02816756102341]|9042.9345471268807160|      0.01562500|[139, 29, 14, 28]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      15|[9.98735919721703, -1.1376735286192583, -0.0507812760690508, -0.3536148603653393, -0.1792642507630556, 0.0563652189282808, -0.02816756102341]|9042.9345471268807160|      0.00781250|[148, 32, 15, 30]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      16|[9.98735919721703, -1.1376735286192583, -0.0507812760690508, -0.3536148603653393, -0.1792642507630556, 0.0563652189282808, -0.02816756102341]|9042.9345471268807160|      0.00390625|[156, 36, 16, 32]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      17|[9.988162453831322, -1.1374205212031026, -0.0497986048741814, -0.3535939108992711, -0.1791913401191011, 0.0559497392290565, -0.0245062041408262]|8835.3448546184845327|      0.00781250|[166, 38, 17, 34]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      18|[9.988162453831322, -1.1374205212031026, -0.0497986048741814, -0.3535939108992711, -0.1791913401191011, 0.0559497392290565, -0.0245062041408262]|8835.3448546184845327|      0.00390625|[177, 39, 18, 36]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      19|[9.988162453831322, -1.1374205212031026, -0.0497986048741814, -0.3535939108992711, -0.1791913401191011, 0.0559497392290565, -0.0245062041408262]|8835.3448546184845327|      0.00195312|[187, 41, 19, 38]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      20|[9.98775082331888, -1.1376347371786266, -0.0498025277002851, -0.3532432961989951, -0.1793838795396377, 0.055913316689722, -0.0263603953435438]|8721.6057821243539365|      0.00390625|[198, 42, 20, 40]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      21|[9.98775082331888, -1.1376347371786266, -0.0498025277002851, -0.3532432961989951, -0.1793838795396377, 0.055913316689722, -0.0263603953435438]|8721.6057821243539365|      0.00195312|[206, 46, 21, 42]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      22|[9.98775082331888, -1.1376347371786266, -0.0498025277002851, -0.3532432961989951, -0.1793838795396377, 0.055913316689722, -0.0263603953435438]|8721.6057821243539365|      0.00097656|[215, 49, 22, 44]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      23|[9.987474065689225, -1.138035475627095, -0.0496259000402454, -0.353306164357422, -0.1799310292434512, 0.0559340447805116, -0.0257427093076105]|8698.0673121231575351|      0.00195312|[224, 52, 23, 46]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      24|[9.987474065689225, -1.138035475627095, -0.0496259000402454, -0.353306164357422, -0.1799310292434512, 0.0559340447805116, -0.0257427093076105]|8698.0673121231575351|      0.00097656|[234, 54, 24, 48]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      25|[9.987474065689225, -1.138035475627095, -0.0496259000402454, -0.353306164357422, -0.1799310292434512, 0.0559340447805116, -0.0257427093076105]|8698.0673121231575351|      0.00048828|[242, 58, 25, 50]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      26|[9.987765039194082, -1.1381249229244887, -0.0493644019212053, -0.3535688742493596, -0.1799920085725802, 0.0558693040255622, -0.0257637944219354]|8695.9552480824586382|      0.00097656|[251, 61, 26, 52]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      27|[9.987765039194082, -1.1381249229244887, -0.0493644019212053, -0.3535688742493596, -0.1799920085725802, 0.0558693040255622, -0.0257637944219354]|8695.9552480824586382|      0.00048828|[260, 64, 27, 54]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      28|[9.987999107499498, -1.1381560824983359, -0.0492619310641204, -0.3536587663408036, -0.1799601789692181, 0.0554973305915804, -0.0259209614177244]|8690.3566099010695325|      0.00097656|[268, 68, 28, 56]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      29|[9.987999107499498, -1.1381560824983359, -0.0492619310641204, -0.3536587663408036, -0.1799601789692181, 0.0554973305915804, -0.0259209614177244]|8690.3566099010695325|      0.00048828|[277, 71, 29, 58]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      30|[9.988055865606407, -1.1382409170360208, -0.0494153081932295, -0.3536508205414972, -0.179963958363194, 0.0550655954686301, -0.0257867860923127]|8682.4067974385670823|      0.00097656|[286, 74, 30, 60]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      31|[9.987903902300966, -1.1383220836815187, -0.049742649908479, -0.353491905014661, -0.1800889883954119, 0.0541985723130793, -0.0259424300495813]|8670.9592548534201342|      0.00195312|[296, 76, 31, 62]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      32|[9.987903902300966, -1.1383220836815187, -0.049742649908479, -0.353491905014661, -0.1800889883954119, 0.0541985723130793, -0.0259424300495813]|8670.9592548534201342|      0.00097656|[304, 80, 32, 64]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      33|[9.987972315543983, -1.139063178464008, -0.0496118522643067, -0.3537136048283593, -0.1798482162893467, 0.0537038362990156, -0.025766991438758]|8660.0906473450486374|      0.00195312|[314, 82, 33, 66]                                                          |  | used linear model with 12 points | iterate success | actual_k=4
      34|[9.987972315543983, -1.139063178464008, -0.0496118522643067, -0.3537136048283593, -0.1798482162893467, 0.0537038362990156, -0.025766991438758]|8660.0906473450486374|      0.00097656|[323, 85, 34, 68]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
      35|[9.987972315543983, -1.139063178464008, -0.0496118522643067, -0.3537136048283593, -0.1798482162893467, 0.0537038362990156, -0.025766991438758]|8660.0906473450486374|      0.00048828|[333, 87, 35, 70]                                                          |  | used linear model with 12 points | iterate failure | actual_k=4
