k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[8, 1, 1, 2]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[9.951740882717658, -0.8700543896913212, 0.0858503927979089, 0.1519475157440432, -0.0875699659486484, 0.1628189319381072, 0.0102908771082648]|4713.1108011808937590|      0.01562500|[188, 10, 22, 44]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      23|[9.951740882717658, -0.8700543896913212, 0.0858503927979089, 0.1519475157440432, -0.0875699659486484, 0.1628189319381072, 0.0102908771082648]|4713.1108011808937590|      0.00781250|[197, 10, 23, 46]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[9.951740882717658, -0.8700543896913212, 0.0858503927979089, 0.1519475157440432, -0.0875699659486484, 0.1628189319381072, 0.0102908771082648]|4713.1108011808937590|      0.00390625|[206, 10, 24, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[9.951740882717658, -0.8700543896913212, 0.0858503927979089, 0.1519475157440432, -0.0875699659486484, 0.1628189319381072, 0.0102908771082648]|4713.1108011808937590|      0.00195312|[214, 11, 25, 50]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      26|[9.951306156829864, -0.8696356998041976, 0.086172812803196, 0.1513293341134756, -0.0875118197905115, 0.1624627867393414, 0.0086074027603649]|4184.2679486928500410|      0.00390625|[223, 11, 26, 52]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      27|[9.951306156829864, -0.8696356998041976, 0.086172812803196, 0.1513293341134756, -0.0875118197905115, 0.1624627867393414, 0.0086074027603649]|4184.2679486928500410|      0.00195312|[231, 12, 27, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      28|[9.951306156829864, -0.8696356998041976, 0.086172812803196, 0.1513293341134756, -0.0875118197905115, 0.1624627867393414, 0.0086074027603649]|4184.2679486928500410|      0.00097656|[239, 13, 28, 56]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      29|[9.951306156829864, -0.8696356998041976, 0.086172812803196, 0.1513293341134756, -0.0875118197905115, 0.1624627867393414, 0.0086074027603649]|4184.2679486928500410|      0.00048828|[247, 14, 29, 58]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      30|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00097656|[255, 15, 30, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      31|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00048828|[264, 15, 31, 62]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      32|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00024414|[272, 16, 32, 64]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      33|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00012207|[281, 16, 33, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      34|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00006104|[289, 17, 34, 68]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      35|[9.95126453526736, -0.8696475072318549, 0.0860568996350844, 0.1511579955681636, -0.087360098975321, 0.1625216722741328, 0.0090163860579057]|4074.6458232549953209|      0.00003052|[298, 17, 35, 70]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
