k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.429869578183427, -0.7695859373961994, -0.4692868582187198, 0.1057637105191263, 0.5963199716829573, 0.1482982764100893, 0.2045675667973459]|52171.3628262399797677|      2.00000000|[12, 0, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=0
      12|[10.362541880267285, -0.3456582793734895, -0.4461226200698434, 0.1303040235607718, 0.5673417630102209, 0.3392746104002708, 0.0114824121899974]|9275.8637925813891343|      0.01562500|[144, 0, 12, 24]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      13|[10.362541880267285, -0.3456582793734895, -0.4461226200698434, 0.1303040235607718, 0.5673417630102209, 0.3392746104002708, 0.0114824121899974]|9275.8637925813891343|      0.00781250|[156, 0, 13, 26]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      14|[10.362541880267285, -0.3456582793734895, -0.4461226200698434, 0.1303040235607718, 0.5673417630102209, 0.3392746104002708, 0.0114824121899974]|9275.8637925813891343|      0.00390625|[168, 0, 14, 28]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      15|[10.362415676440474, -0.3456785907604843, -0.4461082568170283, 0.1305911877782069, 0.5672351381712738, 0.339346319714093, 0.0075909769237517]|1840.9778078890487905|      0.00781250|[180, 0, 15, 30]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      16|[10.362415676440474, -0.3456785907604843, -0.4461082568170283, 0.1305911877782069, 0.5672351381712738, 0.339346319714093, 0.0075909769237517]|1840.9778078890487905|      0.00390625|[192, 0, 16, 32]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      17|[10.362415676440474, -0.3456785907604843, -0.4461082568170283, 0.1305911877782069, 0.5672351381712738, 0.339346319714093, 0.0075909769237517]|1840.9778078890487905|      0.00195312|[204, 0, 17, 34]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      18|[10.362415676440474, -0.3456785907604843, -0.4461082568170283, 0.1305911877782069, 0.5672351381712738, 0.339346319714093, 0.0075909769237517]|1840.9778078890487905|      0.00097656|[216, 0, 18, 36]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      19|[10.362301477089954, -0.3457767985482733, -0.4461850634543101, 0.1306068239094921, 0.5672922871655203, 0.3393849604236874, 0.0066317662091269]|1147.2964432174958347|      0.00195312|[228, 0, 19, 38]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      20|[10.362301477089954, -0.3457767985482733, -0.4461850634543101, 0.1306068239094921, 0.5672922871655203, 0.3393849604236874, 0.0066317662091269]|1147.2964432174958347|      0.00097656|[240, 0, 20, 40]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      21|[10.362301477089954, -0.3457767985482733, -0.4461850634543101, 0.1306068239094921, 0.5672922871655203, 0.3393849604236874, 0.0066317662091269]|1147.2964432174958347|      0.00048828|[252, 0, 21, 42]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      22|[10.362301477089954, -0.3457767985482733, -0.4461850634543101, 0.1306068239094921, 0.5672922871655203, 0.3393849604236874, 0.0066317662091269]|1147.2964432174958347|      0.00024414|[264, 0, 22, 44]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      23|[10.362301477089954, -0.3457767985482733, -0.4461850634543101, 0.1306068239094921, 0.5672922871655203, 0.3393849604236874, 0.0066317662091269]|1147.2964432174958347|      0.00012207|[276, 0, 23, 46]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      24|[10.362282227942774, -0.3457375440037863, -0.4462144597608428, 0.1305413756999652, 0.5672068850048668, 0.3393802630332415, 0.0066088204736953]|1145.6348302342044008|      0.00024414|[288, 0, 24, 48]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      25|[10.362282227942774, -0.3457375440037863, -0.4462144597608428, 0.1305413756999652, 0.5672068850048668, 0.3393802630332415, 0.0066088204736953]|1145.6348302342044008|      0.00012207|[300, 0, 25, 50]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      26|[10.362282227942774, -0.3457375440037863, -0.4462144597608428, 0.1305413756999652, 0.5672068850048668, 0.3393802630332415, 0.0066088204736953]|1145.6348302342044008|      0.00006104|[312, 0, 26, 52]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      27|[10.362302238668333, -0.3457396774894552, -0.4461911656364568, 0.1304932240749287, 0.5672225467443928, 0.3393883451312033, 0.0065966342608708]|1144.7378833787702206|      0.00012207|[324, 0, 27, 54]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      28|[10.362302238668333, -0.3457396774894552, -0.4461911656364568, 0.1304932240749287, 0.5672225467443928, 0.3393883451312033, 0.0065966342608708]|1144.7378833787702206|      0.00006104|[336, 0, 28, 56]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      29|[10.362302238668333, -0.3457396774894552, -0.4461911656364568, 0.1304932240749287, 0.5672225467443928, 0.3393883451312033, 0.0065966342608708]|1144.7378833787702206|      0.00003052|[348, 0, 29, 58]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      30|[10.36230429709201, -0.3457386747665808, -0.4461862996689623, 0.1304696816986463, 0.5672211363821656, 0.3393951740630732, 0.006613941353655]|1144.5081094576598844|      0.00006104|[360, 0, 30, 60]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      31|[10.36230429709201, -0.3457386747665808, -0.4461862996689623, 0.1304696816986463, 0.5672211363821656, 0.3393951740630732, 0.006613941353655]|1144.5081094576598844|      0.00003052|[372, 0, 31, 62]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      32|[10.36231285944991, -0.3457402796974851, -0.4461915446831626, 0.1304463682761789, 0.5672217575832893, 0.3394023701592457, 0.0065987020207785]|1143.8363692741158957|      0.00006104|[384, 0, 32, 64]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      33|[10.362364737376978, -0.3457490979837285, -0.4461963500148488, 0.13042085538107, 0.5672147039532816, 0.3393939764820302, 0.0065859740096891]|1143.5110786961679423|      0.00012207|[396, 0, 33, 66]                                                           |  | used linear model with 12 points | iterate success | actual_k=0
      34|[10.362364737376978, -0.3457490979837285, -0.4461963500148488, 0.13042085538107, 0.5672147039532816, 0.3393939764820302, 0.0065859740096891]|1143.5110786961679423|      0.00006104|[408, 0, 34, 68]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
      35|[10.362364737376978, -0.3457490979837285, -0.4461963500148488, 0.13042085538107, 0.5672147039532816, 0.3393939764820302, 0.0065859740096891]|1143.5110786961679423|      0.00003052|[420, 0, 35, 70]                                                           |  | used linear model with 12 points | iterate failure | actual_k=0
