k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2486038605839888, 0.177124164888232, -0.1309545449261283, -0.4456045832657144, 0.6984974166735788, 0.3621617484934378, -0.027597416261119, 0.0133785014004071, 0.2666650303201853]|499957.3064088610699400|      2.00000000|[11, 0, 1, 4]                                                              |  | used linear model with 11 points | iterate success | actual_k=0
      13|[0.4410515136588931, 0.4186619627971109, 0.1202083624990623, -0.247482953847554, 1.2917579991382595, 0.0965495985396765, -0.6137447426910679, 0.0907753251122205, 0.9337812771344084]|915.3739761322341337|      0.12500000|[143, 0, 13, 52]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
      14|[0.4410515136588931, 0.4186619627971109, 0.1202083624990623, -0.247482953847554, 1.2917579991382595, 0.0965495985396765, -0.6137447426910679, 0.0907753251122205, 0.9337812771344084]|915.3739761322341337|      0.06250000|[154, 0, 14, 56]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      15|[0.4410515136588931, 0.4186619627971109, 0.1202083624990623, -0.247482953847554, 1.2917579991382595, 0.0965495985396765, -0.6137447426910679, 0.0907753251122205, 0.9337812771344084]|915.3739761322341337|      0.03125000|[165, 0, 15, 60]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      16|[0.4219773793937324, 0.409231677295839, 0.1142874478964811, -0.2512054675635968, 1.2989836806397517, 0.1150468409756569, -0.6179193985819541, 0.0952387437898954, 0.940352956547311]|663.9336543614284665|      0.06250000|[176, 0, 16, 64]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
      17|[0.4219773793937324, 0.409231677295839, 0.1142874478964811, -0.2512054675635968, 1.2989836806397517, 0.1150468409756569, -0.6179193985819541, 0.0952387437898954, 0.940352956547311]|663.9336543614284665|      0.03125000|[187, 0, 17, 68]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      18|[0.4219773793937324, 0.409231677295839, 0.1142874478964811, -0.2512054675635968, 1.2989836806397517, 0.1150468409756569, -0.6179193985819541, 0.0952387437898954, 0.940352956547311]|663.9336543614284665|      0.01562500|[198, 0, 18, 72]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      19|[0.4263074272290199, 0.4095631261230021, 0.1139334259309481, -0.2442138668982579, 1.2982119276592485, 0.1273359895814404, -0.6199686938148634, 0.0936112834068712, 0.9361331666668119]|550.3963028725241884|      0.03125000|[209, 0, 19, 76]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
      20|[0.4263074272290199, 0.4095631261230021, 0.1139334259309481, -0.2442138668982579, 1.2982119276592485, 0.1273359895814404, -0.6199686938148634, 0.0936112834068712, 0.9361331666668119]|550.3963028725241884|      0.01562500|[220, 0, 20, 80]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      21|[0.4314558243314592, 0.4190484629858446, 0.1174626814912427, -0.2397839038062413, 1.2927848839581846, 0.1223877594673486, -0.6164427095064859, 0.0904169932560576, 0.9404930932214368]|518.6880755582880056|      0.03125000|[231, 0, 21, 84]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
      22|[0.4314558243314592, 0.4190484629858446, 0.1174626814912427, -0.2397839038062413, 1.2927848839581846, 0.1223877594673486, -0.6164427095064859, 0.0904169932560576, 0.9404930932214368]|518.6880755582880056|      0.01562500|[242, 0, 22, 88]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
      23|[0.4315839837144243, 0.4151754330220506, 0.1209464877397591, -0.2299471944381369, 1.2881583667220617, 0.1315243594556949, -0.613686677368129, 0.0916547884673772, 0.9379998802970474]|506.6027242348700383|      0.03125000|[253, 0, 23, 92]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
