k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      2.00000000|[14, 0, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=1
      27|[-0.2123665318364292, -0.0499286070686784, -0.4785668452802884, 0.0043527173904617, 0.9406431251972713, 0.0140623104641308, 0.093943366949349, 0.1712723958915247, 0.3621391229019277]| 37.6929421588973383|      0.00195312|[356, 22, 27, 54]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      28|[-0.2121546100225525, -0.0501958838908664, -0.4787378424632854, 0.0032405912742195, 0.9420646390185783, 0.0135234791384856, 0.0936340860240443, 0.1712826693454989, 0.3619794858152232]| 36.5620391081128702|      0.00390625|[369, 23, 28, 56]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      29|[-0.2121546100225525, -0.0501958838908664, -0.4787378424632854, 0.0032405912742195, 0.9420646390185783, 0.0135234791384856, 0.0936340860240443, 0.1712826693454989, 0.3619794858152232]| 36.5620391081128702|      0.00195312|[382, 24, 29, 58]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      30|[-0.2117992765570089, -0.0500954988372608, -0.4789640483904383, 0.0046476901430259, 0.9429148916445299, 0.0141745364280835, 0.0941108695569161, 0.17084272263793, 0.3622615870768874]| 34.7196277528994202|      0.00390625|[396, 24, 30, 60]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      31|[-0.2117992765570089, -0.0500954988372608, -0.4789640483904383, 0.0046476901430259, 0.9429148916445299, 0.0141745364280835, 0.0941108695569161, 0.17084272263793, 0.3622615870768874]| 34.7196277528994202|      0.00195312|[409, 25, 31, 62]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      32|[-0.2117992765570089, -0.0500954988372608, -0.4789640483904383, 0.0046476901430259, 0.9429148916445299, 0.0141745364280835, 0.0941108695569161, 0.17084272263793, 0.3622615870768874]| 34.7196277528994202|      0.00097656|[422, 26, 32, 64]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      33|[-0.2119192818606361, -0.05026155044446, -0.4790312675985955, 0.004033310291315, 0.9435478062772173, 0.0139039425000688, 0.0942248227365079, 0.1706617169247003, 0.3623624259662676]| 33.1667187036952456|      0.00195312|[435, 27, 33, 66]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      34|[-0.2119192818606361, -0.05026155044446, -0.4790312675985955, 0.004033310291315, 0.9435478062772173, 0.0139039425000688, 0.0942248227365079, 0.1706617169247003, 0.3623624259662676]| 33.1667187036952456|      0.00097656|[449, 27, 34, 68]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      35|[-0.2119837025176502, -0.0501670998570961, -0.4786259260956645, 0.0041486024836044, 0.9443689506357026, 0.0140194949946584, 0.0944188727422655, 0.1708184461516098, 0.3624771406842476]| 32.0555290425976054|      0.00195312|[463, 27, 35, 70]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      36|[-0.2125222630717123, -0.0498931036673477, -0.4788327532658391, 0.0039892356004216, 0.9459733015991174, 0.0133383007379968, 0.0938447722818907, 0.1708929540656466, 0.3623860901242087]| 30.0195762474972767|      0.00390625|[477, 27, 36, 72]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      37|[-0.2125222630717123, -0.0498931036673477, -0.4788327532658391, 0.0039892356004216, 0.9459733015991174, 0.0133383007379968, 0.0938447722818907, 0.1708929540656466, 0.3623860901242087]| 30.0195762474972767|      0.00195312|[490, 28, 37, 74]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      38|[-0.2125222630717123, -0.0498931036673477, -0.4788327532658391, 0.0039892356004216, 0.9459733015991174, 0.0133383007379968, 0.0938447722818907, 0.1708929540656466, 0.3623860901242087]| 30.0195762474972767|      0.00097656|[504, 28, 38, 76]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      39|[-0.2123730732253603, -0.049728870214223, -0.4787469444196394, 0.0045044792439355, 0.9466141421369086, 0.0136626352221002, 0.0938121913749754, 0.1710726919060921, 0.3620990914316677]| 29.3193172820296866|      0.00195312|[517, 29, 39, 78]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      40|[-0.2123730732253603, -0.049728870214223, -0.4787469444196394, 0.0045044792439355, 0.9466141421369086, 0.0136626352221002, 0.0938121913749754, 0.1710726919060921, 0.3620990914316677]| 29.3193172820296866|      0.00097656|[530, 30, 40, 80]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      41|[-0.2124709225523491, -0.0497007713642412, -0.4787860260061991, 0.0039084102547503, 0.9470823518247754, 0.0138560794658248, 0.094222394559131, 0.1714724187771014, 0.3621414642888622]| 28.6000709493410028|      0.00195312|[544, 30, 41, 82]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      42|[-0.2123533230963119, -0.0503515843706807, -0.47891409595649, 0.0046472892365499, 0.9486238176832184, 0.013789379434948, 0.0936979185402474, 0.1711726920531268, 0.3618778567927844]| 27.1307294570979458|      0.00390625|[558, 30, 42, 84]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      43|[-0.2123533230963119, -0.0503515843706807, -0.47891409595649, 0.0046472892365499, 0.9486238176832184, 0.013789379434948, 0.0936979185402474, 0.1711726920531268, 0.3618778567927844]| 27.1307294570979458|      0.00195312|[571, 31, 43, 86]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
      44|[-0.2125582089065766, -0.0503324240897605, -0.4794764283867718, 0.0033889504523562, 0.9497846997583342, 0.013868325138236, 0.0935513802880904, 0.1714735275718094, 0.3612399989629977]| 26.2155994806252792|      0.00390625|[584, 32, 44, 88]                                                          |  | used linear model with 14 points | iterate success | actual_k=1
      45|[-0.2125582089065766, -0.0503324240897605, -0.4794764283867718, 0.0033889504523562, 0.9497846997583342, 0.013868325138236, 0.0935513802880904, 0.1714735275718094, 0.3612399989629977]| 26.2155994806252792|      0.00195312|[597, 33, 45, 90]                                                          |  | used linear model with 14 points | iterate failure | actual_k=1
