k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.072426996656924, -1.2874224479337288, 0.4318407111061485, 0.2389268981015082, -0.1622875808813068, 0.127601702756636, 0.8249917300804326]|53574.4376962605383596|      2.00000000|[6, 2, 1, 3]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
      12|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.25000000|[73, 23, 12, 36]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      13|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.12500000|[79, 25, 13, 39]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      14|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.06250000|[85, 27, 14, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      15|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.03125000|[91, 29, 15, 45]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      16|[9.521218824031907, -1.803570188891697, -0.046623766164914, 1.9656426947136498, 0.0657907924633335, 0.7189967948916517, 0.114796937912818]|6813.4804862864675670|      0.01562500|[97, 31, 16, 48]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      17|[9.51857187683803, -1.8042055753873867, -0.045765422428529, 1.9594779680716392, 0.059196673692833, 0.7198380712785206, 0.1271985435626863]|6130.9994225572454525|      0.03125000|[103, 33, 17, 51]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      18|[9.51857187683803, -1.8042055753873867, -0.045765422428529, 1.9594779680716392, 0.059196673692833, 0.7198380712785206, 0.1271985435626863]|6130.9994225572454525|      0.01562500|[109, 35, 18, 54]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      19|[9.51857187683803, -1.8042055753873867, -0.045765422428529, 1.9594779680716392, 0.059196673692833, 0.7198380712785206, 0.1271985435626863]|6130.9994225572454525|      0.00781250|[115, 37, 19, 57]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      20|[9.51857187683803, -1.8042055753873867, -0.045765422428529, 1.9594779680716392, 0.059196673692833, 0.7198380712785206, 0.1271985435626863]|6130.9994225572454525|      0.00390625|[122, 38, 20, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      21|[9.51857187683803, -1.8042055753873867, -0.045765422428529, 1.9594779680716392, 0.059196673692833, 0.7198380712785206, 0.1271985435626863]|6130.9994225572454525|      0.00195312|[128, 40, 21, 63]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      22|[9.518951737513321, -1.8051850610363478, -0.0449600699779599, 1.9591662053539622, 0.0587724256662136, 0.7208022886987361, 0.1281234872437628]|6125.3236951956023404|      0.00390625|[134, 42, 22, 66]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      23|[9.518951737513321, -1.8051850610363478, -0.0449600699779599, 1.9591662053539622, 0.0587724256662136, 0.7208022886987361, 0.1281234872437628]|6125.3236951956023404|      0.00195312|[140, 44, 23, 69]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      24|[9.519507483984098, -1.8046099004654876, -0.0444005467606205, 1.9586547716931078, 0.0576919491997788, 0.7219937595903396, 0.1280078561782276]|6122.7924355343820935|      0.00390625|[146, 46, 24, 72]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
