k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.58174223681435, -1.561423581122869, 0.3361656774343827, -0.2900439035346169, 0.1914788700061645, -0.318811985280996, 0.1406308660033261]|70435.6267313985299552|      2.00000000|[9, 1, 1, 2]                                                               |  | used linear model with 10 points | iterate success | actual_k=2
      17|[10.885958551004322, -1.7356234639345316, 0.2881667531690931, -0.3596671380126205, 0.0543126765423529, -0.5416485593411162, -0.0218465157548646]|3143.7543912238979829|      0.00781250|[154, 16, 17, 34]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      18|[10.885958551004322, -1.7356234639345316, 0.2881667531690931, -0.3596671380126205, 0.0543126765423529, -0.5416485593411162, -0.0218465157548646]|3143.7543912238979829|      0.00390625|[163, 17, 18, 36]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      19|[10.885958551004322, -1.7356234639345316, 0.2881667531690931, -0.3596671380126205, 0.0543126765423529, -0.5416485593411162, -0.0218465157548646]|3143.7543912238979829|      0.00195312|[171, 19, 19, 38]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      20|[10.885439345979183, -1.7361364222484026, 0.2881112731120576, -0.3596749948844348, 0.0540301653909069, -0.5414385275181897, -0.0200703030729962]|2934.6129609131262441|      0.00390625|[181, 19, 20, 40]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      21|[10.885439345979183, -1.7361364222484026, 0.2881112731120576, -0.3596749948844348, 0.0540301653909069, -0.5414385275181897, -0.0200703030729962]|2934.6129609131262441|      0.00195312|[189, 21, 21, 42]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      22|[10.885439345979183, -1.7361364222484026, 0.2881112731120576, -0.3596749948844348, 0.0540301653909069, -0.5414385275181897, -0.0200703030729962]|2934.6129609131262441|      0.00097656|[199, 21, 22, 44]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      23|[10.885439345979183, -1.7361364222484026, 0.2881112731120576, -0.3596749948844348, 0.0540301653909069, -0.5414385275181897, -0.0200703030729962]|2934.6129609131262441|      0.00048828|[208, 22, 23, 46]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      24|[10.885439345979183, -1.7361364222484026, 0.2881112731120576, -0.3596749948844348, 0.0540301653909069, -0.5414385275181897, -0.0200703030729962]|2934.6129609131262441|      0.00024414|[218, 22, 24, 48]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      25|[10.88543606323553, -1.7362345940638322, 0.2880575471767016, -0.3596583572300537, 0.0539970861539835, -0.5413928885506691, -0.0202791468521226]|2928.7930811836076828|      0.00048828|[226, 24, 25, 50]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      26|[10.88543606323553, -1.7362345940638322, 0.2880575471767016, -0.3596583572300537, 0.0539970861539835, -0.5413928885506691, -0.0202791468521226]|2928.7930811836076828|      0.00024414|[236, 24, 26, 52]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      27|[10.88543606323553, -1.7362345940638322, 0.2880575471767016, -0.3596583572300537, 0.0539970861539835, -0.5413928885506691, -0.0202791468521226]|2928.7930811836076828|      0.00012207|[244, 26, 27, 54]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      28|[10.88543923453039, -1.7362162614176875, 0.2880149360084687, -0.3595847861780863, 0.0539945993346192, -0.541433314364411, -0.0203545535901179]|2928.2406908946736621|      0.00024414|[252, 28, 28, 56]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      29|[10.88543923453039, -1.7362162614176875, 0.2880149360084687, -0.3595847861780863, 0.0539945993346192, -0.541433314364411, -0.0203545535901179]|2928.2406908946736621|      0.00012207|[260, 30, 29, 58]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      30|[10.88543923453039, -1.7362162614176875, 0.2880149360084687, -0.3595847861780863, 0.0539945993346192, -0.541433314364411, -0.0203545535901179]|2928.2406908946736621|      0.00006104|[268, 32, 30, 60]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      31|[10.885403357620806, -1.7362038383835918, 0.288023270628568, -0.3595447221984016, 0.0539831696711526, -0.5414551581573483, -0.0203557490079644]|2927.8586577535211291|      0.00012207|[277, 33, 31, 62]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      32|[10.885392773939966, -1.7362159829305586, 0.2880153630922894, -0.3595045981855454, 0.0539851595348038, -0.5414856524279569, -0.0202460433506913]|2927.3409320563855545|      0.00024414|[285, 35, 32, 64]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      33|[10.88546353867931, -1.7363715471404284, 0.2880607864919282, -0.3593733249884824, 0.054059464352951, -0.5414732961441021, -0.0203197111984677]|2926.2026231258405460|      0.00048828|[294, 36, 33, 66]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      34|[10.88546353867931, -1.7363715471404284, 0.2880607864919282, -0.3593733249884824, 0.054059464352951, -0.5414732961441021, -0.0203197111984677]|2926.2026231258405460|      0.00024414|[303, 37, 34, 68]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      35|[10.88546353867931, -1.7363715471404284, 0.2880607864919282, -0.3593733249884824, 0.054059464352951, -0.5414732961441021, -0.0203197111984677]|2926.2026231258405460|      0.00012207|[312, 38, 35, 70]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
