k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2077915508167611, -0.0679003017825596, 0.3032506328590067, 0.5798557225448655, 0.0851375448645972, -0.011153596444338, -0.0081834996963298, -0.3750479846091587, 0.0285699504520899, -0.0646143917062177, 0.1392999343933934, -0.0129181597088639, -0.1184296674173546, 0.4226335192107348, -0.1940586301202553, 0.0158481156576046, -0.053981039060321, 0.1551595441216726, -0.0002514524695533, -0.1133041441142225, 0.2835576559220547, -0.0238615289548404]| 13.7493896484375000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
      15|[1.3667021028782307, 0.0578498815188979, 0.9046325238536095, 1.9041953220736432, -0.3213696375298302, -0.453921247118808, 0.0896403778024675, -0.1609151005530586, -0.1299451159960169, 0.2849103245772321, 0.7793121605579141, -0.1572606791578114, -0.339414327860838, 0.0371135305494513, 0.0988091376015982, -0.0752570655012016, 0.4289264671910181, 0.2930875301532104, -0.6789366496035819, -0.1808448515533396, 0.3724642949959561, 0.1939590936684799]| 12.1443557739257812|      0.03125000|[363, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[1.3667021028782307, 0.0578498815188979, 0.9046325238536095, 1.9041953220736432, -0.3213696375298302, -0.453921247118808, 0.0896403778024675, -0.1609151005530586, -0.1299451159960169, 0.2849103245772321, 0.7793121605579141, -0.1572606791578114, -0.339414327860838, 0.0371135305494513, 0.0988091376015982, -0.0752570655012016, 0.4289264671910181, 0.2930875301532104, -0.6789366496035819, -0.1808448515533396, 0.3724642949959561, 0.1939590936684799]| 12.1443557739257812|      0.01562500|[387, 128, 2, 34]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[1.372861648074824, 0.056386747367052, 0.907509180770346, 1.9112060181293615, -0.3208611999979664, -0.4529404223050111, 0.0947269529033641, -0.1660238459998785, -0.1284865406918795, 0.2879693590114561, 0.7790663422261402, -0.1540975659821179, -0.3358832561557717, 0.0392243833173216, 0.1021003376288139, -0.0759272756047218, 0.432776179814685, 0.2941917138464375, -0.677178486808836, -0.1784093914285242, 0.3688687952333268, 0.1915724896378094]| 12.1442260742187500|      0.03125000|[411, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[1.372861648074824, 0.056386747367052, 0.907509180770346, 1.9112060181293615, -0.3208611999979664, -0.4529404223050111, 0.0947269529033641, -0.1660238459998785, -0.1284865406918795, 0.2879693590114561, 0.7790663422261402, -0.1540975659821179, -0.3358832561557717, 0.0392243833173216, 0.1021003376288139, -0.0759272756047218, 0.432776179814685, 0.2941917138464375, -0.677178486808836, -0.1784093914285242, 0.3688687952333268, 0.1915724896378094]| 12.1442260742187500|      0.01562500|[435, 144, 2, 38]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[1.3800350027378687, 0.0551654082830565, 0.9100032131119559, 1.9217548977186618, -0.3209282394570686, -0.4551583732477782, 0.095520178317523, -0.167840782882086, -0.1321078974118157, 0.2843711066286033, 0.7781086507393056, -0.155492013934333, -0.3353685929077145, 0.0401535460674459, 0.1015116012541182, -0.0800357224280802, 0.4329094571668191, 0.2924247156128192, -0.6806988857082762, -0.1782462117916831, 0.3701226252286695, 0.190917377129642]| 12.1441857522059582|      0.03125000|[459, 152, 3, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      20|[1.3800350027378687, 0.0551654082830565, 0.9100032131119559, 1.9217548977186618, -0.3209282394570686, -0.4551583732477782, 0.095520178317523, -0.167840782882086, -0.1321078974118157, 0.2843711066286033, 0.7781086507393056, -0.155492013934333, -0.3353685929077145, 0.0401535460674459, 0.1015116012541182, -0.0800357224280802, 0.4329094571668191, 0.2924247156128192, -0.6806988857082762, -0.1782462117916831, 0.3701226252286695, 0.190917377129642]| 12.1441857522059582|      0.01562500|[484, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      21|[1.3800350027378687, 0.0551654082830565, 0.9100032131119559, 1.9217548977186618, -0.3209282394570686, -0.4551583732477782, 0.095520178317523, -0.167840782882086, -0.1321078974118157, 0.2843711066286033, 0.7781086507393056, -0.155492013934333, -0.3353685929077145, 0.0401535460674459, 0.1015116012541182, -0.0800357224280802, 0.4329094571668191, 0.2924247156128192, -0.6806988857082762, -0.1782462117916831, 0.3701226252286695, 0.190917377129642]| 12.1441857522059582|      0.00781250|[508, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      22|[1.3800350027378687, 0.0551654082830565, 0.9100032131119559, 1.9217548977186618, -0.3209282394570686, -0.4551583732477782, 0.095520178317523, -0.167840782882086, -0.1321078974118157, 0.2843711066286033, 0.7781086507393056, -0.155492013934333, -0.3353685929077145, 0.0401535460674459, 0.1015116012541182, -0.0800357224280802, 0.4329094571668191, 0.2924247156128192, -0.6806988857082762, -0.1782462117916831, 0.3701226252286695, 0.190917377129642]| 12.1441857522059582|      0.00390625|[532, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      23|[1.3782251114850257, 0.0549408451538617, 0.9100815624188613, 1.9202099533991728, -0.3213481005965395, -0.4544097381636902, 0.0945139123169897, -0.1685224933188589, -0.1323741209965727, 0.2842553493850712, 0.7802583793352548, -0.1559760778634526, -0.3356725080352911, 0.0400281177618329, 0.1013071069691755, -0.0811484444844444, 0.4331084065254894, 0.2930479587164913, -0.6809476092999752, -0.1783510971161137, 0.3700452481150751, 0.1916179264165504]| 12.1441802978515625|      0.00781250|[556, 184, 3, 49]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      24|[1.3782251114850257, 0.0549408451538617, 0.9100815624188613, 1.9202099533991728, -0.3213481005965395, -0.4544097381636902, 0.0945139123169897, -0.1685224933188589, -0.1323741209965727, 0.2842553493850712, 0.7802583793352548, -0.1559760778634526, -0.3356725080352911, 0.0400281177618329, 0.1013071069691755, -0.0811484444844444, 0.4331084065254894, 0.2930479587164913, -0.6809476092999752, -0.1783510971161137, 0.3700452481150751, 0.1916179264165504]| 12.1441802978515625|      0.00390625|[580, 192, 3, 51]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      25|[1.3782251114850257, 0.0549408451538617, 0.9100815624188613, 1.9202099533991728, -0.3213481005965395, -0.4544097381636902, 0.0945139123169897, -0.1685224933188589, -0.1323741209965727, 0.2842553493850712, 0.7802583793352548, -0.1559760778634526, -0.3356725080352911, 0.0400281177618329, 0.1013071069691755, -0.0811484444844444, 0.4331084065254894, 0.2930479587164913, -0.6809476092999752, -0.1783510971161137, 0.3700452481150751, 0.1916179264165504]| 12.1441802978515625|      0.00195312|[604, 200, 3, 53]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      26|[1.3767674094895643, 0.054238277275047, 0.9100805331960602, 1.9205448970021184, -0.3215169261240018, -0.4541961784462513, 0.0939912654148552, -0.1688329018973407, -0.1326419904185036, 0.2843375389095522, 0.7802247605918189, -0.1558296230794435, -0.335691186065102, 0.0399012238643883, 0.10110516264601, -0.0806677470504035, 0.4333170324544068, 0.2930206650931725, -0.6810589021619529, -0.1782226653501431, 0.3696343969922402, 0.191713053485701]| 12.1441764574628710|      0.00390625|[628, 208, 4, 56]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      27|[1.375327759880894, 0.0527666333791482, 0.9109094110463277, 1.9217249992627246, -0.3213479839034177, -0.4535114646310158, 0.0927793773014055, -0.167874016933146, -0.1334489889994294, 0.2852866697623596, 0.7800589477414576, -0.1565963787360919, -0.3349623871454273, 0.0405021457255149, 0.1014504724452609, -0.080477154006807, 0.4325919745787856, 0.2927298702002795, -0.681693999234529, -0.1780321986335948, 0.3705703668381291, 0.1907570121305681]| 12.1441717448741375|      0.00781250|[653, 216, 5, 59]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      28|[1.375327759880894, 0.0527666333791482, 0.9109094110463277, 1.9217249992627246, -0.3213479839034177, -0.4535114646310158, 0.0927793773014055, -0.167874016933146, -0.1334489889994294, 0.2852866697623596, 0.7800589477414576, -0.1565963787360919, -0.3349623871454273, 0.0405021457255149, 0.1014504724452609, -0.080477154006807, 0.4325919745787856, 0.2927298702002795, -0.681693999234529, -0.1780321986335948, 0.3705703668381291, 0.1907570121305681]| 12.1441717448741375|      0.00390625|[678, 224, 5, 61]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      29|[1.375327759880894, 0.0527666333791482, 0.9109094110463277, 1.9217249992627246, -0.3213479839034177, -0.4535114646310158, 0.0927793773014055, -0.167874016933146, -0.1334489889994294, 0.2852866697623596, 0.7800589477414576, -0.1565963787360919, -0.3349623871454273, 0.0405021457255149, 0.1014504724452609, -0.080477154006807, 0.4325919745787856, 0.2927298702002795, -0.681693999234529, -0.1780321986335948, 0.3705703668381291, 0.1907570121305681]| 12.1441717448741375|      0.00195312|[702, 232, 6, 64]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      30|[1.3746922559204175, 0.0520386087374711, 0.9111731162228036, 1.9221780813173115, -0.3211255459864063, -0.4531557162860723, 0.0929454399839021, -0.1677198009192145, -0.1330192837082156, 0.2851899783928207, 0.7804625404893504, -0.1560996868931783, -0.3356562058328173, 0.0408985603520199, 0.1017045291483442, -0.0809409129624463, 0.4331302840178742, 0.292961616781071, -0.6817266007186441, -0.1778198167344763, 0.3711407539709141, 0.1903803589283665]| 12.1441698074340820|      0.00390625|[727, 240, 6, 66]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      31|[1.3746922559204175, 0.0520386087374711, 0.9111731162228036, 1.9221780813173115, -0.3211255459864063, -0.4531557162860723, 0.0929454399839021, -0.1677198009192145, -0.1330192837082156, 0.2851899783928207, 0.7804625404893504, -0.1560996868931783, -0.3356562058328173, 0.0408985603520199, 0.1017045291483442, -0.0809409129624463, 0.4331302840178742, 0.292961616781071, -0.6817266007186441, -0.1778198167344763, 0.3711407539709141, 0.1903803589283665]| 12.1441698074340820|      0.00195312|[751, 248, 6, 68]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      32|[1.3734670555197888, 0.0514089055026368, 0.9115388545265364, 1.9227760235370457, -0.3211815524744285, -0.4532167735601342, 0.0926689930610807, -0.1679104243908037, -0.1328381529453946, 0.2848787951736059, 0.7803689435442549, -0.156260244770729, -0.3355977569790833, 0.0415007213549651, 0.1019942486188424, -0.0811749525092891, 0.4334633592838689, 0.2928446391862243, -0.682377106489354, -0.1777257413005872, 0.3713496771298773, 0.190572563075822]| 12.1441665824601106|      0.00390625|[775, 256, 7, 71]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      33|[1.3734670555197888, 0.0514089055026368, 0.9115388545265364, 1.9227760235370457, -0.3211815524744285, -0.4532167735601342, 0.0926689930610807, -0.1679104243908037, -0.1328381529453946, 0.2848787951736059, 0.7803689435442549, -0.156260244770729, -0.3355977569790833, 0.0415007213549651, 0.1019942486188424, -0.0811749525092891, 0.4334633592838689, 0.2928446391862243, -0.682377106489354, -0.1777257413005872, 0.3713496771298773, 0.190572563075822]| 12.1441665824601106|      0.00195312|[800, 264, 8, 74]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      34|[1.3725827954215628, 0.0506012610613974, 0.9115857187994123, 1.9235370972741146, -0.3211293042935626, -0.4534107609096522, 0.0928774137904214, -0.1676769793369978, -0.1325398652044588, 0.2850520283823578, 0.7801863698421366, -0.1567801260040173, -0.335329366559197, 0.0419212878278146, 0.1023476925307637, -0.0819802540258753, 0.4336609979521802, 0.2926787549015233, -0.6820683081846243, -0.1779412598177678, 0.3714103879603775, 0.1906338721286726]| 12.1441640853881836|      0.00390625|[825, 272, 8, 76]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      35|[1.3725827954215628, 0.0506012610613974, 0.9115857187994123, 1.9235370972741146, -0.3211293042935626, -0.4534107609096522, 0.0928774137904214, -0.1676769793369978, -0.1325398652044588, 0.2850520283823578, 0.7801863698421366, -0.1567801260040173, -0.335329366559197, 0.0419212878278146, 0.1023476925307637, -0.0819802540258753, 0.4336609979521802, 0.2926787549015233, -0.6820683081846243, -0.1779412598177678, 0.3714103879603775, 0.1906338721286726]| 12.1441640853881836|      0.00195312|[849, 280, 8, 78]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      36|[1.3716246879183527, 0.0497920319522857, 0.9120670709800366, 1.924014110835606, -0.3215061645455295, -0.45338304363009, 0.0927696987197659, -0.1673429795231129, -0.1329236916386783, 0.2848101908731309, 0.7806102523133092, -0.1570983068006438, -0.3357168757680392, 0.0416919839874784, 0.1026310100952245, -0.0821371954802975, 0.4335517088219577, 0.293278418035968, -0.6822144389726078, -0.1782280167043181, 0.3718123528897894, 0.1903412678501535]| 12.1441612243652344|      0.00390625|[873, 288, 8, 80]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      37|[1.3716246879183527, 0.0497920319522857, 0.9120670709800366, 1.924014110835606, -0.3215061645455295, -0.45338304363009, 0.0927696987197659, -0.1673429795231129, -0.1329236916386783, 0.2848101908731309, 0.7806102523133092, -0.1570983068006438, -0.3357168757680392, 0.0416919839874784, 0.1026310100952245, -0.0821371954802975, 0.4335517088219577, 0.293278418035968, -0.6822144389726078, -0.1782280167043181, 0.3718123528897894, 0.1903412678501535]| 12.1441612243652344|      0.00195312|[897, 296, 8, 82]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      38|[1.3707417342361932, 0.0498779985157826, 0.9126769023221047, 1.9248916746492437, -0.3208471636482831, -0.4536176168127035, 0.0927315388592914, -0.1674958642424054, -0.133024416215911, 0.2847082709681752, 0.7807203759097961, -0.1572290147933015, -0.3358809898937826, 0.0412797275466374, 0.1025605040204252, -0.081724974766794, 0.4337094519290227, 0.2933671093519185, -0.681811348234868, -0.1777063139653071, 0.3723834777303991, 0.1907367819176107]| 12.1441583633422852|      0.00390625|[921, 304, 8, 84]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      39|[1.368818270977065, 0.0491607490451337, 0.9138573173725449, 1.926260796578199, -0.3215423285248871, -0.4538677486918568, 0.0915087212266798, -0.1678130439559904, -0.1323900305697762, 0.2840027813711091, 0.7804389434968959, -0.1573095648774221, -0.3355791208680151, 0.0412024349226644, 0.1024365261382258, -0.0805554080811776, 0.4335573167915198, 0.2920643932724271, -0.6809612682924292, -0.1780284907088514, 0.3728449441099893, 0.1913765024785507]| 12.1441535949707031|      0.00781250|[945, 312, 8, 86]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      40|[1.368818270977065, 0.0491607490451337, 0.9138573173725449, 1.926260796578199, -0.3215423285248871, -0.4538677486918568, 0.0915087212266798, -0.1678130439559904, -0.1323900305697762, 0.2840027813711091, 0.7804389434968959, -0.1573095648774221, -0.3355791208680151, 0.0412024349226644, 0.1024365261382258, -0.0805554080811776, 0.4335573167915198, 0.2920643932724271, -0.6809612682924292, -0.1780284907088514, 0.3728449441099893, 0.1913765024785507]| 12.1441535949707031|      0.00390625|[969, 320, 8, 88]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      41|[1.3656328557769377, 0.0479707662240489, 0.9138829334404612, 1.9266377810409958, -0.3210624078166111, -0.4541021770831288, 0.0912748172582763, -0.1682579941413084, -0.132140980613055, 0.2844642870405992, 0.7803410871560144, -0.1577475167474253, -0.3352391485563608, 0.0411980000180239, 0.1025377547819853, -0.0810657336452054, 0.4332541448510002, 0.2932423488993008, -0.6815431195834067, -0.1780495214557189, 0.3734189398852432, 0.1913095262742034]| 12.1441488265991211|      0.00781250|[993, 328, 8, 90]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      42|[1.3656328557769377, 0.0479707662240489, 0.9138829334404612, 1.9266377810409958, -0.3210624078166111, -0.4541021770831288, 0.0912748172582763, -0.1682579941413084, -0.132140980613055, 0.2844642870405992, 0.7803410871560144, -0.1577475167474253, -0.3352391485563608, 0.0411980000180239, 0.1025377547819853, -0.0810657336452054, 0.4332541448510002, 0.2932423488993008, -0.6815431195834067, -0.1780495214557189, 0.3734189398852432, 0.1913095262742034]| 12.1441488265991211|      0.00390625|[1017, 336, 8, 92]                                                         |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      43|[1.3649505503831534, 0.047189757805946, 0.9151487095918052, 1.929551184904564, -0.3211571640106149, -0.453985786123967, 0.0903356923854342, -0.1680339739112546, -0.1320509122459358, 0.2838423518100472, 0.7798716681997144, -0.1580493041585291, -0.33455590755609, 0.0414947759837036, 0.1017569756014909, -0.0810352650937674, 0.4334307279805081, 0.2932625985916616, -0.6824870480496512, -0.1786335808801167, 0.373400952512422, 0.1913612074722301]| 12.1441421508789062|      0.00781250|[1041, 344, 8, 94]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
      44|[1.3649505503831534, 0.047189757805946, 0.9151487095918052, 1.929551184904564, -0.3211571640106149, -0.453985786123967, 0.0903356923854342, -0.1680339739112546, -0.1320509122459358, 0.2838423518100472, 0.7798716681997144, -0.1580493041585291, -0.33455590755609, 0.0414947759837036, 0.1017569756014909, -0.0810352650937674, 0.4334307279805081, 0.2932625985916616, -0.6824870480496512, -0.1786335808801167, 0.373400952512422, 0.1913612074722301]| 12.1441421508789062|      0.00390625|[1065, 352, 8, 96]                                                         |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      45|[1.3649505503831534, 0.047189757805946, 0.9151487095918052, 1.929551184904564, -0.3211571640106149, -0.453985786123967, 0.0903356923854342, -0.1680339739112546, -0.1320509122459358, 0.2838423518100472, 0.7798716681997144, -0.1580493041585291, -0.33455590755609, 0.0414947759837036, 0.1017569756014909, -0.0810352650937674, 0.4334307279805081, 0.2932625985916616, -0.6824870480496512, -0.1786335808801167, 0.373400952512422, 0.1913612074722301]| 12.1441421508789062|      0.00195312|[1089, 360, 9, 99]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
