k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4661905834243135, 0.1050512680438344, 0.026667631991353, -0.3257816389219891, 0.5725342758993949, 0.197543465567757, -0.4560439585489772, 0.2993753779746881, 0.0191077266958833]|342350.8871915556374006|      2.00000000|[10, 0, 1, 4]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
      12|[-0.2679247220748932, 0.0379035639654281, -0.1276892249562213, 0.0131596532065389, 0.7737958912553112, -0.0052633822529279, -0.320665557522352, 0.2020524063765088, -0.0435260326012284]|4210.7515757798928462|      0.06250000|[120, 0, 12, 48]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      13|[-0.2679247220748932, 0.0379035639654281, -0.1276892249562213, 0.0131596532065389, 0.7737958912553112, -0.0052633822529279, -0.320665557522352, 0.2020524063765088, -0.0435260326012284]|4210.7515757798928462|      0.03125000|[130, 0, 13, 52]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      14|[-0.2687862715415593, 0.0286474288608966, -0.1318405939403015, -0.0127232698325985, 0.7699037758417849, 0.0024244879432003, -0.3183570687479488, 0.213158439177906, -0.0437702259657421]|3281.9776434470272761|      0.06250000|[140, 0, 14, 56]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      15|[-0.2845533556877481, 0.0534870485710989, -0.1309972392969441, 0.0051384003167729, 0.818786979345836, -0.01158129500763, -0.3087493529306407, 0.2111421561035358, -0.0375421683990743]|1790.6263584691214419|      0.12500000|[150, 0, 15, 60]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      16|[-0.2845533556877481, 0.0534870485710989, -0.1309972392969441, 0.0051384003167729, 0.818786979345836, -0.01158129500763, -0.3087493529306407, 0.2111421561035358, -0.0375421683990743]|1790.6263584691214419|      0.06250000|[160, 0, 16, 64]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      17|[-0.2845533556877481, 0.0534870485710989, -0.1309972392969441, 0.0051384003167729, 0.818786979345836, -0.01158129500763, -0.3087493529306407, 0.2111421561035358, -0.0375421683990743]|1790.6263584691214419|      0.03125000|[170, 0, 17, 68]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      18|[-0.2845533556877481, 0.0534870485710989, -0.1309972392969441, 0.0051384003167729, 0.818786979345836, -0.01158129500763, -0.3087493529306407, 0.2111421561035358, -0.0375421683990743]|1790.6263584691214419|      0.01562500|[180, 0, 18, 72]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      19|[-0.2826083635248764, 0.0526741111979138, -0.1289266225281763, -0.0092300037683191, 0.8197214960358752, -0.0145718889420542, -0.3124855554577605, 0.2122815976710676, -0.0355714417249756]|1363.7418351751643968|      0.03125000|[190, 0, 19, 76]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      20|[-0.2865209890994609, 0.0543103845939204, -0.1421940273666126, -0.009456033547932, 0.8471721262372506, -0.0157281461879427, -0.3108802994665469, 0.2167711469386035, -0.0333591078477995]|850.8905817383148360|      0.06250000|[200, 0, 20, 80]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      21|[-0.2865209890994609, 0.0543103845939204, -0.1421940273666126, -0.009456033547932, 0.8471721262372506, -0.0157281461879427, -0.3108802994665469, 0.2167711469386035, -0.0333591078477995]|850.8905817383148360|      0.03125000|[210, 0, 21, 84]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      22|[-0.2884800200831723, 0.0401744203698949, -0.1353875554305324, -0.0058121669956449, 0.8642229149584271, -0.0049494579427253, -0.3015627710685623, 0.2292400877518531, -0.041364921525437]|540.9452783967553842|      0.06250000|[220, 0, 22, 88]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      23|[-0.2884800200831723, 0.0401744203698949, -0.1353875554305324, -0.0058121669956449, 0.8642229149584271, -0.0049494579427253, -0.3015627710685623, 0.2292400877518531, -0.041364921525437]|540.9452783967553842|      0.03125000|[230, 0, 23, 92]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
