k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0815373805325473, -0.0343690387001647, -0.5188480935138035, -0.1089485491194052, 0.7225153336762306, 0.0168015693041139, -0.0003191966716623, 0.3401614034273547, 0.2703270461127537]|29518.7264830706917564|      2.00000000|[13, 1, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=2
      15|[0.0123021096981432, -0.0674961716857445, -0.4718583302688211, -0.0015974147353349, 0.8694654136308702, -0.0009115245462435, 0.0091730137982134, 0.4526643077979713, 0.2519007878852152]|411.8616689354475398|      0.03125000|[188, 22, 15, 30]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      16|[0.0123021096981432, -0.0674961716857445, -0.4718583302688211, -0.0015974147353349, 0.8694654136308702, -0.0009115245462435, 0.0091730137982134, 0.4526643077979713, 0.2519007878852152]|411.8616689354475398|      0.01562500|[201, 23, 16, 32]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      17|[0.0123021096981432, -0.0674961716857445, -0.4718583302688211, -0.0015974147353349, 0.8694654136308702, -0.0009115245462435, 0.0091730137982134, 0.4526643077979713, 0.2519007878852152]|411.8616689354475398|      0.00781250|[213, 25, 17, 34]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      18|[0.0134952456206249, -0.0663414787415036, -0.4736594715230604, 0.0039611151338008, 0.8728576813935304, 0.0024580102629876, 0.0099413328244673, 0.4522949945746873, 0.2526417003051468]|349.0276105935426472|      0.01562500|[226, 26, 18, 36]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      19|[0.0134952456206249, -0.0663414787415036, -0.4736594715230604, 0.0039611151338008, 0.8728576813935304, 0.0024580102629876, 0.0099413328244673, 0.4522949945746873, 0.2526417003051468]|349.0276105935426472|      0.00781250|[238, 28, 19, 38]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      20|[0.012795094723652, -0.0661448839355367, -0.473827386440181, 0.0042645800956487, 0.8798624596756639, 0.0031736630928436, 0.0074792707571269, 0.4523050469425338, 0.2548200209020763]|293.3549679208692282|      0.01562500|[251, 29, 20, 40]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      21|[0.0082398819324726, -0.0611217585671906, -0.4746191076844637, -0.0012191843844264, 0.8910345899417459, -0.0016238236458797, 0.0068273046632848, 0.4508434374856808, 0.2589512001377135]|256.0753648171357781|      0.03125000|[263, 31, 21, 42]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      22|[0.0082398819324726, -0.0611217585671906, -0.4746191076844637, -0.0012191843844264, 0.8910345899417459, -0.0016238236458797, 0.0068273046632848, 0.4508434374856808, 0.2589512001377135]|256.0753648171357781|      0.01562500|[276, 32, 22, 44]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      23|[0.0082398819324726, -0.0611217585671906, -0.4746191076844637, -0.0012191843844264, 0.8910345899417459, -0.0016238236458797, 0.0068273046632848, 0.4508434374856808, 0.2589512001377135]|256.0753648171357781|      0.00781250|[288, 34, 23, 46]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      24|[0.0093466491120929, -0.061528463531427, -0.4762242925473347, 0.0027848567843282, 0.8921803499802964, 0.0042023639929299, 0.0060029383144503, 0.4519689516868134, 0.2609088157906215]|206.7898304186174983|      0.01562500|[301, 35, 24, 48]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      25|[0.0048221341622995, -0.0670054019688474, -0.4721307811708961, 0.0033413636016953, 0.9043354142605695, 0.0050144004137242, 0.0086439024188469, 0.455404519149947, 0.2578390937194444]|147.7888879865328136|      0.03125000|[313, 37, 25, 50]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      26|[0.0048221341622995, -0.0670054019688474, -0.4721307811708961, 0.0033413636016953, 0.9043354142605695, 0.0050144004137242, 0.0086439024188469, 0.455404519149947, 0.2578390937194444]|147.7888879865328136|      0.01562500|[325, 39, 26, 52]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      27|[0.0048221341622995, -0.0670054019688474, -0.4721307811708961, 0.0033413636016953, 0.9043354142605695, 0.0050144004137242, 0.0086439024188469, 0.455404519149947, 0.2578390937194444]|147.7888879865328136|      0.00781250|[337, 41, 27, 54]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      28|[0.0048221341622995, -0.0670054019688474, -0.4721307811708961, 0.0033413636016953, 0.9043354142605695, 0.0050144004137242, 0.0086439024188469, 0.455404519149947, 0.2578390937194444]|147.7888879865328136|      0.00390625|[350, 42, 28, 56]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      29|[0.0052267159653305, -0.0669208321595852, -0.4732475535938607, 0.0009570498202181, 0.9068666535234781, 0.0037341177685127, 0.0083317019106171, 0.4554556674110068, 0.2577419517531627]|136.9917415100597680|      0.00781250|[362, 44, 29, 58]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      30|[0.0047798177682936, -0.0672481781326424, -0.4748952830449163, 0.0044055597219435, 0.912137667883815, 0.0067183245805891, 0.0096499551649285, 0.4568409928833752, 0.2553388185924293]|127.9204877518477304|      0.01562500|[375, 45, 30, 60]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      31|[0.0047798177682936, -0.0672481781326424, -0.4748952830449163, 0.0044055597219435, 0.912137667883815, 0.0067183245805891, 0.0096499551649285, 0.4568409928833752, 0.2553388185924293]|127.9204877518477304|      0.00781250|[387, 47, 31, 62]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      32|[0.0047798177682936, -0.0672481781326424, -0.4748952830449163, 0.0044055597219435, 0.912137667883815, 0.0067183245805891, 0.0096499551649285, 0.4568409928833752, 0.2553388185924293]|127.9204877518477304|      0.00390625|[399, 49, 32, 64]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      33|[0.0040201325925077, -0.0679222901259686, -0.4752437440277603, 0.0017015396172815, 0.9137631406750141, 0.0048845934181282, 0.0100234979050013, 0.456166634719015, 0.2557804811899569]|109.3634358147235446|      0.00781250|[411, 51, 33, 66]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      34|[0.0040201325925077, -0.0679222901259686, -0.4752437440277603, 0.0017015396172815, 0.9137631406750141, 0.0048845934181282, 0.0100234979050013, 0.456166634719015, 0.2557804811899569]|109.3634358147235446|      0.00390625|[425, 51, 34, 68]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      35|[0.0040201325925077, -0.0679222901259686, -0.4752437440277603, 0.0017015396172815, 0.9137631406750141, 0.0048845934181282, 0.0100234979050013, 0.456166634719015, 0.2557804811899569]|109.3634358147235446|      0.00195312|[438, 52, 35, 70]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      36|[0.0032613331428713, -0.0679374115657494, -0.4755827927757619, 0.0017082423606823, 0.915515873680503, 0.0047630582513606, 0.0099734961350902, 0.4560036790872071, 0.2556921945975353]|103.6986727701256257|      0.00390625|[451, 53, 36, 72]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      37|[0.0035186441766673, -0.0679066488829089, -0.4740370858740952, 0.0041226550517916, 0.9177936152728529, 0.005265618533863, 0.0110611820753201, 0.4564077181849699, 0.2561235336598947]|102.0207043956239659|      0.00781250|[463, 55, 37, 74]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      38|[0.003047160264337, -0.0648408593508464, -0.4696746921805591, 0.0038173026576249, 0.922223528790809, 0.003422308717342, 0.0133768664091865, 0.4566010960239912, 0.2541567186928755]| 90.3153715329693938|      0.01562500|[476, 56, 38, 76]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      39|[0.003047160264337, -0.0648408593508464, -0.4696746921805591, 0.0038173026576249, 0.922223528790809, 0.003422308717342, 0.0133768664091865, 0.4566010960239912, 0.2541567186928755]| 90.3153715329693938|      0.00781250|[488, 58, 39, 78]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      40|[0.0013930818037401, -0.0671890427940361, -0.4658437548791348, 0.0039016011719976, 0.9244568999467357, 0.0070758385145773, 0.0132362899246069, 0.4598369058834532, 0.2572023014732854]| 85.4153894496672450|      0.01562500|[500, 60, 40, 80]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      41|[0.0013930818037401, -0.0671890427940361, -0.4658437548791348, 0.0039016011719976, 0.9244568999467357, 0.0070758385145773, 0.0132362899246069, 0.4598369058834532, 0.2572023014732854]| 85.4153894496672450|      0.00781250|[513, 61, 41, 82]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      42|[0.0013930818037401, -0.0671890427940361, -0.4658437548791348, 0.0039016011719976, 0.9244568999467357, 0.0070758385145773, 0.0132362899246069, 0.4598369058834532, 0.2572023014732854]| 85.4153894496672450|      0.00390625|[526, 62, 42, 84]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      43|[0.0017861122583207, -0.0674732644683085, -0.4653421890797367, 0.0020580248857854, 0.9252344141278892, 0.0040466326450003, 0.0141780470530976, 0.4595512275427699, 0.2579922744376096]| 79.7073974170421593|      0.00781250|[539, 63, 43, 86]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      44|[0.0035193349299604, -0.0685306676657507, -0.4640345537198576, -0.0003721392885255, 0.9286858333977721, 0.0090881068046798, 0.0134286823416571, 0.4627624773993908, 0.2569458730048853]| 75.9575509587693034|      0.01562500|[551, 65, 44, 88]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      45|[0.0035193349299604, -0.0685306676657507, -0.4640345537198576, -0.0003721392885255, 0.9286858333977721, 0.0090881068046798, 0.0134286823416571, 0.4627624773993908, 0.2569458730048853]| 75.9575509587693034|      0.00781250|[563, 67, 45, 90]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
