k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=0
      12|[11.119340266158748, 0.9843694893412306, -3.143823763449051, -1.8786717248721023, 0.020899421142371, 0.3887595893708773, -0.1671441908315842]|10751.2133490873129631|      0.06250000|[96, 0, 12, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      13|[11.140331203514531, 0.9660639176279164, -3.120724745762006, -1.862620816102954, 0.0171046725851184, 0.3627357785423045, -0.1265523017883501]|10169.1943319658766995|      0.12500000|[104, 0, 13, 26]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      14|[11.140331203514531, 0.9660639176279164, -3.120724745762006, -1.862620816102954, 0.0171046725851184, 0.3627357785423045, -0.1265523017883501]|10169.1943319658766995|      0.06250000|[112, 0, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      15|[11.140331203514531, 0.9660639176279164, -3.120724745762006, -1.862620816102954, 0.0171046725851184, 0.3627357785423045, -0.1265523017883501]|10169.1943319658766995|      0.03125000|[120, 0, 15, 30]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      16|[11.14515474977972, 0.9591067197683635, -3.131402321171549, -1.8603327987674936, 0.0339149712236845, 0.3477841027360627, -0.1432708217492806]|9572.3346308511572715|      0.06250000|[128, 0, 16, 32]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      17|[11.14515474977972, 0.9591067197683635, -3.131402321171549, -1.8603327987674936, 0.0339149712236845, 0.3477841027360627, -0.1432708217492806]|9572.3346308511572715|      0.03125000|[136, 0, 17, 34]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      18|[11.14515474977972, 0.9591067197683635, -3.131402321171549, -1.8603327987674936, 0.0339149712236845, 0.3477841027360627, -0.1432708217492806]|9572.3346308511572715|      0.01562500|[144, 0, 18, 36]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      19|[11.14515474977972, 0.9591067197683635, -3.131402321171549, -1.8603327987674936, 0.0339149712236845, 0.3477841027360627, -0.1432708217492806]|9572.3346308511572715|      0.00781250|[152, 0, 19, 38]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      20|[11.148624938602119, 0.9619996127112471, -3.130770825885915, -1.860456780242316, 0.0328712665061904, 0.3435351539662578, -0.1386809335893905]|9534.2778295910156885|      0.01562500|[160, 0, 20, 40]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      21|[11.148624938602119, 0.9619996127112471, -3.130770825885915, -1.860456780242316, 0.0328712665061904, 0.3435351539662578, -0.1386809335893905]|9534.2778295910156885|      0.00781250|[168, 0, 21, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      22|[11.148624938602119, 0.9619996127112471, -3.130770825885915, -1.860456780242316, 0.0328712665061904, 0.3435351539662578, -0.1386809335893905]|9534.2778295910156885|      0.00390625|[176, 0, 22, 44]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      23|[11.148624938602119, 0.9619996127112471, -3.130770825885915, -1.860456780242316, 0.0328712665061904, 0.3435351539662578, -0.1386809335893905]|9534.2778295910156885|      0.00195312|[184, 0, 23, 46]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      24|[11.148927949621116, 0.9613760418366589, -3.1302577820525257, -1.8598710435389878, 0.0331733948462815, 0.3430107123361814, -0.1402176244934141]|9530.1391813886602904|      0.00390625|[192, 0, 24, 48]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      25|[11.148927949621116, 0.9613760418366589, -3.1302577820525257, -1.8598710435389878, 0.0331733948462815, 0.3430107123361814, -0.1402176244934141]|9530.1391813886602904|      0.00195312|[200, 0, 25, 50]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      26|[11.148022799570146, 0.9615479148049698, -3.130349853638011, -1.8608504286994272, 0.0334992517153021, 0.3418318136360075, -0.1395089616540358]|9525.0079140789857775|      0.00390625|[208, 0, 26, 52]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      27|[11.148022799570146, 0.9615479148049698, -3.130349853638011, -1.8608504286994272, 0.0334992517153021, 0.3418318136360075, -0.1395089616540358]|9525.0079140789857775|      0.00195312|[216, 0, 27, 54]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      28|[11.149540560726559, 0.9614363816546387, -3.1309113502742987, -1.860947405272941, 0.0334791811600437, 0.3408697991900991, -0.1390108641290555]|9523.1252823965005518|      0.00390625|[224, 0, 28, 56]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      29|[11.149540560726559, 0.9614363816546387, -3.1309113502742987, -1.860947405272941, 0.0334791811600437, 0.3408697991900991, -0.1390108641290555]|9523.1252823965005518|      0.00195312|[232, 0, 29, 58]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      30|[11.14984977170827, 0.9613100300787701, -3.131059325048163, -1.8615373487380642, 0.033316625830697, 0.3401664412765227, -0.1406877823435961]|9520.3051154425575078|      0.00390625|[240, 0, 30, 60]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      31|[11.14984977170827, 0.9613100300787701, -3.131059325048163, -1.8615373487380642, 0.033316625830697, 0.3401664412765227, -0.1406877823435961]|9520.3051154425575078|      0.00195312|[248, 0, 31, 62]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      32|[11.14987375151843, 0.9609874706323102, -3.1312673459735336, -1.862072766969113, 0.0334542247109883, 0.3386410676120397, -0.1396707110667715]|9512.9987492667023616|      0.00390625|[256, 0, 32, 64]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      33|[11.15052692848848, 0.9625687375496365, -3.130047653238641, -1.8640602748620114, 0.0347466200336085, 0.3368480072045657, -0.1410879458948084]|9507.9460440015936911|      0.00781250|[264, 0, 33, 66]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      34|[11.15052692848848, 0.9625687375496365, -3.130047653238641, -1.8640602748620114, 0.0347466200336085, 0.3368480072045657, -0.1410879458948084]|9507.9460440015936911|      0.00390625|[272, 0, 34, 68]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      35|[11.150393419802176, 0.9639487387538428, -3.1291644318388543, -1.8673702439394988, 0.0347887588812144, 0.3371870108523894, -0.1398697970209467]|9502.7839915522981755|      0.00781250|[280, 0, 35, 70]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
