k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      2.00000000|[7, 1, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=2
      12|[9.691074294325679, -1.0158308000874445, -0.6449320438024628, 0.6174814935832129, 0.0990882997933016, -0.2206944084253699, 0.0440221583225568]|9651.0161038174392161|      0.01562500|[88, 8, 12, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=2
      13|[9.691074294325679, -1.0158308000874445, -0.6449320438024628, 0.6174814935832129, 0.0990882997933016, -0.2206944084253699, 0.0440221583225568]|9651.0161038174392161|      0.00781250|[95, 9, 13, 26]                                                            |  | used linear model with 8 points | iterate failure | actual_k=2
      14|[9.691074294325679, -1.0158308000874445, -0.6449320438024628, 0.6174814935832129, 0.0990882997933016, -0.2206944084253699, 0.0440221583225568]|9651.0161038174392161|      0.00390625|[103, 9, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=2
      15|[9.6930322635158, -1.0132068874526998, -0.6446729761849086, 0.6178017006426844, 0.0995239104472654, -0.2204986763648482, 0.0460574744959063]|9454.8682378687281016|      0.00781250|[109, 11, 15, 30]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      16|[9.6930322635158, -1.0132068874526998, -0.6446729761849086, 0.6178017006426844, 0.0995239104472654, -0.2204986763648482, 0.0460574744959063]|9454.8682378687281016|      0.00390625|[116, 12, 16, 32]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      17|[9.6930322635158, -1.0132068874526998, -0.6446729761849086, 0.6178017006426844, 0.0995239104472654, -0.2204986763648482, 0.0460574744959063]|9454.8682378687281016|      0.00195312|[123, 13, 17, 34]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      18|[9.6930322635158, -1.0132068874526998, -0.6446729761849086, 0.6178017006426844, 0.0995239104472654, -0.2204986763648482, 0.0460574744959063]|9454.8682378687281016|      0.00097656|[130, 14, 18, 36]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      19|[9.692782707607385, -1.0127178861204575, -0.6448399130620674, 0.6180480718265849, 0.0993034983851748, -0.2201400210863313, 0.0466791593798401]|9436.2210297003148298|      0.00195312|[136, 16, 19, 38]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      20|[9.692782707607385, -1.0127178861204575, -0.6448399130620674, 0.6180480718265849, 0.0993034983851748, -0.2201400210863313, 0.0466791593798401]|9436.2210297003148298|      0.00097656|[144, 16, 20, 40]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      21|[9.692463378657742, -1.0124600599615756, -0.6448675671606712, 0.6179325563179396, 0.0992247942972694, -0.2194519392720641, 0.0472190385437617]|9432.0765416116901179|      0.00195312|[150, 18, 21, 42]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      22|[9.692053888516199, -1.01178589571942, -0.6443516332371179, 0.6184577533019441, 0.1004062904763294, -0.2183346324500935, 0.0472977165150525]|9419.7370335479754431|      0.00390625|[158, 18, 22, 44]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      23|[9.692053888516199, -1.01178589571942, -0.6443516332371179, 0.6184577533019441, 0.1004062904763294, -0.2183346324500935, 0.0472977165150525]|9419.7370335479754431|      0.00195312|[166, 18, 23, 46]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      24|[9.691884254009336, -1.0118391029381408, -0.6448583252861403, 0.6198930704590355, 0.1001846117128077, -0.2172074486621384, 0.0469149196347448]|9398.4651412979164888|      0.00390625|[174, 18, 24, 48]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      25|[9.691884254009336, -1.0118391029381408, -0.6448583252861403, 0.6198930704590355, 0.1001846117128077, -0.2172074486621384, 0.0469149196347448]|9398.4651412979164888|      0.00195312|[180, 20, 25, 50]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      26|[9.691884254009336, -1.0118391029381408, -0.6448583252861403, 0.6198930704590355, 0.1001846117128077, -0.2172074486621384, 0.0469149196347448]|9398.4651412979164888|      0.00097656|[188, 20, 26, 52]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      27|[9.691884254009336, -1.0118391029381408, -0.6448583252861403, 0.6198930704590355, 0.1001846117128077, -0.2172074486621384, 0.0469149196347448]|9398.4651412979164888|      0.00048828|[195, 21, 27, 54]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      28|[9.691942089957989, -1.0117289793514304, -0.6449102398103675, 0.6198572789751293, 0.1001909055125181, -0.2168431445205012, 0.0472085403256374]|9396.8223631885557552|      0.00097656|[202, 22, 28, 56]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      29|[9.691726100910765, -1.01200332132416, -0.6448838365475257, 0.619857453963701, 0.1003597592195904, -0.2159493545651538, 0.0471477924178267]|9386.7270780004728294|      0.00195312|[208, 24, 29, 58]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      30|[9.691726100910765, -1.01200332132416, -0.6448838365475257, 0.619857453963701, 0.1003597592195904, -0.2159493545651538, 0.0471477924178267]|9386.7270780004728294|      0.00097656|[215, 25, 30, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      31|[9.691910657599136, -1.011628916313872, -0.6447453621719283, 0.6201083377273382, 0.1002590436339765, -0.2153341362922104, 0.0465922034822345]|9380.0138467502110871|      0.00195312|[223, 25, 31, 62]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      32|[9.691910657599136, -1.011628916313872, -0.6447453621719283, 0.6201083377273382, 0.1002590436339765, -0.2153341362922104, 0.0465922034822345]|9380.0138467502110871|      0.00097656|[230, 26, 32, 64]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      33|[9.691910657599136, -1.011628916313872, -0.6447453621719283, 0.6201083377273382, 0.1002590436339765, -0.2153341362922104, 0.0465922034822345]|9380.0138467502110871|      0.00048828|[238, 26, 33, 66]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      34|[9.691942256045406, -1.0115091016157476, -0.6450739179744677, 0.6202132998657406, 0.1003588850554314, -0.2152342383315137, 0.0468822908441419]|9376.3804055105429143|      0.00097656|[245, 27, 34, 68]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      35|[9.692185778316054, -1.0115105073244888, -0.6446950624263306, 0.620782110935876, 0.1008073288083384, -0.2148483714285157, 0.0471603135372347]|9372.0602664898651710|      0.00195312|[252, 28, 35, 70]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
