k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2468646615743637, -0.0769446641206741, 0.3966071605682373, 0.0099343378096819, -0.4363338947296143, -0.0838608890771866, 0.2060846984386444, -0.0688762962818146, -0.2596638798713684, -0.2106619775295258, -0.3285622894763947, -0.1666866689920425, -0.1715127378702164, 0.3613016605377197, -0.1589917093515396, 0.1049014776945114, 0.0873133838176727, 0.0446016453206539, -0.0452248342335224, 0.1569592505693436, -0.1578861922025681, 0.0807604640722275]| 14.5381040573120117|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[1.1477050632238388, 0.0984298586845398, 0.7317717373371124, 0.3663858193904161, -0.2608877420425415, 0.1754468828439713, -0.0836314857006073, -0.4700146019458771, -0.4577789008617401, -1.0232878029346466, -1.0796881020069122, -0.8206841498613358, 0.2997148185968399, 0.0708982050418854, -0.6581542938947678, 0.1185107193887234, 0.1501550227403641, 0.0020845681428909, -0.0295764897018671, 0.1160513274371624, -0.0009098649024963, -0.3943338245153427]| 13.0324945449829102|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[1.4377736002206802, -0.4203826189041138, 1.3029389083385468, 1.7939056176692247, -0.3725069239735603, 0.2111241482198238, 1.6584981977939606, -1.034686952829361, -0.5215292796492577, -0.7179228067398071, -0.8540302813053131, -2.159992292523384, 0.614947184920311, -0.1509245187044144, -0.8759021908044815, -0.1964221335947514, 1.1383910924196243, 0.7681709080934525, 0.9589909818023443, 1.6931135766208172, -0.7064419388771057, -0.5257627665996552]| 12.1444816589355469|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
      14|[-62.89883046156515, -79.93009776188282, 60.46184497534705, 47.43151595409439, -62.06825359893647, -27.481643386832, -8.217250369283683, -52.26150601447544, 47.7673015895574, -64.49513228454809, 54.320061421716005, 108.97556203553745, 26.391483439890564, 32.37552263019031, -52.10875020010107, 68.27586875897919, -45.12388645187241, 37.226499211941764, 1.024381295308956, -11.042826479382873, 24.296986590550894, 5.588581190419106]| 11.9330005645751953|    256.00000000|[818, 60, 0, 60]                                                           |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      15|[-62.89883046156515, -79.93009776188282, 60.46184497534705, 47.43151595409439, -62.06825359893647, -27.481643386832, -8.217250369283683, -52.26150601447544, 47.7673015895574, -64.49513228454809, 54.320061421716005, 108.97556203553745, 26.391483439890564, 32.37552263019031, -52.10875020010107, 68.27586875897919, -45.12388645187241, 37.226499211941764, 1.024381295308956, -11.042826479382873, 24.296986590550894, 5.588581190419106]| 11.9330005645751953|    128.00000000|[952, 70, 0, 70]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=1
      16|[-91.89240841871847, -129.7707654864922, 56.953630263204104, 73.88005378063247, -117.60515316558687, -41.44096059416843, -5.56733014414025, -30.933264666208835, 34.122728377887476, -84.43974478759985, 43.248130536401064, 51.34162419984409, 13.053998126475037, 52.03565599200672, -79.00554547292822, 69.54139076215301, -39.38925634399277, 37.47698856607537, 19.44994129286755, 34.59731786876166, 9.359010707067007, 6.425478146386055]| 11.8326358795166016|    256.00000000|[1059, 78, 0, 78]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points| GPS sucess | actual_k=1
      17|[-91.89240841871847, -129.7707654864922, 56.953630263204104, 73.88005378063247, -117.60515316558687, -41.44096059416843, -5.56733014414025, -30.933264666208835, 34.122728377887476, -84.43974478759985, 43.248130536401064, 51.34162419984409, 13.053998126475037, 52.03565599200672, -79.00554547292822, 69.54139076215301, -39.38925634399277, 37.47698856607537, 19.44994129286755, 34.59731786876166, 9.359010707067007, 6.425478146386055]| 11.8326358795166016|    128.00000000|[1192, 88, 0, 88]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      18|[-91.89240841871847, -129.7707654864922, 56.953630263204104, 73.88005378063247, -117.60515316558687, -41.44096059416843, -5.56733014414025, -30.933264666208835, 34.122728377887476, -84.43974478759985, 43.248130536401064, 51.34162419984409, 13.053998126475037, 52.03565599200672, -79.00554547292822, 69.54139076215301, -39.38925634399277, 37.47698856607537, 19.44994129286755, 34.59731786876166, 9.359010707067007, 6.425478146386055]| 11.8326358795166016|     64.00000000|[1326, 98, 0, 98]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 109 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=1
      19|[-103.98121552473654, -139.7026674182549, 46.21565323531104, 86.105816147881, -119.12809427810518, -39.749059864035374, 16.77687380483436, -25.916395121225925, 26.608853370258082, -94.5005443862937, 29.50963757070282, 64.04241651246616, 11.97089923807782, 65.91443063495106, -73.83992657644384, 79.38881717664276, -37.723629698904574, 62.875151407872245, 7.286214486226925, 50.173566991381286, 5.871318112538809, 10.316631481957344]| 11.8028240203857422|    128.00000000|[1380, 102, 0, 102]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points| GPS sucess | actual_k=1
      20|[-103.98121552473654, -139.7026674182549, 46.21565323531104, 86.105816147881, -119.12809427810518, -39.749059864035374, 16.77687380483436, -25.916395121225925, 26.608853370258082, -94.5005443862937, 29.50963757070282, 64.04241651246616, 11.97089923807782, 65.91443063495106, -73.83992657644384, 79.38881717664276, -37.723629698904574, 62.875151407872245, 7.286214486226925, 50.173566991381286, 5.871318112538809, 10.316631481957344]| 11.8028240203857422|     64.00000000|[1513, 112, 0, 112]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      21|[-103.98121552473654, -139.7026674182549, 46.21565323531104, 86.105816147881, -119.12809427810518, -39.749059864035374, 16.77687380483436, -25.916395121225925, 26.608853370258082, -94.5005443862937, 29.50963757070282, 64.04241651246616, 11.97089923807782, 65.91443063495106, -73.83992657644384, 79.38881717664276, -37.723629698904574, 62.875151407872245, 7.286214486226925, 50.173566991381286, 5.871318112538809, 10.316631481957344]| 11.8028240203857422|     32.00000000|[1645, 122, 0, 122]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=1
      22|[-103.26924597031226, -146.21617526127247, 51.04290371596289, 84.92197980697676, -117.1385076863846, -36.49601192092014, 24.110161997583383, -16.14416878760776, 13.503923446246851, -105.17135222473364, 21.952086663567812, 57.384135186172216, 6.304733409372986, 59.64703752276844, -67.54187617284887, 84.38886772138153, -45.71647666469437, 70.3955056788073, 1.3910395060633505, 52.16165881782019, 5.786866623388285, 15.786836312127022]| 11.7971439361572266|     64.00000000|[1739, 129, 0, 129]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 82 points| GPS sucess | actual_k=1
      23|[-103.26924597031226, -146.21617526127247, 51.04290371596289, 84.92197980697676, -117.1385076863846, -36.49601192092014, 24.110161997583383, -16.14416878760776, 13.503923446246851, -105.17135222473364, 21.952086663567812, 57.384135186172216, 6.304733409372986, 59.64703752276844, -67.54187617284887, 84.38886772138153, -45.71647666469437, 70.3955056788073, 1.3910395060633505, 52.16165881782019, 5.786866623388285, 15.786836312127022]| 11.7971439361572266|     32.00000000|[1873, 139, 0, 139]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 96 points | trying quadratic partial model with 109 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=1
      24|[-112.78773294693579, -150.813426199688, 63.463796431416995, 90.67043914611861, -104.36841090751497, -31.996490188589817, 27.19964001348304, -8.506402426371189, 3.2819385829656014, -108.65174444236975, 30.601456857049257, 61.7305960054166, 0.4808641810099488, 58.31029953238911, -64.37232718450659, 86.65099774343048, -42.249107585104525, 68.32400919214348, 9.661427155599483, 52.64628561764204, 2.0355135979518835, 26.287015602898506]| 11.7691574096679688|     64.00000000|[1993, 148, 0, 148]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points| GPS sucess | actual_k=1
      25|[-112.78773294693579, -150.813426199688, 63.463796431416995, 90.67043914611861, -104.36841090751497, -31.996490188589817, 27.19964001348304, -8.506402426371189, 3.2819385829656014, -108.65174444236975, 30.601456857049257, 61.7305960054166, 0.4808641810099488, 58.31029953238911, -64.37232718450659, 86.65099774343048, -42.249107585104525, 68.32400919214348, 9.661427155599483, 52.64628561764204, 2.0355135979518835, 26.287015602898506]| 11.7691574096679688|     32.00000000|[2127, 158, 0, 158]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      26|[-118.57713209396948, -157.98018521381763, 58.43108635603858, 96.45626106079146, -114.56400569511263, -28.875251241675144, 16.604052283075326, 0.1387000745443387, -7.383686035564672, -113.68449075737219, 23.745604729974062, 61.98824500987598, 1.4447096724192505, 52.40610803840107, -68.67089018804663, 85.07417462808166, -46.54764197841507, 58.158246290837326, 5.426240578756222, 44.45344504147017, 3.9948423685893957, 32.62468974382868]| 11.7529029846191406|     64.00000000|[2155, 160, 0, 160]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      27|[-126.93002592331518, -160.34163850857166, 62.79371672331763, 102.54401197250411, -108.03363069129793, -8.84315056418491, 35.009020544794076, 9.484792298665432, -6.016427248409521, -140.79744203605873, 45.31105349096039, 69.75027656505176, -16.94063197186786, 52.97338195321507, -74.37297759039038, 86.03492252570663, -43.16091226116043, 57.06395329252342, 14.816687241659054, 18.392293536953567, -3.2779170689716395, 12.694161103081612]| 11.7332372665405273|    128.00000000|[2183, 162, 0, 162]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      28|[-168.62427793747534, -189.19665140224842, 44.84074812590552, 139.72812452133223, -79.81524118018953, -27.639756628027683, -22.483094475957877, 45.58423001228848, -41.23984262316538, -150.2210193447135, 69.49441454442719, 92.87779235789844, -15.599169836552917, 57.730720477079814, -99.82188734991186, 81.91100399238144, -32.51736901775223, 70.78217591062645, 51.5039049540614, 10.196848476223586, 0.721058207975382, 31.47131984026423]| 11.6823310852050781|    256.00000000|[2198, 163, 0, 163]                                                        | | GPS sucess | actual_k=1
      29|[-168.62427793747534, -189.19665140224842, 44.84074812590552, 139.72812452133223, -79.81524118018953, -27.639756628027683, -22.483094475957877, 45.58423001228848, -41.23984262316538, -150.2210193447135, 69.49441454442719, 92.87779235789844, -15.599169836552917, 57.730720477079814, -99.82188734991186, 81.91100399238144, -32.51736901775223, 70.78217591062645, 51.5039049540614, 10.196848476223586, 0.721058207975382, 31.47131984026423]| 11.6823310852050781|    128.00000000|[2331, 173, 0, 173]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      30|[-195.9497669816648, -174.876494351162, 26.05325155913306, 163.50524129684493, -35.305567107923906, -41.164602704993015, -24.16827931234551, 39.96763617455044, -66.1417228874476, -165.32961042442543, 66.31090257199982, 100.28833770701954, 17.18154992052716, 93.02281184670872, -69.65318999273413, 101.00930111152206, -54.93631433025223, 104.99333847776512, 109.34187187300671, 40.742251003079055, -28.254756611360555, 42.10304229052058]| 11.6190023422241211|    256.00000000|[2398, 178, 0, 178]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points| GPS sucess | actual_k=1
      31|[-195.9497669816648, -174.876494351162, 26.05325155913306, 163.50524129684493, -35.305567107923906, -41.164602704993015, -24.16827931234551, 39.96763617455044, -66.1417228874476, -165.32961042442543, 66.31090257199982, 100.28833770701954, 17.18154992052716, 93.02281184670872, -69.65318999273413, 101.00930111152206, -54.93631433025223, 104.99333847776512, 109.34187187300671, 40.742251003079055, -28.254756611360555, 42.10304229052058]| 11.6190023422241211|    128.00000000|[2533, 188, 0, 188]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 44 points | trying quadratic partial model with 57 points | trying quadratic partial model with 70 points | trying quadratic partial model with 83 points | trying quadratic partial model with 96 points | trying quadratic partial model with 109 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=1
      32|[-225.27910505539526, -175.3340889544621, 22.93176727950049, 187.70538701828048, -32.98061212135164, -77.02963108634067, -55.35464062521172, 0.1939621633199735, -77.57340165942026, -163.77034218826515, 97.5351094964383, 97.31010699222156, -39.80876074841815, 123.46700282571263, -77.15410361272924, 126.99944202643906, -57.123643384131014, 105.9550895811663, 101.39810718642224, 10.799769008450149, -78.38102309085275, 15.033176110100655]| 11.5381240844726562|    256.00000000|[2561, 190, 0, 190]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      33|[-225.27910505539526, -175.3340889544621, 22.93176727950049, 187.70538701828048, -32.98061212135164, -77.02963108634067, -55.35464062521172, 0.1939621633199735, -77.57340165942026, -163.77034218826515, 97.5351094964383, 97.31010699222156, -39.80876074841815, 123.46700282571263, -77.15410361272924, 126.99944202643906, -57.123643384131014, 105.9550895811663, 101.39810718642224, 10.799769008450149, -78.38102309085275, 15.033176110100655]| 11.5381240844726562|    128.00000000|[2693, 200, 0, 200]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=1
      34|[-225.27910505539526, -175.3340889544621, 22.93176727950049, 187.70538701828048, -32.98061212135164, -77.02963108634067, -55.35464062521172, 0.1939621633199735, -77.57340165942026, -163.77034218826515, 97.5351094964383, 97.31010699222156, -39.80876074841815, 123.46700282571263, -77.15410361272924, 126.99944202643906, -57.123643384131014, 105.9550895811663, 101.39810718642224, 10.799769008450149, -78.38102309085275, 15.033176110100655]| 11.5381240844726562|     64.00000000|[2828, 210, 0, 210]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points | trying quadratic partial model with 70 points | trying quadratic partial model with 83 points | trying quadratic partial model with 96 points | trying quadratic partial model with 109 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=1
      35|[-237.83585344559302, -155.0812527270451, 34.585097128743655, 193.63907613571212, -29.12788971496431, -77.01798838907344, -36.74318852255059, 12.97363955437222, -86.22758027880502, -183.09174569168312, 111.63806817563751, 115.66138338992664, -45.25510273984271, 143.8702525663132, -86.95779643041723, 124.45341436606918, -53.238575444372714, 99.76299954668144, 118.07568134413708, -10.913998996920945, -83.30139605380441, 35.64723174364558]| 11.5194263458251953|    128.00000000|[2883, 214, 0, 214]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points| GPS sucess | actual_k=1
      36|[-237.83585344559302, -155.0812527270451, 34.585097128743655, 193.63907613571212, -29.12788971496431, -77.01798838907344, -36.74318852255059, 12.97363955437222, -86.22758027880502, -183.09174569168312, 111.63806817563751, 115.66138338992664, -45.25510273984271, 143.8702525663132, -86.95779643041723, 124.45341436606918, -53.238575444372714, 99.76299954668144, 118.07568134413708, -10.913998996920945, -83.30139605380441, 35.64723174364558]| 11.5194263458251953|     64.00000000|[3019, 224, 0, 224]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 96 points | trying quadratic partial model with 109 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=1
