k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0076351747848094, 0.0429752841591835, 0.1458639800548553, 0.4979351758956909, 0.1576021462678909, -0.1040442883968353, 0.1685651242733002, 0.1701248735189438, 0.011816076003015, -0.1753427535295486, 0.1820599883794785, 0.0160761177539825, 0.2193293571472168, -0.4750019609928131, 0.0572759993374348, -0.1949298828840256, 0.2311921864748001, 0.3429018259048462, -0.0643594935536385, 0.0561967976391315, -0.0555549710988998, -0.1159977316856384]| 14.1368122100830078|      2.00000000|[276, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
      12|[-70.16049496689811, -81.55824404582381, -7.993764229118824, 64.88047313690186, 99.79400975257158, -17.78945943713188, 23.174416065216064, -7.450859144330025, 6.562772355042398, -43.41572094708681, 3.6961351186037064, -45.87755089998245, 20.870444029569626, 16.674861699342728, 26.194074142724276, -62.52789548039436, 5.64602966606617, -6.5008698254823685, 6.7823631092906, 34.81817864254117, 46.352695632725954, -9.542209923267365]| 11.9241819381713867|    256.00000000|[3301, 0, 0, 60]                                                           | | GPS sucess | actual_k=0
      13|[-70.16049496689811, -81.55824404582381, -7.993764229118824, 64.88047313690186, 99.79400975257158, -17.78945943713188, 23.174416065216064, -7.450859144330025, 6.562772355042398, -43.41572094708681, 3.6961351186037064, -45.87755089998245, 20.870444029569626, 16.674861699342728, 26.194074142724276, -62.52789548039436, 5.64602966606617, -6.5008698254823685, 6.7823631092906, 34.81817864254117, 46.352695632725954, -9.542209923267365]| 11.9241819381713867|    128.00000000|[3576, 0, 0, 65]                                                           |  | used quadratic model with 276 points | actual_k=0
      14|[-81.03838078537956, -59.02528124675155, 12.48296421021223, 68.30613350868225, 91.144253320992, -8.488504618406296, 43.346970081329346, -32.63373191654682, -43.136583724059165, -89.53681469708681, -23.865245267748833, -62.18900948762894, -12.325112611055374, 51.41394022107124, 22.916777838021517, -80.52739956974983, 58.41042633354664, 0.5382389277219772, 43.35784452408552, 28.941431034356356, 62.17131822183728, -32.41064864397049]| 11.9136495590209961|    256.00000000|[3851, 0, 0, 70]                                                           | | GPS sucess | actual_k=0
      15|[-81.03838078537956, -59.02528124675155, 12.48296421021223, 68.30613350868225, 91.144253320992, -8.488504618406296, 43.346970081329346, -32.63373191654682, -43.136583724059165, -89.53681469708681, -23.865245267748833, -62.18900948762894, -12.325112611055374, 51.41394022107124, 22.916777838021517, -80.52739956974983, 58.41042633354664, 0.5382389277219772, 43.35784452408552, 28.941431034356356, 62.17131822183728, -32.41064864397049]| 11.9136495590209961|    128.00000000|[4126, 0, 0, 75]                                                           |  | used quadratic model with 276 points | actual_k=0
      16|[-100.25539700547233, -82.88000422343612, 14.237835220992565, 85.00555062294006, 33.51884896308184, -4.26038333773613, 17.43902826309204, 5.506004258990288, -6.725984969176352, -71.29491520673037, 1.041496828198433, -85.6259201169014, -20.52828338742256, 77.7031457722187, -7.085535775870085, -65.86471703648567, 7.436133578419685, -11.525765016674995, 39.37270324677229, 1.0213680155575275, 55.60112254694104, -43.90066176652908]| 11.8613176345825195|    256.00000000|[4401, 0, 0, 80]                                                           | | GPS sucess | actual_k=0
      17|[-189.02395932236686, -103.59100657328963, -8.48354310542345, 160.3229410648346, 104.79117257148027, 1.864960938692093, 66.68445444107056, 28.592233583331108, -68.67546693328768, -26.860005386173725, 71.01300103962421, -92.28150588274002, 76.3820330798626, 160.19344881176949, -17.19092346355319, -86.39762642979622, 34.552487567067146, 21.74783270061016, -54.24244720488787, -39.2336673848331, 17.352129627019167, -21.57791167497635]| 11.7652215957641602|    512.00000000|[4676, 0, 0, 85]                                                           | | GPS sucess | actual_k=0
      18|[-332.8975097374059, 29.271343890577555, -16.633125014603138, 265.0443232059479, 148.17964608222246, -9.676851958036423, -70.381844997406, 34.98223726451397, -86.08307687286288, -39.84154988080263, -3.1204370707273483, -39.21787291765213, 132.86168929934502, 28.408048421144485, 30.84239410236478, 86.13420340418816, 39.33184452354908, -162.22334344685078, -87.46661407500505, 22.80895422771573, 238.3463007695973, -53.59730178117752]| 11.4315586090087891|   1024.00000000|[4951, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
      19|[-332.8975097374059, 29.271343890577555, -16.633125014603138, 265.0443232059479, 148.17964608222246, -9.676851958036423, -70.381844997406, 34.98223726451397, -86.08307687286288, -39.84154988080263, -3.1204370707273483, -39.21787291765213, 132.86168929934502, 28.408048421144485, 30.84239410236478, 86.13420340418816, 39.33184452354908, -162.22334344685078, -87.46661407500505, 22.80895422771573, 238.3463007695973, -53.59730178117752]| 11.4315586090087891|    512.00000000|[5226, 0, 0, 95]                                                           |  | used quadratic model with 276 points | actual_k=0
      20|[-332.8975097374059, 29.271343890577555, -16.633125014603138, 265.0443232059479, 148.17964608222246, -9.676851958036423, -70.381844997406, 34.98223726451397, -86.08307687286288, -39.84154988080263, -3.1204370707273483, -39.21787291765213, 132.86168929934502, 28.408048421144485, 30.84239410236478, 86.13420340418816, 39.33184452354908, -162.22334344685078, -87.46661407500505, 22.80895422771573, 238.3463007695973, -53.59730178117752]| 11.4315586090087891|    256.00000000|[5501, 0, 0, 100]                                                          |  | used quadratic model with 276 points | actual_k=0
      21|[-332.8975097374059, 29.271343890577555, -16.633125014603138, 265.0443232059479, 148.17964608222246, -9.676851958036423, -70.381844997406, 34.98223726451397, -86.08307687286288, -39.84154988080263, -3.1204370707273483, -39.21787291765213, 132.86168929934502, 28.408048421144485, 30.84239410236478, 86.13420340418816, 39.33184452354908, -162.22334344685078, -87.46661407500505, 22.80895422771573, 238.3463007695973, -53.59730178117752]| 11.4315586090087891|    128.00000000|[5776, 0, 0, 105]                                                          |  | used quadratic model with 276 points | actual_k=0
      22|[-360.8190738395788, 29.761221084743738, -25.194265075027943, 288.4633848667145, 107.78459603339434, 15.983588486909866, -29.9426589012146, 30.151008054614067, -89.1973024988547, -8.191752441227436, -18.573817655444145, -72.32307082414627, 138.6954319179058, 65.62130525708199, 62.65071128681302, 78.78419777750969, 21.9868051558733, -178.04662950336933, -78.21103126555681, 39.31459425762296, 241.56476943567395, -0.8029826283454895]| 11.3874940872192383|    256.00000000|[6051, 0, 0, 110]                                                          | | GPS sucess | actual_k=0
      23|[-379.60944287339225, 10.04924026504159, 20.120477966964245, 296.48995995521545, 206.7368360236287, -19.339497298002243, -99.06110525131226, 17.124586507678032, -141.7602678919211, 18.70124911516905, 3.3094754964113235, 11.76054733991623, 44.194501131772995, 19.266340047121048, 126.8010485060513, 27.72766014933586, 50.839464381337166, -159.2034593373537, -19.36997825652361, 102.86594008281827, 172.71946303918958, 11.868304908275604]| 11.3174982070922852|    512.00000000|[6326, 0, 0, 115]                                                          | | GPS sucess | actual_k=0
      24|[-462.62736432114616, -134.7144316099584, -52.5716225579381, 383.3933870792389, 68.49028450995684, -9.55135890841484, -112.03496408462524, 101.85457460582256, -384.2334429407492, -82.0551824644208, 48.87915475666523, 50.33391922712326, -29.565394192934036, -159.8133108317852, 13.542160261422396, -13.419388800859451, 53.29551763832569, -31.23870714008808, 22.97214286774397, 219.21815108135343, 255.51560561731458, -52.27136641740799]| 11.1217308044433594|   1024.00000000|[6601, 0, 0, 120]                                                          | | GPS sucess | actual_k=0
      25|[-835.216445131693, 79.40805068984628, -56.7838446572423, 662.1654512882233, 141.24004036933184, -28.91107913851738, -384.61372995376587, 44.59811632335186, -506.0476977014914, 342.09795474261045, 210.58792550861835, 0.9245983958244324, 84.55601999163628, 140.63825777173042, 327.22129844501615, 13.571597069501877, 236.35812444984913, -308.96389634907246, 214.21030204743147, 388.45177840068936, 148.29582564905286, -205.57968550920486]| 10.5794811248779297|   2048.00000000|[6876, 0, 0, 125]                                                          | | GPS sucess | actual_k=0
      26|[-835.216445131693, 79.40805068984628, -56.7838446572423, 662.1654512882233, 141.24004036933184, -28.91107913851738, -384.61372995376587, 44.59811632335186, -506.0476977014914, 342.09795474261045, 210.58792550861835, 0.9245983958244324, 84.55601999163628, 140.63825777173042, 327.22129844501615, 13.571597069501877, 236.35812444984913, -308.96389634907246, 214.21030204743147, 388.45177840068936, 148.29582564905286, -205.57968550920486]| 10.5794811248779297|   1024.00000000|[7151, 0, 0, 130]                                                          |  | used quadratic model with 276 points | actual_k=0
      27|[-835.216445131693, 79.40805068984628, -56.7838446572423, 662.1654512882233, 141.24004036933184, -28.91107913851738, -384.61372995376587, 44.59811632335186, -506.0476977014914, 342.09795474261045, 210.58792550861835, 0.9245983958244324, 84.55601999163628, 140.63825777173042, 327.22129844501615, 13.571597069501877, 236.35812444984913, -308.96389634907246, 214.21030204743147, 388.45177840068936, 148.29582564905286, -205.57968550920486]| 10.5794811248779297|    512.00000000|[7426, 0, 0, 135]                                                          |  | used quadratic model with 276 points | actual_k=0
      28|[-835.216445131693, 79.40805068984628, -56.7838446572423, 662.1654512882233, 141.24004036933184, -28.91107913851738, -384.61372995376587, 44.59811632335186, -506.0476977014914, 342.09795474261045, 210.58792550861835, 0.9245983958244324, 84.55601999163628, 140.63825777173042, 327.22129844501615, 13.571597069501877, 236.35812444984913, -308.96389634907246, 214.21030204743147, 388.45177840068936, 148.29582564905286, -205.57968550920486]| 10.5794811248779297|    256.00000000|[7701, 0, 0, 140]                                                          |  | used quadratic model with 276 points | actual_k=0
      29|[-840.1532375053503, 28.52394500747323, -66.01904267817736, 670.8107740879059, 154.7048640921712, -82.67434665560722, -392.3098826408386, 43.86802361905575, -439.9032045984641, 384.89225482195616, 122.73646982014179, -9.317437469959259, 116.0716697871685, 66.85529115796089, 200.72276328876615, -33.77587988972664, 197.43755407631397, -294.4363399296999, 304.3396584317088, 389.0894906409085, 198.78201263025403, -172.02040892839432]| 10.5470991134643555|    512.00000000|[7976, 0, 0, 145]                                                          | | GPS sucess | actual_k=0
      30|[-840.1532375053503, 28.52394500747323, -66.01904267817736, 670.8107740879059, 154.7048640921712, -82.67434665560722, -392.3098826408386, 43.86802361905575, -439.9032045984641, 384.89225482195616, 122.73646982014179, -9.317437469959259, 116.0716697871685, 66.85529115796089, 200.72276328876615, -33.77587988972664, 197.43755407631397, -294.4363399296999, 304.3396584317088, 389.0894906409085, 198.78201263025403, -172.02040892839432]| 10.5470991134643555|    256.00000000|[8251, 0, 0, 150]                                                          |  | used quadratic model with 276 points | actual_k=0
      31|[-879.5892306999303, -29.416385497897863, -115.23361176997423, 714.2468283176422, 130.9802966788411, -197.08402225375175, -452.0705370903015, -6.461718812584877, -419.60931650642306, 509.4307374879718, 114.1849799901247, 35.672304809093475, 37.62376329302788, 65.16263726353645, 187.1410381682217, -42.64575579762459, 239.98406668007374, -275.111835077405, 273.12552612274885, 341.9116227515042, 174.57272880151868, -218.52541381120682]| 10.4691429138183594|    512.00000000|[8526, 0, 0, 155]                                                          | | GPS sucess | actual_k=0
      32|[-879.5892306999303, -29.416385497897863, -115.23361176997423, 714.2468283176422, 130.9802966788411, -197.08402225375175, -452.0705370903015, -6.461718812584877, -419.60931650642306, 509.4307374879718, 114.1849799901247, 35.672304809093475, 37.62376329302788, 65.16263726353645, 187.1410381682217, -42.64575579762459, 239.98406668007374, -275.111835077405, 273.12552612274885, 341.9116227515042, 174.57272880151868, -218.52541381120682]| 10.4691429138183594|    256.00000000|[8801, 0, 0, 160]                                                          |  | used quadratic model with 276 points | actual_k=0
      33|[-879.5892306999303, -29.416385497897863, -115.23361176997423, 714.2468283176422, 130.9802966788411, -197.08402225375175, -452.0705370903015, -6.461718812584877, -419.60931650642306, 509.4307374879718, 114.1849799901247, 35.672304809093475, 37.62376329302788, 65.16263726353645, 187.1410381682217, -42.64575579762459, 239.98406668007374, -275.111835077405, 273.12552612274885, 341.9116227515042, 174.57272880151868, -218.52541381120682]| 10.4691429138183594|    128.00000000|[9076, 0, 0, 165]                                                          |  | used quadratic model with 276 points | actual_k=0
      34|[-896.0448886589147, -23.50138744339347, -157.65922517329454, 734.1220247745514, 145.60812909156084, -185.01058170199394, -499.41049909591675, 15.112942442297935, -411.6105934763327, 501.91779135912657, 121.34807689487934, 33.50117939710617, 8.231486529111862, 65.00759230554104, 159.1435654051602, -37.60064318776131, 284.4558264762163, -215.16636998951435, 270.1541792675853, 348.28025745227933, 137.68561713770032, -236.78164702653885]| 10.4528779983520508|    256.00000000|[9351, 0, 0, 170]                                                          | | GPS sucess | actual_k=0
      35|[-896.0448886589147, -23.50138744339347, -157.65922517329454, 734.1220247745514, 145.60812909156084, -185.01058170199394, -499.41049909591675, 15.112942442297935, -411.6105934763327, 501.91779135912657, 121.34807689487934, 33.50117939710617, 8.231486529111862, 65.00759230554104, 159.1435654051602, -37.60064318776131, 284.4558264762163, -215.16636998951435, 270.1541792675853, 348.28025745227933, 137.68561713770032, -236.78164702653885]| 10.4528779983520508|    128.00000000|[9626, 0, 0, 175]                                                          |  | used quadratic model with 276 points | actual_k=0
      36|[-896.0448886589147, -23.50138744339347, -157.65922517329454, 734.1220247745514, 145.60812909156084, -185.01058170199394, -499.41049909591675, 15.112942442297935, -411.6105934763327, 501.91779135912657, 121.34807689487934, 33.50117939710617, 8.231486529111862, 65.00759230554104, 159.1435654051602, -37.60064318776131, 284.4558264762163, -215.16636998951435, 270.1541792675853, 348.28025745227933, 137.68561713770032, -236.78164702653885]| 10.4528779983520508|     64.00000000|[9901, 0, 0, 180]                                                          |  | used quadratic model with 276 points | actual_k=0
      37|[-896.0448886589147, -23.50138744339347, -157.65922517329454, 734.1220247745514, 145.60812909156084, -185.01058170199394, -499.41049909591675, 15.112942442297935, -411.6105934763327, 501.91779135912657, 121.34807689487934, 33.50117939710617, 8.231486529111862, 65.00759230554104, 159.1435654051602, -37.60064318776131, 284.4558264762163, -215.16636998951435, 270.1541792675853, 348.28025745227933, 137.68561713770032, -236.78164702653885]| 10.4528779983520508|     32.00000000|[10176, 0, 0, 185]                                                         |  | used quadratic model with 276 points | actual_k=0
      38|[-905.4388705925085, -24.248383965343237, -160.1845876649022, 741.8998939990997, 142.92604715377092, -193.02847263216972, -497.00124979019165, 9.98770259320736, -405.1739918375388, 505.2470281049609, 123.35647805035114, 32.54069650173187, 20.73574849963188, 60.16659031808376, 154.832635153085, -44.065240889787674, 295.83593244850636, -210.62467296421528, 266.66651099175215, 353.0107228644192, 136.58417384698987, -240.2254598736763]| 10.4393701553344727|     64.00000000|[10451, 0, 0, 190]                                                         | | GPS sucess | actual_k=0
      39|[-918.0266610817052, -27.628122057765722, -150.38850516825914, 750.1352398395538, 161.78227884322405, -188.0810773074627, -493.32770347595215, 9.370182856917381, -406.8744084024802, 512.3896229192615, 109.34467060863972, 37.03649461269379, 19.000666946172714, 38.45576725900173, 188.56887554004788, -38.52087166905403, 316.4477927237749, -212.2556119710207, 251.0005211159587, 359.4203259833157, 159.290690112859, -228.90462189912796]| 10.4287023544311523|    128.00000000|[10726, 0, 0, 195]                                                         | | GPS sucess | actual_k=0
      40|[-918.0266610817052, -27.628122057765722, -150.38850516825914, 750.1352398395538, 161.78227884322405, -188.0810773074627, -493.32770347595215, 9.370182856917381, -406.8744084024802, 512.3896229192615, 109.34467060863972, 37.03649461269379, 19.000666946172714, 38.45576725900173, 188.56887554004788, -38.52087166905403, 316.4477927237749, -212.2556119710207, 251.0005211159587, 359.4203259833157, 159.290690112859, -228.90462189912796]| 10.4287023544311523|     64.00000000|[11001, 0, 0, 200]                                                         |  | used quadratic model with 276 points | actual_k=0
      41|[-934.0932084755041, -39.00379153713584, -138.08068007975817, 761.7090103626251, 160.38236195594072, -207.0931393802166, -482.2531967163086, 26.507609233260155, -414.9008766794577, 500.9341061040759, 140.79724629223347, 27.38173997402191, 37.98282942175865, 15.447985276579857, 184.92726205661893, -22.437696009874344, 317.6584152728319, -219.29702480137348, 252.36168735474348, 364.86757158115506, 153.14566819742322, -235.27708035707474]| 10.4024686813354492|    128.00000000|[11276, 0, 0, 205]                                                         | | GPS sucess | actual_k=0
      42|[-934.0932084755041, -39.00379153713584, -138.08068007975817, 761.7090103626251, 160.38236195594072, -207.0931393802166, -482.2531967163086, 26.507609233260155, -414.9008766794577, 500.9341061040759, 140.79724629223347, 27.38173997402191, 37.98282942175865, 15.447985276579857, 184.92726205661893, -22.437696009874344, 317.6584152728319, -219.29702480137348, 252.36168735474348, 364.86757158115506, 153.14566819742322, -235.27708035707474]| 10.4024686813354492|     64.00000000|[11551, 0, 0, 210]                                                         |  | used quadratic model with 276 points | actual_k=0
      43|[-929.276702566538, -51.0971905849874, -141.59842247515917, 759.20423412323, 159.30765492469072, -214.99765893816948, -468.8060817718506, 32.18458114564419, -434.48042837623507, 496.2293455526233, 157.86158306896687, 16.46713674068451, 4.849543899297714, 16.727407917380333, 176.5592534430325, -36.80953648686409, 319.0642915517092, -202.32158763706684, 227.50550716370344, 373.0245978720486, 153.04045134410262, -249.77139455080032]| 10.3950748443603516|    128.00000000|[11826, 0, 0, 215]                                                         | | GPS sucess | actual_k=0
      44|[-946.40185324708, -74.54142924770713, -140.490418381989, 773.8864555358887, 177.24552685767412, -196.6302463710308, -476.93386936187744, 17.315255507826805, -378.89917532447726, 461.9563124105334, 136.48109371960163, 18.786054253578186, 2.6888652741909027, -9.830461040139198, 138.54284643009305, -49.00792554020882, 286.41580064594746, -222.19215877354145, 192.53948848694563, 307.4075553305447, 147.36185770854354, -263.6592872738838]| 10.3650550842285156|    256.00000000|[12101, 0, 0, 220]                                                         | | GPS sucess | actual_k=0
