k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3734817504882812, 0.13620525598526, 0.0264961533248425, 0.1698487997055054, 0.0445046201348305, -0.0296584777534008, -0.0392593517899513, -0.0175582468509674, -0.0334789045155048, -0.1159866973757744, -0.101704940199852, 0.0853810235857964, 0.0758075267076492, 0.1007518246769905, -0.2191238105297089, 0.2685894072055817, -0.2170520573854446, -0.4612997174263, -0.0733866170048714, -0.2470196336507797, 0.2105785012245178, -0.1156946942210197]| 14.2047910690307617|      2.00000000|[34, 5, 0, 1]                                                              | | GPS sucess | actual_k=8
      12|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|     16.00000000|[399, 58, 0, 12]                                                           |  | used linear model with 39 points | actual_k=8
      13|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|      8.00000000|[435, 60, 0, 13]                                                           |  | used linear model with 39 points | actual_k=8
      14|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|      4.00000000|[468, 65, 0, 14]                                                           |  | used linear model with 39 points | actual_k=8
      15|[-9.605381906032562, 6.797588191926479, -3.5372179187834263, 10.83251604437828, -4.69402352720499, -22.49966741539538, -8.072925068438053, -1.4609141498804092, 11.056285332888365, -34.05362343043089, 23.009591653943062, 0.8777224328368902, -5.8933892622590065, -14.55646549910307, 6.476061403751373, 12.429586708545685, 7.283424869179726, 11.33179721236229, -15.582411140203476, 9.919289350509644, 0.48124760389328, -19.765230052173138]| 12.1233167648315430|      8.00000000|[501, 70, 0, 15]                                                           | | GPS sucess | actual_k=8
      16|[-9.778955489397049, 5.393735848367214, -0.6407268680632114, 10.557560801506042, -4.6296376734972, -21.916855880990624, -8.742768920958042, -0.8291065841913223, 12.025070440024137, -33.921903900802135, 25.62042386829853, 0.539390018209815, -6.395587839186192, -15.33663123100996, 6.79840412735939, 12.845697849988937, 9.136693373322487, 9.971529811620712, -14.685663014650345, 11.603386998176575, 3.7169541716575623, -16.65568744391203]| 12.1214885711669922|     16.00000000|[534, 75, 0, 16]                                                           | | GPS sucess | actual_k=8
      17|[-9.778955489397049, 5.393735848367214, -0.6407268680632114, 10.557560801506042, -4.6296376734972, -21.916855880990624, -8.742768920958042, -0.8291065841913223, 12.025070440024137, -33.921903900802135, 25.62042386829853, 0.539390018209815, -6.395587839186192, -15.33663123100996, 6.79840412735939, 12.845697849988937, 9.136693373322487, 9.971529811620712, -14.685663014650345, 11.603386998176575, 3.7169541716575623, -16.65568744391203]| 12.1214885711669922|      8.00000000|[568, 79, 0, 17]                                                           |  | used linear model with 39 points | actual_k=8
      18|[-9.778955489397049, 5.393735848367214, -0.6407268680632114, 10.557560801506042, -4.6296376734972, -21.916855880990624, -8.742768920958042, -0.8291065841913223, 12.025070440024137, -33.921903900802135, 25.62042386829853, 0.539390018209815, -6.395587839186192, -15.33663123100996, 6.79840412735939, 12.845697849988937, 9.136693373322487, 9.971529811620712, -14.685663014650345, 11.603386998176575, 3.7169541716575623, -16.65568744391203]| 12.1214885711669922|      4.00000000|[600, 85, 0, 18]                                                           |  | used linear model with 39 points | actual_k=8
      19|[-11.069491177797318, 3.5063546523451805, -0.7857033349573612, 11.657745838165283, -5.417093113064766, -21.65964631177485, -8.07317540794611, -0.0254155546426773, 11.0405886285007, -34.039696246385574, 25.720336563885212, 0.5784487780183554, -8.141205944120884, -15.761572293937206, 8.07893219590187, 12.488978952169418, 9.216423444449902, 10.026042569428682, -14.348482340574265, 12.703120946884155, 4.107135623693466, -16.73966670781374]| 12.1187591552734375|      8.00000000|[633, 90, 0, 19]                                                           | | GPS sucess | actual_k=8
      20|[-11.236046507954597, 3.765404812991619, -2.047891531139612, 12.013628602027893, -7.788563326001167, -19.9826152715832, -7.794236280024052, -1.052136316895485, 11.18344196304679, -32.20733788609505, 23.643152602016926, -0.4301993791013956, -6.003167070448399, -16.393976621329784, 7.194435209035873, 15.774688333272934, 9.170719496905804, 9.563551325351, -13.320512622594833, 14.85641098022461, 4.589233160018921, -13.690125949680805]| 12.1178407669067383|     16.00000000|[667, 94, 0, 20]                                                           | | GPS sucess | actual_k=8
      21|[-15.366923525929451, -3.093400366604328, -0.618407879024744, 15.308980822563171, -7.263987317681313, -24.074137011542916, -5.769690610468388, -3.5308340936899185, 10.640988614410162, -37.3675380051136, 25.875065930187702, -2.7208909932523966, -0.2752741947770119, -10.341932229697704, 5.046320527791977, 15.671232931315899, 6.881244294345379, 6.589784998446703, -10.433530420064926, 15.217179328203201, 0.9573111534118652, -15.506885774433613]| 12.1143445968627930|     32.00000000|[699, 100, 0, 21]                                                          | | GPS sucess | actual_k=8
      22|[-15.366923525929451, -3.093400366604328, -0.618407879024744, 15.308980822563171, -7.263987317681313, -24.074137011542916, -5.769690610468388, -3.5308340936899185, 10.640988614410162, -37.3675380051136, 25.875065930187702, -2.7208909932523966, -0.2752741947770119, -10.341932229697704, 5.046320527791977, 15.671232931315899, 6.881244294345379, 6.589784998446703, -10.433530420064926, 15.217179328203201, 0.9573111534118652, -15.506885774433613]| 12.1143445968627930|     16.00000000|[731, 106, 0, 22]                                                          |  | used linear model with 39 points | actual_k=8
      23|[-20.104824259877205, -3.530187077820301, -4.514007482677698, 20.011319994926453, -13.751777425408363, -25.84149149991572, -5.511279262602329, -2.60382117331028, 10.087819006294012, -37.11899493634701, 23.99284268170595, -0.8788191024214029, 2.5055282935500145, -8.998900227248669, 4.699850529432297, 20.002902261912823, 8.34093951433897, 8.684124130755663, -13.228070825338364, 22.389360934495926, -2.2718076705932617, -13.374975927174091]| 12.0928897857666016|     32.00000000|[764, 111, 0, 23]                                                          | | GPS sucess | actual_k=8
      24|[-20.104824259877205, -3.530187077820301, -4.514007482677698, 20.011319994926453, -13.751777425408363, -25.84149149991572, -5.511279262602329, -2.60382117331028, 10.087819006294012, -37.11899493634701, 23.99284268170595, -0.8788191024214029, 2.5055282935500145, -8.998900227248669, 4.699850529432297, 20.002902261912823, 8.34093951433897, 8.684124130755663, -13.228070825338364, 22.389360934495926, -2.2718076705932617, -13.374975927174091]| 12.0928897857666016|     16.00000000|[798, 115, 0, 24]                                                          |  | used linear model with 39 points | actual_k=8
      25|[-22.92254300415516, -2.072942443192005, -5.5045636631548405, 22.062961220741272, -11.395602241158485, -29.091980496421456, -3.7860628738999367, -4.031732454895973, 9.33910008892417, -35.208799466490746, 22.648292906582355, -3.820774907246232, -0.7162608280777931, -10.867525391280651, 10.602743119001389, 26.691534750163555, 10.678149454295635, 2.2113024182617664, -14.446606010198593, 27.328184634447098, 0.6478650569915771, -8.827063329517841]| 12.0921468734741211|     32.00000000|[832, 119, 0, 25]                                                          | | GPS sucess | actual_k=8
      26|[-20.3441152125597, -4.299157090485096, 1.5238992236554623, 19.170305609703064, -10.086752787232399, -32.9763315115124, -9.311544574797153, -4.600179389119148, 14.869380202144384, -26.705646619200706, 10.529804594814777, 1.8959628399461508, 6.439015470445156, -11.113615311682224, 11.670811504125595, 25.219737641513348, 19.532212488353252, -4.558886390179396, -6.715507358312607, 40.21978524327278, -12.561096429824829, -9.092628844082355]| 12.0897016525268555|     64.00000000|[864, 125, 0, 26]                                                          | | GPS sucess | actual_k=8
      27|[-20.3441152125597, -4.299157090485096, 1.5238992236554623, 19.170305609703064, -10.086752787232399, -32.9763315115124, -9.311544574797153, -4.600179389119148, 14.869380202144384, -26.705646619200706, 10.529804594814777, 1.8959628399461508, 6.439015470445156, -11.113615311682224, 11.670811504125595, 25.219737641513348, 19.532212488353252, -4.558886390179396, -6.715507358312607, 40.21978524327278, -12.561096429824829, -9.092628844082355]| 12.0897016525268555|     32.00000000|[899, 128, 0, 27]                                                          |  | used linear model with 39 points | actual_k=8
      28|[-20.3441152125597, -4.299157090485096, 1.5238992236554623, 19.170305609703064, -10.086752787232399, -32.9763315115124, -9.311544574797153, -4.600179389119148, 14.869380202144384, -26.705646619200706, 10.529804594814777, 1.8959628399461508, 6.439015470445156, -11.113615311682224, 11.670811504125595, 25.219737641513348, 19.532212488353252, -4.558886390179396, -6.715507358312607, 40.21978524327278, -12.561096429824829, -9.092628844082355]| 12.0897016525268555|     16.00000000|[932, 133, 0, 28]                                                          |  | used linear model with 39 points | actual_k=8
      29|[-20.3441152125597, -4.299157090485096, 1.5238992236554623, 19.170305609703064, -10.086752787232399, -32.9763315115124, -9.311544574797153, -4.600179389119148, 14.869380202144384, -26.705646619200706, 10.529804594814777, 1.8959628399461508, 6.439015470445156, -11.113615311682224, 11.670811504125595, 25.219737641513348, 19.532212488353252, -4.558886390179396, -6.715507358312607, 40.21978524327278, -12.561096429824829, -9.092628844082355]| 12.0897016525268555|      8.00000000|[964, 139, 0, 29]                                                          |  | used linear model with 39 points | actual_k=8
      30|[-20.3441152125597, -4.299157090485096, 1.5238992236554623, 19.170305609703064, -10.086752787232399, -32.9763315115124, -9.311544574797153, -4.600179389119148, 14.869380202144384, -26.705646619200706, 10.529804594814777, 1.8959628399461508, 6.439015470445156, -11.113615311682224, 11.670811504125595, 25.219737641513348, 19.532212488353252, -4.558886390179396, -6.715507358312607, 40.21978524327278, -12.561096429824829, -9.092628844082355]| 12.0897016525268555|      4.00000000|[999, 142, 0, 30]                                                          |  | used linear model with 39 points | actual_k=8
      31|[-20.430551759898663, -5.441478677093983, 0.0893206857144833, 19.538383185863495, -9.440216198563576, -34.12909368611872, -9.410982459783554, -5.275015726685524, 13.364358868449926, -25.135576114058495, 11.058600433170795, 1.2847475465387106, 6.240634299814701, -11.239144764840603, 11.516408935189247, 25.27986329048872, 19.585027545690536, -4.274917881935835, -5.444580763578415, 40.24199561774731, -12.190603703260422, -10.434356935322285]| 12.0884351730346680|      8.00000000|[1032, 147, 0, 31]                                                         | | GPS sucess | actual_k=8
      32|[-23.457008115947247, -7.477766938507557, 1.440460231155157, 21.67355841398239, -10.926642909646034, -35.06762556172907, -7.959846347570419, -4.5263161808252335, 16.12307759746909, -26.27110682427883, 10.660570599138737, 2.1096810158342123, 5.5162384286522865, -9.743202172219753, 12.348731890320778, 24.88719504326582, 17.841245144605637, -3.105153363198042, -5.377147525548935, 42.4538047760725, -14.678485602140427, -8.518802531063557]| 12.0834131240844727|     16.00000000|[1064, 153, 0, 32]                                                         | | GPS sucess | actual_k=8
      33|[-26.87480591982603, -3.8891927674412727, 2.2060066126286983, 24.028145015239716, -4.69087840616703, -36.8705033455044, -4.30381378531456, -3.773426190018654, 23.865669455379248, -25.311693772673607, 14.2185053601861, 1.2335106190294027, 5.684211380779743, -13.2177459821105, 15.92760480940342, 26.999676398932934, 17.182630628347397, -2.6255280785262585, -8.040867656469345, 40.01885084807873, -9.646363943815231, -5.130512125790119]| 12.0750408172607422|     32.00000000|[1098, 157, 0, 33]                                                         | | GPS sucess | actual_k=8
      34|[-26.87480591982603, -3.8891927674412727, 2.2060066126286983, 24.028145015239716, -4.69087840616703, -36.8705033455044, -4.30381378531456, -3.773426190018654, 23.865669455379248, -25.311693772673607, 14.2185053601861, 1.2335106190294027, 5.684211380779743, -13.2177459821105, 15.92760480940342, 26.999676398932934, 17.182630628347397, -2.6255280785262585, -8.040867656469345, 40.01885084807873, -9.646363943815231, -5.130512125790119]| 12.0750408172607422|     16.00000000|[1129, 164, 0, 34]                                                         |  | used linear model with 39 points | actual_k=8
      35|[-29.59696912020445, -6.730755992233753, -4.022693071514368, 27.329579293727875, -3.9632090479135513, -36.21800778247416, -0.9123304784297943, -4.198909148573875, 23.304131533950567, -24.700194403529167, 14.243587914854288, 0.7010909374803305, 7.935824997723103, -11.828154526650906, 25.43171800673008, 25.214097790420055, 17.66734281182289, -2.4922370426356792, -5.401709407567978, 41.04291217029095, -13.16835305094719, -1.197854645550251]| 12.0744590759277344|     32.00000000|[1161, 170, 0, 35]                                                         | | GPS sucess | actual_k=8
      36|[-28.4969484731555, -4.156819052994251, -1.8429779149591923, 26.064370453357697, 3.029246434569359, -52.928745010867715, -0.4705281555652618, -6.568683251738548, 12.456435229629278, -20.865690276026726, 5.417458955198526, -1.1639516297727823, 5.594735272228718, -18.75176902860403, 37.899821415543556, 34.383598141372204, 25.359042316675186, -3.437044929713011, -4.650686413049698, 42.74453715980053, -17.181750744581223, -7.189126618206501]| 12.0704946517944336|     64.00000000|[1193, 176, 0, 36]                                                         | | GPS sucess | actual_k=8
      37|[-28.4969484731555, -4.156819052994251, -1.8429779149591923, 26.064370453357697, 3.029246434569359, -52.928745010867715, -0.4705281555652618, -6.568683251738548, 12.456435229629278, -20.865690276026726, 5.417458955198526, -1.1639516297727823, 5.594735272228718, -18.75176902860403, 37.899821415543556, 34.383598141372204, 25.359042316675186, -3.437044929713011, -4.650686413049698, 42.74453715980053, -17.181750744581223, -7.189126618206501]| 12.0704946517944336|     32.00000000|[1226, 181, 0, 37]                                                         |  | used linear model with 39 points | actual_k=8
      38|[-28.4969484731555, -4.156819052994251, -1.8429779149591923, 26.064370453357697, 3.029246434569359, -52.928745010867715, -0.4705281555652618, -6.568683251738548, 12.456435229629278, -20.865690276026726, 5.417458955198526, -1.1639516297727823, 5.594735272228718, -18.75176902860403, 37.899821415543556, 34.383598141372204, 25.359042316675186, -3.437044929713011, -4.650686413049698, 42.74453715980053, -17.181750744581223, -7.189126618206501]| 12.0704946517944336|     16.00000000|[1258, 187, 0, 38]                                                         |  | used linear model with 39 points | actual_k=8
      39|[-28.4969484731555, -4.156819052994251, -1.8429779149591923, 26.064370453357697, 3.029246434569359, -52.928745010867715, -0.4705281555652618, -6.568683251738548, 12.456435229629278, -20.865690276026726, 5.417458955198526, -1.1639516297727823, 5.594735272228718, -18.75176902860403, 37.899821415543556, 34.383598141372204, 25.359042316675186, -3.437044929713011, -4.650686413049698, 42.74453715980053, -17.181750744581223, -7.189126618206501]| 12.0704946517944336|      8.00000000|[1291, 192, 0, 39]                                                         |  | used linear model with 39 points | actual_k=8
      40|[-29.446099691092968, -5.752884216606617, -3.184185180813074, 27.260466396808624, 3.1412230283021927, -52.84543480910361, -2.2840478718280792, -8.850061282515526, 10.376490142196417, -22.658777877688408, 5.686044190078974, 1.1782267149537802, 4.977500982582569, -21.038330517709255, 37.087268605828285, 37.43419509381056, 25.430156260728836, -6.651349376887083, -4.987519860267639, 44.67181853950024, -17.443952918052673, -7.451220013201237]| 12.0695848464965820|     16.00000000|[1325, 196, 0, 40]                                                         | | GPS sucess | actual_k=8
      41|[-29.446099691092968, -5.752884216606617, -3.184185180813074, 27.260466396808624, 3.1412230283021927, -52.84543480910361, -2.2840478718280792, -8.850061282515526, 10.376490142196417, -22.658777877688408, 5.686044190078974, 1.1782267149537802, 4.977500982582569, -21.038330517709255, 37.087268605828285, 37.43419509381056, 25.430156260728836, -6.651349376887083, -4.987519860267639, 44.67181853950024, -17.443952918052673, -7.451220013201237]| 12.0695848464965820|      8.00000000|[1357, 202, 0, 41]                                                         |  | used linear model with 39 points | actual_k=8
      42|[-29.446099691092968, -5.752884216606617, -3.184185180813074, 27.260466396808624, 3.1412230283021927, -52.84543480910361, -2.2840478718280792, -8.850061282515526, 10.376490142196417, -22.658777877688408, 5.686044190078974, 1.1782267149537802, 4.977500982582569, -21.038330517709255, 37.087268605828285, 37.43419509381056, 25.430156260728836, -6.651349376887083, -4.987519860267639, 44.67181853950024, -17.443952918052673, -7.451220013201237]| 12.0695848464965820|      4.00000000|[1391, 206, 0, 42]                                                         |  | used linear model with 39 points | actual_k=8
      43|[-28.91499500721693, -6.241320379078388, -4.118021342903376, 26.97254303097725, 3.511632278561592, -53.48137369193137, -1.8574881553649902, -8.988166019320488, 11.97355356439948, -22.628230459988117, 4.698088500648737, 1.7082641180604696, 5.247659511864185, -21.7065155133605, 37.36687417328358, 38.81182783097029, 25.72971799969673, -6.571837779134512, -6.657847762107849, 43.714007779955864, -17.770678997039795, -8.707554079592228]| 12.0684394836425781|      8.00000000|[1426, 209, 0, 43]                                                         | | GPS sucess | actual_k=8
      44|[-28.91499500721693, -6.241320379078388, -4.118021342903376, 26.97254303097725, 3.511632278561592, -53.48137369193137, -1.8574881553649902, -8.988166019320488, 11.97355356439948, -22.628230459988117, 4.698088500648737, 1.7082641180604696, 5.247659511864185, -21.7065155133605, 37.36687417328358, 38.81182783097029, 25.72971799969673, -6.571837779134512, -6.657847762107849, 43.714007779955864, -17.770678997039795, -8.707554079592228]| 12.0684394836425781|      4.00000000|[1460, 213, 0, 44]                                                         |  | used linear model with 39 points | actual_k=8
      45|[-28.91499500721693, -6.241320379078388, -4.118021342903376, 26.97254303097725, 3.511632278561592, -53.48137369193137, -1.8574881553649902, -8.988166019320488, 11.97355356439948, -22.628230459988117, 4.698088500648737, 1.7082641180604696, 5.247659511864185, -21.7065155133605, 37.36687417328358, 38.81182783097029, 25.72971799969673, -6.571837779134512, -6.657847762107849, 43.714007779955864, -17.770678997039795, -8.707554079592228]| 12.0684394836425781|      2.00000000|[1491, 220, 0, 45]                                                         |  | used linear model with 39 points | actual_k=8
      46|[-29.48369186371565, -5.944891132414341, -4.523127410560846, 27.49979355931282, 3.7816269546747208, -53.892081970348954, -1.2764256000518799, -9.571154221892357, 12.03614754602313, -23.243945844471455, 5.149297211319208, 1.8175044264644384, 5.299906548112631, -21.73273262195289, 37.696354404091835, 38.19030623883009, 26.26169118285179, -6.253163572400808, -7.178086161613464, 43.69776728004217, -18.392418146133423, -8.551470287144184]| 12.0680818557739258|      4.00000000|[1525, 224, 0, 46]                                                         | | GPS sucess | actual_k=8
      47|[-29.48369186371565, -5.944891132414341, -4.523127410560846, 27.49979355931282, 3.7816269546747208, -53.892081970348954, -1.2764256000518799, -9.571154221892357, 12.03614754602313, -23.243945844471455, 5.149297211319208, 1.8175044264644384, 5.299906548112631, -21.73273262195289, 37.696354404091835, 38.19030623883009, 26.26169118285179, -6.253163572400808, -7.178086161613464, 43.69776728004217, -18.392418146133423, -8.551470287144184]| 12.0680818557739258|      2.00000000|[1558, 229, 0, 47]                                                         |  | used linear model with 39 points | actual_k=8
      48|[-30.138043574988842, -5.529384292662144, -3.8528190590441227, 27.791540920734406, 3.8214196860790253, -53.7429975066334, -1.6037858724594116, -9.149340644478798, 12.181988935917616, -23.392362363636494, 5.406583938747644, 1.5133581664413214, 5.492731522768736, -21.40190395526588, 38.06983123719692, 38.940015248954296, 26.230908891186118, -6.906174834817648, -7.03708989918232, 43.44573574513197, -18.816480368375778, -7.713920243084431]| 12.0659513473510742|      4.00000000|[1591, 234, 0, 48]                                                         | | GPS sucess | actual_k=8
      49|[-31.851950578391552, -4.814221777021885, -3.640021923929453, 29.181641161441803, 4.282077729701996, -52.238052705302835, -1.4930413365364075, -8.574592784047127, 11.819491814821959, -23.596665985882282, 6.084444854408503, 1.4039237704128027, 5.650671120733023, -19.89570471458137, 37.667448326945305, 38.81135889142752, 25.83663140796125, -5.046475227922201, -6.990507956594229, 43.98041891306639, -18.81474624807015, -7.84205474704504]| 12.0657882690429688|      8.00000000|[1624, 239, 0, 49]                                                         | | GPS sucess | actual_k=8
      50|[-34.14014833420515, -6.042480863630772, -5.360818270593882, 31.182232439517975, 1.934774100780487, -53.392503002658486, -4.325867712497711, -9.957240417599678, 10.484248351305723, -21.809871084988117, 5.24495992437005, 4.156366845592856, 5.057567533105612, -18.302500693127513, 39.055059000849724, 40.82809420675039, 25.452821692451835, -4.020856317132711, -6.335300680249929, 42.87070297449827, -18.676690416876227, -9.789086006581783]| 12.0573215484619141|     16.00000000|[1659, 242, 0, 50]                                                         | | GPS sucess | actual_k=8
      51|[-34.14014833420515, -6.042480863630772, -5.360818270593882, 31.182232439517975, 1.934774100780487, -53.392503002658486, -4.325867712497711, -9.957240417599678, 10.484248351305723, -21.809871084988117, 5.24495992437005, 4.156366845592856, 5.057567533105612, -18.302500693127513, 39.055059000849724, 40.82809420675039, 25.452821692451835, -4.020856317132711, -6.335300680249929, 42.87070297449827, -18.676690416876227, -9.789086006581783]| 12.0573215484619141|      8.00000000|[1691, 248, 0, 51]                                                         |  | used linear model with 39 points | actual_k=8
