k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[1.5312755852937698, -0.3768775463104248, -0.3860228164121509, 2.0809416323900223, -0.8833450600504875, -1.320482186973095, 0.0585068315267563, 2.4453245643526316, -4.4622634425759315, -4.124393384903669, 1.867159590125084, -1.328265517950058, 1.643615946173668, 3.3527292609214783, -2.4549622666090727, -0.9049124494194984, -0.3450138494372368, 2.1565384827554226, 4.818541988730431, -0.0182281136512756, -1.5610716193914413, 0.844537228345871]| 12.1446380615234375|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-4.731319114565849, 2.049607992172241, 0.7354651587083936, 6.453670457005501, 0.2392086461186409, -2.109618477523327, 4.887042865157127, -0.9132462497800589, -4.71893323212862, -6.736700218170881, 0.9768924564123154, -2.7303998172283173, 6.437782034277916, 6.4627503752708435, 2.042356001213193, 1.0121940597891808, 2.2549271658062935, 6.589085575193167, 4.6907151490449905, -3.0342779755592346, -1.7142046093940735, 8.07547613978386]| 12.1373901367187500|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
      16|[-52.92248098552227, 11.94928526878357, 16.484095920808613, 41.34865827858448, 5.822691924870014, -10.0745994374156, -4.381403341889381, -22.151917910203338, -28.675045259296894, 24.624130250886083, -41.918949618935585, 3.0885103046894073, 9.45688508450985, 62.53230640292168, -2.8660336267203093, -45.44474435597658, -47.541515819728374, 67.85825347527862, -66.8394788056612, -1.0562401413917542, 0.8185260742902756, -7.583546072244644]| 12.0640106201171875|     64.00000000|[1249, 0, 0, 78]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      17|[-71.1485628336668, 7.824037790298462, 3.2567714350298047, 57.71249456703663, 2.118867166340351, 15.918600864708424, 0.8813696950674057, -37.90197036229074, -44.987756974995136, 23.70157307572663, -34.44385911524296, -2.6863639056682587, 29.0903632491827, 41.05255863070488, 11.542115138843656, -43.60439742356539, -49.79883598536253, 59.05846595391631, -67.92206807434559, 21.57507699728012, -17.12314148247242, -10.253484636545181]| 11.9806261062622070|    128.00000000|[1265, 0, 0, 79]                                                           | | GPS sucess | actual_k=0
      18|[-91.18643133342266, 43.26736283302307, 41.430565227754414, 64.69293804466724, -2.9825212880969048, 12.530282326042652, -54.789677515625954, -45.41119811497629, -16.544679887592793, 42.98574131913483, -43.129664435982704, -34.12821838259697, 50.59536050260067, 35.188482016325, 51.310540126636624, -23.555899269878864, -72.46605705469847, 59.06279286975041, -5.575647786259651, 6.522835671901703, -31.36949749290943, 11.460086911916733]| 11.9594068527221680|    256.00000000|[1313, 0, 0, 82]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
      19|[-91.18643133342266, 43.26736283302307, 41.430565227754414, 64.69293804466724, -2.9825212880969048, 12.530282326042652, -54.789677515625954, -45.41119811497629, -16.544679887592793, 42.98574131913483, -43.129664435982704, -34.12821838259697, 50.59536050260067, 35.188482016325, 51.310540126636624, -23.555899269878864, -72.46605705469847, 59.06279286975041, -5.575647786259651, 6.522835671901703, -31.36949749290943, 11.460086911916733]| 11.9594068527221680|    128.00000000|[1457, 0, 0, 91]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      20|[-103.89459364116192, 8.306371927261353, 53.43180023599416, 74.61988563835621, 22.674596555531025, 57.91590244323015, -19.723935022950172, -8.395481562241912, 28.111482374370098, -0.1923592668026686, -66.73558522760868, -70.86422607302666, 21.915955290198326, -2.877428323030472, 48.003442691639066, -8.801735527813435, -83.80064892023802, 64.54538879031315, -17.86151833832264, 20.349590241909027, -49.70458050072193, 29.83067712187767]| 11.8986721038818359|    256.00000000|[1585, 0, 0, 99]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points| GPS sucess | actual_k=0
      21|[-186.76875440776348, 21.650047540664673, 12.828696598298848, 145.8194705992937, -64.99509643763304, 33.65922100096941, -31.60458268225193, 17.935584569349885, 34.88701318949461, 78.70463627763093, -7.750557914376259, -44.96022865176201, 81.75632546842098, 49.39390727877617, 87.84946625120938, 22.973822943866253, -122.49290584772825, 84.51382979983464, -39.725421383976936, -95.10798269510269, -109.76364727318287, 93.23520669341087]| 11.7244691848754883|    512.00000000|[1649, 0, 0, 103]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points| GPS sucess | actual_k=0
      22|[-186.76875440776348, 21.650047540664673, 12.828696598298848, 145.8194705992937, -64.99509643763304, 33.65922100096941, -31.60458268225193, 17.935584569349885, 34.88701318949461, 78.70463627763093, -7.750557914376259, -44.96022865176201, 81.75632546842098, 49.39390727877617, 87.84946625120938, 22.973822943866253, -122.49290584772825, 84.51382979983464, -39.725421383976936, -95.10798269510269, -109.76364727318287, 93.23520669341087]| 11.7244691848754883|    256.00000000|[1793, 0, 0, 112]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      23|[-186.76875440776348, 21.650047540664673, 12.828696598298848, 145.8194705992937, -64.99509643763304, 33.65922100096941, -31.60458268225193, 17.935584569349885, 34.88701318949461, 78.70463627763093, -7.750557914376259, -44.96022865176201, 81.75632546842098, 49.39390727877617, 87.84946625120938, 22.973822943866253, -122.49290584772825, 84.51382979983464, -39.725421383976936, -95.10798269510269, -109.76364727318287, 93.23520669341087]| 11.7244691848754883|    128.00000000|[1937, 0, 0, 121]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      24|[-183.80389825999737, -28.76427435874939, 44.73122536111623, 141.50358076393604, -24.463613741099834, 64.90541393309832, -6.972426310181618, -10.926725840196013, 38.531818859279156, 113.05065602250397, -34.68654157221317, -32.389829367399216, 101.74472497403622, 11.61513301730156, 120.43035309202969, 1.1051458045840263, -160.41172908991575, 108.55645522708073, -27.53116650879383, -82.15789133310318, -98.85822506248951, 122.287971585989]| 11.7029008865356445|    256.00000000|[1969, 0, 0, 123]                                                          |  | trying linear partial model with 17 points| GPS sucess | actual_k=0
      25|[-183.80389825999737, -28.76427435874939, 44.73122536111623, 141.50358076393604, -24.463613741099834, 64.90541393309832, -6.972426310181618, -10.926725840196013, 38.531818859279156, 113.05065602250397, -34.68654157221317, -32.389829367399216, 101.74472497403622, 11.61513301730156, 120.43035309202969, 1.1051458045840263, -160.41172908991575, 108.55645522708073, -27.53116650879383, -82.15789133310318, -98.85822506248951, 122.287971585989]| 11.7029008865356445|    128.00000000|[2113, 0, 0, 132]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      26|[-203.94222681224346, -60.044055700302124, 4.951810230500996, 166.0819060355425, -18.566048376262188, 64.6546713784337, 16.685887441039085, -17.066029524430633, 88.53541230410337, 123.79599636979401, -39.65356685221195, -35.33336183428764, 119.26891015470028, 7.9528782069683075, 177.39071838743985, -28.442877419292927, -114.60615276545286, 110.92424759501591, -68.22960706055164, -92.58122354745865, -69.89685268700123, 141.9479123055935]| 11.6361999511718750|    256.00000000|[2161, 0, 0, 135]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
      27|[-203.94222681224346, -60.044055700302124, 4.951810230500996, 166.0819060355425, -18.566048376262188, 64.6546713784337, 16.685887441039085, -17.066029524430633, 88.53541230410337, 123.79599636979401, -39.65356685221195, -35.33336183428764, 119.26891015470028, 7.9528782069683075, 177.39071838743985, -28.442877419292927, -114.60615276545286, 110.92424759501591, -68.22960706055164, -92.58122354745865, -69.89685268700123, 141.9479123055935]| 11.6361999511718750|    128.00000000|[2305, 0, 0, 144]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      28|[-203.94222681224346, -60.044055700302124, 4.951810230500996, 166.0819060355425, -18.566048376262188, 64.6546713784337, 16.685887441039085, -17.066029524430633, 88.53541230410337, 123.79599636979401, -39.65356685221195, -35.33336183428764, 119.26891015470028, 7.9528782069683075, 177.39071838743985, -28.442877419292927, -114.60615276545286, 110.92424759501591, -68.22960706055164, -92.58122354745865, -69.89685268700123, 141.9479123055935]| 11.6361999511718750|     64.00000000|[2449, 0, 0, 153]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      29|[-218.79704897105694, -54.256662130355835, 7.495935787446797, 176.95285196602345, -22.964417688548565, 71.37719363719225, 39.7474814504385, -27.088244413957, 77.6768994256854, 134.8942334074527, -19.411943927407265, -33.501972407102585, 150.49546311795712, 8.043462492525578, 176.2151271570474, -25.2103303745389, -120.61407350748777, 127.89286598796025, -80.2905115634203, -67.74759203195572, -78.83558388054371, 127.34745988249779]| 11.6080493927001953|    128.00000000|[2577, 0, 0, 161]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points| GPS sucess | actual_k=0
      30|[-218.79704897105694, -54.256662130355835, 7.495935787446797, 176.95285196602345, -22.964417688548565, 71.37719363719225, 39.7474814504385, -27.088244413957, 77.6768994256854, 134.8942334074527, -19.411943927407265, -33.501972407102585, 150.49546311795712, 8.043462492525578, 176.2151271570474, -25.2103303745389, -120.61407350748777, 127.89286598796025, -80.2905115634203, -67.74759203195572, -78.83558388054371, 127.34745988249779]| 11.6080493927001953|     64.00000000|[2721, 0, 0, 170]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      31|[-218.79704897105694, -54.256662130355835, 7.495935787446797, 176.95285196602345, -22.964417688548565, 71.37719363719225, 39.7474814504385, -27.088244413957, 77.6768994256854, 134.8942334074527, -19.411943927407265, -33.501972407102585, 150.49546311795712, 8.043462492525578, 176.2151271570474, -25.2103303745389, -120.61407350748777, 127.89286598796025, -80.2905115634203, -67.74759203195572, -78.83558388054371, 127.34745988249779]| 11.6080493927001953|     32.00000000|[2865, 0, 0, 179]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      32|[-230.42762319743633, -56.938419818878174, 6.662552823312581, 186.5794417411089, -24.81708502024412, 74.18139929324389, 45.673006162047386, -26.61990219913423, 82.28833293169737, 123.44257039017975, -19.73219932615757, -44.784018725156784, 157.21650718152523, 13.667873121798038, 171.16250293143094, -26.37056327611208, -124.70388673990965, 127.84156782040372, -67.2073006182909, -58.469540655612946, -85.25662441551685, 120.80078229308128]| 11.5966367721557617|     64.00000000|[2913, 0, 0, 182]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
      33|[-233.60440389811993, -47.4419207572937, 24.84681796003133, 185.0617883950472, -19.675997965037823, 75.87361032515764, 30.049919232726097, -8.558611458167434, 76.49382542818785, 122.31985432095826, -27.222687378525734, -61.285342425107956, 152.47552274167538, 23.39619228988886, 167.50783865340054, -25.02920711785555, -123.55063854902983, 100.67310888180509, -58.15805001556873, -59.0879208445549, -53.96670360863209, 93.10831174254417]| 11.5780696868896484|    128.00000000|[2993, 0, 0, 187]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points| GPS sucess | actual_k=0
      34|[-253.3103059977293, -30.355409145355225, -16.485590944997966, 206.37830145657063, 1.2061927393078804, 53.49760705977678, 14.586710080504417, -22.626614158973098, 43.0890898630023, 106.63875919766724, -60.276684418320656, -95.79682084918022, 138.77426789700985, -6.318313859403133, 199.3057569731027, -73.2343577221036, -101.2764552757144, 81.01015645870939, -53.247527077794075, -5.530078589916229, -65.78280754387379, 78.91858968138695]| 11.5573730468750000|    256.00000000|[3121, 0, 0, 195]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points| GPS sucess | actual_k=0
      35|[-253.3103059977293, -30.355409145355225, -16.485590944997966, 206.37830145657063, 1.2061927393078804, 53.49760705977678, 14.586710080504417, -22.626614158973098, 43.0890898630023, 106.63875919766724, -60.276684418320656, -95.79682084918022, 138.77426789700985, -6.318313859403133, 199.3057569731027, -73.2343577221036, -101.2764552757144, 81.01015645870939, -53.247527077794075, -5.530078589916229, -65.78280754387379, 78.91858968138695]| 11.5573730468750000|    128.00000000|[3265, 0, 0, 204]                                                          |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
